Gloss	Arem	Chứt (Mày)	Chứt (Rục)	Chứt (Sách)	Hung (Liha)	Hung (Phong)	Hung (Toum)	Maleng	Mương (Hòa Bình)	Mương (Sơn La)	Mương (Thanh Hóa)	Nguồn (Cổ Liêm)	Nguồn (Yên Thọ)	Thavưng	Thổ (Cuối Chăm)	Thổ (Làng Lỡ)	Vietnamese
SWIM_3				pɤi̯	pəːj		pəːj										ɓəːi̯³³
SWIM_4								lɔj³⁴									
SWIM_5												tam³					
TAIL_1	tuoi̯																
TAIL_2		tɔ̤i̯²	tuoj		tɔːj	tɔːj	toːj		twoj¹	twoj¹		tuj¹		toːj¹	tɔːj²		
TAIL_3				twej²													
TAIL_4											dwoj¹		ʔwoj¹				
TAIL_5																ðwəj²	
TAIL_6																	ɗuəi̯³³
THICK_1	uɓau																
THICK_2		katɤi̯²	kutɨej														
THICK_3					taj	ktaj	taj		taj²	taj²	taj²	taj²	ʔaj²			ðəaj²	
THICK_4								kapu³						kbuː			
THICK_5																	jai̯²¹
THIS_1	kɯi̯																
THIS_2		ʔini¹						tani³									
THIS_3			ni	ni	nəi	niː	nei					naj¹			naː³	naː³	nai̯²¹
THIS_4														ʔaliː¹			
THOU_1	mɯi̯	ʔami¹	mi	mi	məi	miː	mei								miː²	məj²	mai̯²¹
THOU_2								cak									
THOU_3												jəw¹					
THOU_4													zaw¹				
THOU_5														tʰəw¹			
TIE_1	nʥʌt																
TIE_2		ʄak³															
TIE_3			ʔjak			pjak	pjak										
TIE_4					pɨak									poːk¹			
TIE_5								mat³⁴									
TIE_6									klɔːj³	klɔːj³		ʈɔj³	ʔlɔj³				
TIE_7																	ʈɔːi̯⁴⁵
TONGUE_1	lieh																
TONGUE_2		la̤ɽ⁴															
TONGUE_3			ləarl	ləalʰ²				lal³							lɐːl⁵¹		
TONGUE_4					laːc	laːt	laːc		laːj⁵¹	laːj⁴⁵	laːj⁴⁵			laʤʰ¹		laːn⁵⁵	
TONGUE_5																	lɨːi̯²¹⁴
TOOTH_1	atʰaŋ	kaɕaŋ¹	kasaŋ	kəsaŋ¹				kasaŋ³		saŋ¹	saŋ¹	taŋ¹		ksaŋ¹			ɹaŋ³³
TREE_1	ʨirʌŋ																
TREE_2		kɤ̤i̯²	kəʌj	kəj¹					kaə¹								kəi̯³³
TREE_3					kɔn		kʌl	kil³		kəl¹	kən¹	kən¹			kʌl²		
TREE_4						kaw											
TREE_5														tʰaŋ²			
TWO_1	hɛa̯l	hal¹	hal	haːl¹	haːn	haːl	haːl	hal³⁴		haːl¹				haːl¹	haːl¹	haːn¹	
TWO_2									haːə¹		haːn¹	han¹					haːi̯³³
TWO_3													han¹				
UPPER LEG (THIGH)_1	ulau																
UPPER LEG (THIGH)_2		palu¹	pulu	pəluː¹					bluː¹								
UPPER LEG (THIGH)_3					papaː	kpaː	kpaː								paː⁵		
UPPER LEG (THIGH)_4								tapɛl³²⁴									
UPPER LEG (THIGH)_5												ʈaj³pen³	ʔlaj³ben³				
UPPER LEG (THIGH)_6														maluː²			
UPPER LEG (THIGH)_7																	ɗui̯²¹
WALK_1	tiː	ti²	ti	tiː²	təi	tiː	tei		tiː¹	tiː¹	diː¹	ti¹	ʔi¹	tiː¹	tiː²	tiː²	ɗi³³
WALK_2								ʔɤc³⁴									
WARM_1	tiɲ	tiŋ¹												ptiŋ¹			
WARM_2			tɨl			tʰəːl	tʰəːl										
WARM_3				kəʔam				taʔɯm³⁴³	ʔəm³	ʔəm³					ʔʌm³	ʔʌm³	ʔəm⁴⁵
WARM_4												əm¹əm³	əm³				
WATER_1	ɗɛa̯k	ɗak³	dak	daːk⁵²	daːk	daːk	daːk	dak⁴		daːk⁵²		djak⁵²	djak⁵²	daːk¹	daːk⁵²	daːk⁵²	
WATER_2									raːk⁵²								
WATER_3											raːk⁵²						
WATER_4																	nɨːk⁴⁵
WHAT_1	amɯh	camɤ³	camə														
WHAT_2				kɛ				mʌ									
WHAT_3					ciː		ciː					si¹	ci¹				
WHAT_4														ʔahəː³			
WHAT_5																	ji²¹
WHITE_1	tlaːk				plɔːk	plɔːk	plɔk	lɒk³⁴	lɔːk⁵³	lɔːk⁵³				lɔːk³			
WHITE_2		takal¹	təkal	cakal													
WHITE_3												ʈaŋ³	laŋ³				ʈaŋ⁴⁵
WHITE_4															pɐːk⁵³		
WHO_1	iɗɯm																
WHO_2		ʔaʔai̯¹	ʔaj	ʔaj	ʔaɛ	ʔeː	ʔae		ʔaːj¹	ʔaːj¹					ʔeː¹	ʔeː¹	ʔaːi̯³³
WHO_3								ʔavɛ³									
WHO_4												aj¹	aj¹				
WHO_5														noː¹			
WIDE_1	roŋˀ				ɣoːŋ		ʰloːŋ								roːŋ⁴		ɹɔŋ͡m²¹²
WIDE_2			ʒuoŋ						ʐoːŋ⁴							ʐɔːŋ¹	
WIDE_3										tʰoːŋ⁴⁵							
WIND_1	kaʑɒʔ	kuʑɔ³		kəjɔː³													
WIND_2			kajɔ		jɔː	kajɔː	jɔː							kjuː¹			jɔː⁴⁵
WIND_3								ka³zɔ³⁴³	sɔː³	sɔː³	sɔː³	sɔ³			sɒː³		
WIND_4																jwa³	
