Gloss	Badga	Betta Kurumba	Brahui	Gondi	Kannada	Kodava	Kolami	Kota	Koya	Kurukh	Kuwi	Malayalam	Malto	Ollari Gadba	Parji	Tamil	Telugu	Toda	Tulu	Yeruva
sleep-E										khandaɾna			andaɾpo koːɖa							
sleep-F																tuːnɡə				
sleep-G									unʤaʈam											
sleep-H																			ʤippaɾa	
sleep-I							iːmanɡsati													
sleep-J			xaʧinɡ																	
sleep-K													anəa							
small-A						ʧeɾijadə						ʧeɾija				ciriya				ʧeɾija
small-B					ʧikkadu															
small-C			ʧunak	ʧinna			sinna		ʧinnad	sanni					cin	ʧinna	ʧinna		kiɲa	
small-D	kunnadə																			
small-E	kiʈʈiːʈ																			
small-F		kiɾi																keːɾuːɖə		
small-G													ɾikʋaːdi							
small-H													saɾʋe							
small-I								ɡuntə												
small-J														kandeːk						
smoke-A	hoɡe	pəɡɡi		poja	hoɡe	poɡe	poɡ	peɡu				puka		poaːɡ		pukai~puɡai	poɡa	pukuɖti	poɡa	poɡe
smoke-B									kumpoːɖ											
smoke-C			moːʃ							mosaɡa			moːha							
stand-A	nippə			nil	nintiko	nində	niːmaːn	ninnatukə	nilla~nilliman	iʤʤna		nilkuɡa	hilpo		nilp	nil	nilʧonu~nilabaɖu			ninʤo
stand-C		əːɭ																		
stand-D		əddənu iːɾ																		
stand-E																		mukkaɖuɾil		
stand-F																			untaɾa	
stand-G			salinɡ~ʤeːk salinɡ																	
star-A		miːnu								biːnko			biːnka			mĩn				
star-B			(isʈaːɾ)																	
star-C	(naʧʧatɾa)				(nakʂatɾ)	(nakʂatɾa)		(nakʂaʈiɾam)				(nakʂatɾam)				(naʧʧatiɾam)	(nakʂatɾamu)	(naʈʧatiɾam)	(nakʂatɾe)	(naʧʧatiɾa)
star-D				sukku			sukka		ukka		huka				cukka		ʧukka			
star-E														puʈ						
star-F	paːndmiːnə																			
stone-A	kallə	kallə	xal		kallu	kallə		kal				kallə		kanɖ	kel	kallə		kaɾs	kallu	kallu
stone-B									ɾaːj								ɾaːji			
stone-C											ʋali									
stone-D				baɳɖa																
stone-E							ɡunɖə													
stone-F													ɡuɡa							
stone-G										pakʰna										
sun-A					(suːɾja)	(suːɾja)	(suɾija)	(suːɾijan)				(suːɾjan)				(suːɾjan)	(suːɾjuɖu)	(suːɾijan)	(suːɾje)	(ʧuːɾja)
sun-B		pottə		poɾə			poddu	poɖutə	poɖudu								poddu			
sun-C										biːɖi			beːɾdu							
sun-D	ottə																			
sun-E			de																	
sun-F											ʋeda			ʋele						
swim-A	niːndə	niːnɖʒu			iːʤo			niːʧal	iːta			neentuɡa				neentə	iːdu	niːʧal		
swim-B										oːɡna			hoːɡpo							
swim-C						miːɾodu														
swim-D																				maɳa
swim-E																			miːndaɾa	
swim-F							poːnim													
swim-G				pohem																
swim-H				naɾi																
swim-I			beʂolinɡ																	
tail-A	paːlə	baːlə			baːla	baːlə		ʋaːlə				ʋaːlə				ʋaːlə	vaːlamu	poːɾsam		baːlu
tail-B				tokoɾ			toːka		tokaːɾ						tõka		toːka			
tail-C										kʰola			oli							
tail-D																			biːla	
tail-E			liʈʈik																	
tail-F														kindiɾ						
that-A	adə	adə		adu	aː~adhu	adə	ad	adhə	addu	huː		aː~adə	aːdu~haːd	adə	aː	anta~adhə	aː~adi	adə	aʋu	aʋeː
that-B			ae								et									
this-A	idə	idə		id	idhu	idə	id	idhə	iddu	iːd	idu	iː~idə	iːdu	idə	ĩ	inta~idhə	ĩ~idi	idə		iʋeː
this-B																			undu	
this-C			daː																	
thou-A	ni	niːjə	niː	nimme	niːnu	niːnə	niːnu	niːja	nimma	niːn	ninu	ni	niːn~niːnu	in	ĩn	ni	niːʋu~nuʋʋu	ni	i	ni
tongue-A	naːlanɡe	nelɡi			naːliɡe	naːʋu	naːlka	naːlɡə	naːlike			naːkə		naːnɡ	nevãɖ	naːkkə	naːluka	noːf	naːlaːji	naːʋu
tongue-B										takkha			taɖta							
tongue-C				ʋenʤeɾ							ʋenɖaːɾu									
tongue-D			duʋiː																	
tooth-A	hallə	pallə		pal	hallu	pallə	palku	pal	palk	pall	palu	pallə	paːldu	paːlkill	pel	pallə	pannu	paɾse		pallu
tooth-B																			kuːli	
tooth-C			(dandaːn)~(dantaːn)																	
tree-A	moɾa	meɾi		maɾa	maɾa	maɾa	maːk	maɾam	maːɾa	mann		maɾam			meɾi	maɾam		meːn	maɾa	maɾa
tree-B																	ʧeʈʈu			
tree-C												(vɾukʂam)								
tree-D			dɾahkʰt																	
tree-E											paʈa									
two-A	eɾaɖə	əddu	iɾat	ɾeɳɖu	jeɾaɖu	daɳɖə		eɖu	ɾeɳɖ	iːɾəb	ɾinɖa	ɾendə		iɾuɖu	iɾ	ɾenɖə	ɾeɳɖu	eːɖə	ɾaɖɖu	iɾandə
two-B													paːnɖa							
two-C													maksa							
two-D													ʤoːɖsa							
two-E							duɖə													
walk-A	naɖəʋadə	naɖi			naɖə	naɖa		naɖʋu	naɖam			naɖakkuɡa				naɖə	naɖuʧu	naɖaɾɾə~naɖandə	naɖapaɾa	naɖa
walk-B							naɖus													
walk-C										eːkʰna			heːkpo							
walk-D				taka																
walk-E			ʧeɾɾinɡ																	
warm-A			baːsun		beʧʧaɡe	bekke	ʋekka		ʋeːɖ					ʋeʈal		ʋedəʋedəppə	ʋeʧʧa		beʧʧa	bekki
warm-B												(uʂɳa)								
warm-C		suːɖə														suːɖə				
warm-D	uppekke~uppe																			
warm-E																		koɾtilije		
warm-F												ʧeɾəʧuːɖə								
warm-G													kuɖni							
warm-H				kaːsta																
warm-I										udum										
warm-J										oːɾʧka										
water-A																taɳɳi				
water-B												ʋellam								
water-C												(jalam)								
water-D										amm			hamdu							
water-E	niːɾə	niːɾə	diːɾ		niːɾu	niːɾə	iːɾ	niːɾ	eːɾu					niːɾ	nĩɾ	niːɾə	niːɾu~niːɭɭu	niːɾ	niːɾə	niːɾu
water-F											eju									
water-G				jeɾ																
we-A	nanɡa		nan		naːʋu	nanɡa			manaːɖu	naːm		naːm	naːmu			naːm	manamu			nanɡa
we-B		naɳɡə~jaɳɡə		mammoʈ			amdə	amme	mamma		mambu	nammal		aːm	aːm	naːnɡa	meːmu	oːm	jankulu	
what-A	eːnə	ajindi	antə	baʈʈal	jeːnu	jentə	em	etaːnə	baːta	jeːndɾa	ena	endə	indiɾdu~indɾaːn	ennaːʈ	naːto	enne	ẽmi~eːɳʈi~eːmiʈi	inno	enʧina	entai
white-A	ʋeɭɭe	bəɭɭu			biɭi	boltadə		ʋellə				ʋeɭuppə			vil	veɭɭə	vella	pelti	boldu	boltaji
white-B				tellaɡ			telluɖi		telup								telupu			
white-C										paɳɖɾu	pandi									
white-D			piːun																	
white-E													sadaː							
white-F													ʤinpɾo							
white-G											dumda									
white-H											kumnɖi									
who-A		daːɾə	deːɾ	boɾ	jaːɾu	daːɾə		daːɾə		ne		aːɾə	neːdu		ed	jaaɾə	evaɾu	oɾi	jeːɾu	jaːɾu
who-B	taːɾa																			
who-C									beːnonɖu											
who-D											daat									
woman-A		pəɳakkən			henɡasu	ponnaːɭə		pemaɡu				peɳɳə				peɳ~poɳɳə			ponʤa	
woman-B					(stɾĩ)							(stɾiː)					(stɾiː)			
woman-D																	aːɖadi			
woman-E																		tusmoːɡə		
woman-F									naːtaʋaːd											
woman-G									piːkiːɖ											
woman-H																	mahiɭa			
woman-I	emmaːti																			
woman-J																				paniʧi
woman-K			(njaaɽi)																	
woman-L													teldu							
woman-M										mukka										
woman-N										aːli										
woman-O							baːji													
woman-P				muɾtad																
woman-Q											ɖoli									
woman-R											aːnʋanli									
woman-S											kodoɡi pada									
yellow-A	manʤe	manʤəlaːnɡi				manʤa		manʤə				maɲa				manʤaɭ			manʤalu	manʤe
yellow-B					(haladi)															
yellow-C									pasap								pasupu			
yellow-D																		aɾʤin		
yellow-E										baːlka			balke							
yellow-F											hinɡeɾi									
yellow-G			puːʃkun																	
yellow-H											toɡoɾi									
yellow-I				pivaːʰd																
yellow-J				kampal																
yellow-K							pijuda													
