Gloss	Belarusian	Bulgarian	Burgenland Čakavian	Czech	Kajkavian	Latvian	Lithuanian	Macedonian	Polish	Russian	Slovak	Slovenian	Ukrainian	Čakavian (Cres)	Čakavian (Istria)	Štokavian
ICE	lʲˈɵt	lɛt		lˈɛt		lædus	ɫɛ̌dɐs		lut	lʲɵt	ʎat	lɛ̀ːd	lʲid			lêːd
I_1			jâː		jaː			jas						ja	jǎː	
I_2			mjênɛ		mˈænæ			mene						mɛnˈɛ	manˈɛ	
KILL	zabʲˈiʦʲ	ubˈijɐ~umɐrtvʲˈɤ		zˈabiːt		nɑːveːt~nuɔ̯ɡɑlinɑːt	ʒʊdîːtʲɪ~nʊʒʊdîːtʲɪ		zˈabʲiʨ	ʊbʲˈitʲ	zˈabic~ˈusmr̩cic	ubìːti	ʊbˈɪtɪ			ǔbiti
KILL_1			ʔˈubit		ˈubit			ubije						ubˈit	ubˈit	
KNEE	kalʲˈena	kolʲˈano		kˈolɛno		ʦɛlis	kɛ̌lʲɪs		kɔlˈanɔ	kɐlʲˈenə	kˈɔɫɛnɔ	kɔlɛ̀ːnɔ	kɔlʲˈinɔ			kǒʎeno
KNEE_1			kɔljěnɔ		kɔlˈænɔ			koʎeno						kɔlěːnɔ	kɔlˈɛnɔ	
KNOW (SOMETHING)_1			znat		znɒt			znaj						znat	znat	
KNOW_(SOMETHING)	znaʦʲ	znˈajɐ		vjˈɛɟɛt		zinɑːt	ʒʲɪnôːtʲɪ		vʲjˈɛʥɛʨ	znatʲ	ʋˈɛɟɪ̯ɛc	znàːti~ʋɛ̀ːdɛti	znˈɑtɪ			znâti
LAKE	vˈozʲera	ˈɛzɛro		jˈɛzɛro		ɛzɛrs	ɛ̌ʒɛrɐs		jɛʑˈɔɾɔ	ˈozʲɪrə	jˈazɛrɔ	jɛ̀ːzɛrɔ	ˈɔzɛrɔ			jêzero
LAUGH	smʲæʲˈæʦʦa	smˈɛjɐ sɛ		smˈaːt sˈɛ		zmiɛ̯t~zmiɛ̯tiɛ̯s	juəktʲɪs		ɕmʲjaʨ ɕɛ	smʲɪjˈatʦə	smɪ̯acsa	smɛjàːtisɛ	smʲiʲˈɑtɪsʲɐ			smǐjatise
LEAF	lʲist	list		lˈupɛn		lɑpːɑ	ɫǎpɐs		lʲiɕʨ	lʲist	ɫist	lìːst	ɫɪst			lîːst
LEAF_1			lîːst		lˈiːʃʧæ			ʎis							lîːs	
LEAF_2														pɛrˈɔ		
LEG	naʁˈa	krak~noɡˈa		nˈoɦa		kɑːjɑ	kôːjɐ		nˈɔɡa	nɐɡˈa	nˈɔɦa	nóːɡa	nɔɦˈɑ			nǒɡa
LIE (REST)_1			lˈɛʒat		lˈæʒɒt			ʎeʒi						lɛʒˈat	lɛʒˈat	
LIE_(REST)	lʲæʐˈaʦʲ	lɛʒˈɤ		lˈɛʒɛt		ɡuleːt	ɡʊɫêːtʲɪ		lˈɛʐɛʨ	lʲɪʐˈatʲ	ɫˈɛʒac	lɛʒàːti	ɫɛʒˈɑtɪ			lěʒati
LIVER	pʲˈeʧanʲ	ʧˈɛrɛn drɔp		jˈaːtra		ɑɡnɑs	kɛ̌pɛnʲiːs		vɔntɾˈɔba	pʲˈeʨɪnʲ	pˈɛʧɛɲ	jɛ̀ːtra	peʧʲˈinkɐ			jêtra
LIVER_-1								(ʦr̩n ʤiɡer)								
LIVER_1			jâːtra		jejtra									jěːtra	jjětra	
LONG	dˈowɣʲi	dˈɤɫɐk		dlˈou̯ɦiː		ɡɑrʃ	ɪ̂ɫɡɐs		dwˈuɡʲi	dˈoɫɡʲɪɪ̯	dˈɫ̩ɦiː	dɔ̀ːlɡ	dˈɔʋɦɪi̯			dûɡ~dûɡaʧak
LONG_1			dˈuʒiʧak		dˈowɡi			dolk~dok						děːlɡi	dǔːx	
LOUSE	voʂ	vˈɤʃkɐ		vˈɛʃ		uts	ʊteːɫěː		vɛʂ	voʂ	ʋɔʃ	ùːʃ	wˈɔʃɐ			ûːʃ
LOUSE_1			vûːʃ		vuːʃ			voʃka						svɛnˈɛʦ	ʃɛnˈaʦ	
MAN	muʂʧˈɨna	mɤʃ		mˈuʃ		viːriɛ̯tis	ʋîːrɐs~ʋʲiːrʲɪ̂ʃkʲɪs		mɛw̃ʂt͡ʂˈɨzna	mʊɕːˈinə	muʃ~xɫap	mɔ̀ːʒ~móːʃki	ʧɔɫɔʋʲˈik			muʃkǎːraʦ
MANY_1								mnoɡu~noɡu								
MANY_2			ʧˈuda		ʧˈudɒ										ʧˈuda	
MANY_3															pˈunɔ	
MANY_4														blâːɡɔ		
MAN_-1			(ɦlâːp)												(muʃkîː)	
MAN_1			mûːʒ		mowʃ~mɔʃkiː			maʃ						mûːʃ~mǔːʃki~mˈuʃki		
MEAT	mʲˈæsa	mɛsˈɔ		mˈaso		ɡɑʎɑ	meːsɑ̂		mʲjˈɛw̃sɔ	mʲˈasə	mˈæsɔ	mɛsɔ̀ː	mjˈɑsɔ			mêːso
MEAT_1			mjêsɔ		mˈejsɔ			meso						mêːsɔ	mjêsɔ	
MOON	mʲˈesʲæʦ	ɫunˈa~mˈɛsɛʦ		mɲˈɛsiːʦ		meːnɛsː	meːnʊ̂lʲɪs		kɕˈɛw̃ʐɨʦ	ɫʊnˈa	mˈɛsɪ̯aʦ	lùːna~mɛ̀ːsɛʦ	mʲˈisʲɐʦʲ			mjêseːʦ
MOON_1			misɛʦ					meseʧina						měːsɛʦ	mˈɛsɛʦ	
MOTHER	mˈaʦʲi	mˈajkɐ		mˈatka		mɑːtɛ	môːtʲɪnɐ		mˈatka	matʲ	mac~mˈatka	màːma	mˈɑtɪ			mâːjka
MOUNTAIN	ʁarˈa	pɫɐninˈa		ɦˈora		kɑlns	kâˑɫnɐs		ɡˈuɾa	ɡɐrˈa	ɦˈɔra	ɡóːra~planìːna	ɦɔrˈɑ			planǐna
MOUNTAIN_1								planina								
MOUNTAIN_2			ɡu̯ɔ̌ra											ɡɔrˈa	ɡɔrˈa	
MOUNTAIN_3															vr̩x	
MOUNTAIN_4					brejɡ											
MOUTH	rot	ustˈa		pˈusa		mutːɛ	bʊrnɑ̂		ˈusta	rot	ˈuːsta	ùːsta	rɔt			ǔːsta
MOUTH_-1			(ɡǔːba)~(ɦˈuba)													
MOUTH_1			ʔûːsta					usta						ǔːsta	ǔːsta	
MOUTH_2					zˈowbi											
NAME	jimʲˈæ	ˈimɛ		jmˈɛːno		vɑːrts	ʋɐ̂rˑdɐs		ˈimʲjɛ	ˈimʲə	mˈɛnɔ	imɛ̀ː	imjˈɑ			îme
NAME_1			ʔimɛ		ˈimæ			ime						ˈimɛ~jˈimɛ	ˈimɛ	
NAPE_(OF_NECK)	patˈɨlʲiʦa	tiɫ		tˈiːl		sbrɑnts	sprâˑndɐs		kaɾk	zɐtˈɨɫək	ʋˈæzi	zatìːlnik	pɔtˈɪɫɪʦʲɐ			zǎtiʎak
NARROW	vˈusʲkʲi	tˈɛsɛn		ˈuːskiː		tiɛ̯fs	smʊ̂ɫkʊs		vˈɔw̃skʲi	ˈuskʲɪɪ̯	ˈuːski	ɔ̀ːzɛk	wʊzʲkˈɪi̯			ûzak
NEAR	blʲˈisʲkʲi	blˈizɐk		blˈiːskiː		tufs	ɐ̂rˑtʲɪmɐs		blʲˈiskʲi	blʲˈiskʲɪɪ̯	bɫˈiːski	blìːʒni	bɫɪzʲkˈɪi̯			blîzak
NEAR_1					blˈizu~blˈiːzu			bʎizu						blǐːzu	blǐːzu	
NECK	ʂˈɨjæ	vrat		kˈr̩k		kɑɡls	kǎkɫɐs		ʂˈɨja	ʂˈɛjə	kr̩k	ʋràːt	ʃˈɪjɐ			ʋrâːt
NECK_1								ʃija								
NECK_2			vrat											vrâːt	vrâːt	
NECK_3					ɡowt											
NEW	nˈovɨ	nɔf		nˈoviː		jau̯ns	nɒʊ̯ˑjɐs		nˈɔvɨ	nˈovɨɪ̯	nˈɔʋiː	nɔ́ʋ	nɔʋˈɪi̯			nôʋ
NEW_1			nu̯ôv		nowv			nof						nɔ̌ːvi	nu̯ǒf	
NIGHT	noʧ	nɔʃt		nˈoʦ		nɑkts	nɐktʲɪ̂s		nɔʦ	noʨ	nɔʦ	nɔ̀ːʧ	nʲiʧ			nôːʨ
NIGHT_1			nu̯ôc		nowʧ			noc						nôːc	nu̯ôc	
NINE	ʣʲˈevʲæʦʲ	dˈɛvɛt		dˈɛvjɛt		dɛviɲi	dɛʋʲiːnʲɪ̂		ʥˈɛvʲjɛɲʨ	dʲˈevʲɪtʲ	ɟˈɛʋæc	dɛʋɛ̀ːt	dˈɛʋjɐtʲ			dêʋeːt
NOSE	nos	nɔs		nˈos		dæɡuns	nôːsʲɪs		nɔs	nos	nɔs	nɔ̀ːs	nʲis			nôːs
NOSE_1			nu̯ôs		nu̯os~nows			nos						nôːs	nu̯ôs	
NOT	nʲe	nɛ		nˈɛ		nɛ	nɛ̂		ɲɛ	nʲɪ	ɲɪ̯ɛ	nɛ	nɛ			nê
NOT_1			nɛ		næ			ne						nɛ	nɛ	
OLD_(AGED)	starˈɨ	star		stˈariː		væʦ	pɐɡʲiːʋɛ̌næːs		stˈaɾɨ	pəʐɨɫˈoɪ̯	stˈariː	stár	stɐrˈɪi̯			stâr
OLD_(USED)	starˈɨ	star~drˈɛvɛn		stˈariː		sɛns~væʦ	sɛ̌nɐs		stˈaɾɨ	stˈarɨɪ̯	stˈariː	stár	stɐrˈɪi̯			stâr
ONE	aʣʲˈin	ɛdˈin		jˈɛdɛn		viɛ̯ns	ʋîənɐs		jˈɛdɛn	ɐdʲˈin	jˈɛdɛn	éːdɛn	ɔdˈɪn			jědan
ONE_1			jˈɛdaːn~jˈɛdan		jˈædæn			eden						jɛdˈɛn	jɛdǎːn	
OTHER	jˈinʂɨ~druɣʲˈi	druk		jˈɪniː		uɔ̯drs	kʲɪ̂tɐs		ˈinnɨ	drʊɡˈoɪ̯	ˈiniː~drˈuɦiː	drùːɡi	inˈɑkʃɪi̯			drûɡiː~druɡǎʧijiː
PATH	sʲʦʲˈeʂka	pɐtˈɛkɐ		stˈɛska		tɑkːɑ	tǎkɐs		ɕʨˈɛʂka	trɐpˈa	xˈɔdɲiːk	stɛzá	stˈɛʒkɐ			stǎza
PERSON	ʧʌlavʲˈek	ʧovˈɛk		ʧlˈovjɛk		ʦilvæːks	ʒmoɡʊ̂s		t͡ʂwˈɔvʲjɛk	ʨɪɫɐvʲˈek	ʧɫˈɔʋɛk	ʧlóːʋɛk	lʲʊdˈɪnɐ			ʧǒʋjek
PERSON_1			ʧlˈɔviːk		ʧlˈu̯ovæk			ʧojek						ʧɔvˈɛk~ʃlɔvˈɛk	ʧɔvˈɛk	
PLAY	jiʁrˈaʦʲ	iɡrˈajɐ		ɦrˈaːt		speːleːt~speːleːtiɛ̯s	ɡrôːtʲɪ~ʒɐʲɪ̯ˑstʲɪ		ɡɾaʨ~bˈavʲiʨ ɕɛ	ɪɡrˈatʲ	ɦrac	iɡràːtisɛ	ɦrˈɑtɪ			ǐɡratise
PULL	ʦʲæʁnˈuʦʲ	tˈɛɡlʲɐ~drˈɤpnɐ		tˈaɦat~tˈaːɦnou̯t		vilkt	tɛ̂mˑptʲɪ		ʨˈɔŋɡnɔɲʨ	tʲɪnˈutʲ	cˈaɦac	ʋlɛ̀ːʧi	tʲɐɦnˈutɪ			ʋǔːʨi
PUSH	pxaʦʲ~ʂtˈurxaʦʲ	tˈikɐm		pˈosou̯vat		stumt	stʊ̂mtʲɪ		pxaʨ~pɔsˈuvaʨ	tɐɫkˈatʲ	pˈɔsunɔʋac	rìːniti	pxˈɑtɪ~ʃtɔʋxˈɑtɪ			ɡǔːrati
RAIN (PRECIPITATION)_1								doʃ						dɛʃ	dǎːʃ	
RAIN (PRECIPITATION)_2			ɡu̯ɔ̌dina		ɡˈu̯odinɒ											
RAIN_(PRECIPITATION)	doʂʧ	dɤʃt		dˈɛːʃc		liɛ̯tus	ɫiətʊ̂s		dɛʂt͡ʂ	doʂtʲ	daːʃc	dɛ́ʒ	dɔʃʧ			kîʃa
RED	ʧɨrvˈonɨ	ʧɛrvˈɛn		rˈudiː~ʧˈɛrvɛniː		sɑrkɑns	rɒʊ̯ˑdôːnɐs		t͡ʂɛɾvˈɔnɨ	krˈasnɨɪ̯	ʧˈɛrʋɛniː	rdɛ́ʧ	ʧɛrwˈɔnɪi̯			ʦř̩ʋen
RED_1			ʧˈr̩ʎjɛn~ʧˈr̩ʎɛn		ʧˈɛrjæn			ʦr̩ven						ʧɛvjěːni		
RED_2															kr̩vǎːvi	
RIVER	rakˈa	rɛkˈa		r̝ˈɛka		upːɛ	ʊ̂peː		ʐˈɛka	rʲɪkˈa	rˈɪ̯ɛka	rɛ̀ːka	ɾʲikˈɑ			rjeː̌ka
ROAD	darˈoʁa	pɤt		ʦˈɛsta		iɛ̯lɑ	ɡǎtʋeː		dɾˈɔɡa	putʲ~dɐrˈoɡə	ʦˈɛsta	ʦɛ̀ːsta	dɔrˈɔɦɐ			pûːt~ʦêsta
ROAD_-1			(ʦjěsta)													
ROAD_1								pat								
ROAD_2														ʧˈɛsta	ʧˈɛsta	
ROAD_3					stjˈezɒ											
ROCK	kˈamʲenʲ	kˈamɐk		kˈaːmɛn		ɑɡmɛns	ɐkmuə		kˈamʲjɛɲ	kˈamʲɪnʲ	kˈamɛɲ	kàːmɛn	kˈɑmʲinʲ			kâmeːn
ROOT	kˈoranʲ	kˈɔrɛn		kˈor̝ɛn		sɑɡnɛ	ʃɐknʲɪ̂s		kˈɔʐɛɲ	kˈorʲɪnʲ	kˈɔrɛɲ	kɔrɛnìːna	kˈɔɾʲinʲ			kôrjeːn
ROOT_1			ku̯ɔ̌rɛn		kˈu̯orænɒ			koren						kɔ̌ːrɛn	kˈɔrɛn	
ROUND	krˈuʁlɨ	krˈɤɡɐɫ		kˈulatiː~ˈokrou̯ɦliː		ɑpːɑʎʃ	ɐpʋɐɫʊ̂s~ǎpskrʲɪtɐs		ɔkɾˈɔŋɡwɨ	krˈuɡɫɨɪ̯	ɡˈuʎatiː~ˈɔkruːɦɫi	ɔkrɔ̀ːɡɛl	krˈuɦɫɪi̯			ǒkruːɡao
ROUND_-1														(tɔ̌ːndi)	(tu̯ǒnt)	
ROUND_1								tɛrkalest								
ROUND_2					krˈowpi										ɔkrǔːɡal	
RUB	ʦʲˈerʦʲi	trˈijɐ~tˈɤrkɐm		tr̝̊ˈiːt		riːveːt~bɛrzeːt	trʲɪ̂ntʲɪ~tɐrkûətʲɪ		tʂɛʨ	tʲɪrʲˈetʲ	trɪ̯ɛc	trɛ̀ːti~də̀rɡniti	tˈɛrtɪ			tr̩̂ti
SALT	solʲ	sɔɫ		sˈuːl		sɑːls	drʊskɑ̂		sul	solʲ	sɔʎ	sɔ̀ːl	sʲilʲ			sôːl
SALT_1			su̯ôl		sowj			soʎ						sôːl	su̯ôl	
SAND	pʲæsˈok	pʲˈasɐk		pˈiːsɛk		zmiltis	směːlʲɪs		pʲjˈasɛk	pʲɪsˈok	pˈɪ̯ɛsɔk	pɛ̀ːsɛk	pʲisˈɔk			pjeːsak
SAND_-1															(sablu̯ôn)~(ʃablu̯ôn)	
SAND_1					pˈejsæk			pesok						pɛsˈɛk		
SAY	skazˈaʦʲ	kˈaʒɐ		r̝ˈiːʦt		tɛi̯kt	tɐ̂rˑtʲɪ		pɔvʲjˈɛʥɛʨ	skɐzˈatʲ	pˈɔʋɛdac	dɛjàːti	skɐzˈɑtɪ			rěʨi~kǎːzati
SAY_1					væjˈiːm			veʎi								
SAY_2			rɛc		ræʧ~ræʧt~rˈæʧti			reʧi						rɛc	rɛc	
SEA	mˈora	morˈɛ		mˈor̝ɛ		juːrɑ	jûːrɐ		mˈɔʐɛ	mˈorʲe	mˈɔrɛ	mɔ̀ːrɛ	mˈɔrɛ			môːre
SEE	bˈaʧɨʦʲ	vˈidʲɐ		vˈɪɟɛt		rɛʣeːt	ʒʲɪuːreːtʲɪ		vʲˈiʥɛʨ~zɔbˈat͡ʂɨʨ	vʲˈidʲɪtʲ	ʋˈiɟɪ̯ɛc	ʋìːdɛti	bˈɑʧɪtɪ			ʋîdjeti
SEED	sʲˈemʲæ	sˈɛmɛ		sˈɛmɛno		sæːɡlɑ	sêːkɫɐ		naɕˈɔnɔ	sʲˈemʲə	sˈɛmɛnɔ	sɛ̀ːmɛ	sʲˈimjɐ			sjême
SEED_1			sˈimɛ		sjˈemæ			seme						sěːmɛ	sˈɛmɛn	
SEE_1								puʎi								
SEE_2			vˈidit		vˈidæt~vˈidæti~vˈidit			vidi						vêːc~vêːt	vˈidɛt	
SEVEN	sʲem	sˈɛdɛm		sˈɛdm̩		sɛptiɲi	sɛptʲiːnʲɪ̂		ɕˈɛdɛm	sʲemʲ	sˈɛɟɛm	sɛ̀ːdɛm	sʲim			sêdam
SEW	ʂɨʦʲ	ʃˈijɐ		ʃˈiːt		ʃuːt	sʲɪûːtʲɪ		ʂɨʨ	ʂɨtʲ	ʃic	ʃìːʋati	ʃˈɪtɪ			ʃîti
SHARP	vˈostrɨ	ˈɔstɐr		ˈostriː		ɑsː	ɐʃtrʊ̂s		ˈɔstɾɨ	ˈostrɨɪ̯	ˈɔstriː	ɔ̀ːstɛr	ɦˈɔstrɪi̯			ôʃtar
SHOOT	stralʲˈæʦʲ	strˈɛlʲɐm		str̝̊ˈiːlɛt		ʃau̯t~ʃau̯diːt	ʃâˑʊ̯tʲɪ~ʃâˑʊ̯dʲiːtʲɪ		stʂˈɛlaʨ	strʲɪlʲˈætʲ	strˈɛɫic~strˈɪ̯ɛʎac	strɛ̀ːlati	stɾʲilʲˈɑtɪ			pûʦati~strjeː̌ʎati
SHORT	karˈotʲkʲi	krˈatɐk		krˈaːtkiː		iːsː	trʊ̂mˑpɐs		kɾˈutkʲi	kɐrˈotkʲɪɪ̯	krˈaːtki	kràːtɛk	kɔrˈɔtkɪi̯			krǎːtak
SHORT_1								kus								
SHORT_2			krâːtaːk		krˈaːtki									krǎːtak	krâːtak	
SING	pʲeʦʲ~sʲpʲævˈaʦʲ	pˈɛjɐ		spˈiːvat		ʣiɛ̯dɑːt	dɐʲɪ̯ˑnûətʲɪ		ɕpʲjˈɛvaʨ	pʲetʲ	spˈɪ̯ɛʋac	pɛ̀ːti	spʲiʋˈɑtɪ			pjêʋati
SIT	sʲæʣʲˈeʦʲ	sɛdʲˈɤ		sˈɛɟɛt		seːdeːt	seːdêːtʲɪ		ɕˈɛʥɛʨ	sʲɪdʲˈetʲ	sˈɛɟɪ̯ɛc	sɛdɛ̀ːti	sɪdʲˈitɪ			sjěditi
SIT_1			sˈidit		sjˈedit			sedi						sɛdˈɛt	sɛdˈɛt	
SIX	ʂʲesʲʦʲ	ʃɛst		ʃˈɛst		sɛʃːi	ʃɛʃʲɪ̂		ʂɛɕʨ	ʂɛsʲtʲ	ʃɛsc	ʃɛ̀ːst	ʃʲistʲ			ʃêːst
SKIN	skˈura	kˈɔʒɐ		kˈuːʒɛ		ɑːdɑ	ôːdɐ		skˈuɾa	kˈoʐə	kˈɔʒa	kɔ̀ːʒa	ʃkʲˈirɐ			kôʒa
SKIN_1			ku̯ɔ̌ʒa		kˈu̯oʒɒ			koʒa						kɔ̌ːʒa	kˈɔʒa	
SKY	nʲˈeba	nɛbˈɛ		nˈɛbɛ		dɛbɛsː	dɐnɡʊ̂s		ɲˈɛbɔ	nʲˈebə	ɲˈɛbɔ	nɛbɔ̀ː	nˈɛbɔ			nêbo
SLEEP	spaʦʲ	spʲɤ		spˈaːt		ɡuleːt	miəɡôːtʲɪ		spaʨ	spatʲ	spac	spàːti	spˈɑtɪ			spâti
SLEEP_1			spat		spaːt			spije						spat	spat	
SMALL	malʲˈenʲkʲi	mˈaɫɐk~drˈɛbɛn		mˈaliː		mɑsː	mǎʒɐs		mˈawɨ	mˈalʲɪnʲkʲɪɪ̯	mˈaɫiː	màːjxɛn	mɐɫˈɪi̯~mɐɫˈɛnʲkɪi̯			mâːliː~mǎlen
SMALL_1			mǎːʎuʧak~mǎːjuʧak		mɒl			mal						mâːli	mâːli	
SMELL_(PERCEIVE)	nʲˈʉxaʦʲ	dˈuʃɐ		ʦˈiːcɪt		uɔ̯st~uɔ̯stiːt	ûəstʲɪ~ʊʒûəstʲɪ		vˈɔw̃xaʨ	nʲˈuxətʲ	ɲˈuxac	ʋóːxati	nʲˈuxɐtɪ			ɲûʃiti
SMOKE (EXHAUST)_1								ʧat								
SMOKE (EXHAUST)_2			dîːm		diːm~dim									dǐːm	dǐːm	
SMOKE_(EXHAUST)	dɨm	dim~pˈuʃɛk		dˈiːm~kˈou̯r̝̊		duːmi	dûːmɐʲɪ̯ˑ		dɨm	dɨm	dim	dím	dɪm			dîm
SMOOTH	ʁlˈatʲkʲi	ɡɫˈadɐk		ɦlˈatkiː		ɡluts~zlidæns	slʲɪdʊ̂s		ɡwˈatkʲi	ɡɫˈatkʲɪɪ̯	ɦɫˈatkiː	ɡlàːdɛk	ɾʲˈiʋnɪi̯~ɦɫɐdkˈɪi̯			ɡlâdak
SNAKE	zmʲæʲˈæ	zmijˈa		ɦˈat		ʧuːskɑ	ɡʲiːʋǎteː		vɔw̃ʂ~ʐmʲˈija	zmʲɪjˈa	ɦat	kàːʧa	zmʲiʲˈɑ			zmǐja
SNAKE_-1			(ɦad)													
SNAKE_1								zmija							zmˈija	
SNAKE_2								smok								
SNAKE_3														ɡat		
SNAKE_4														smradˈina		
SNOW	snʲeʁ̥	snʲak		sɲˈiːx		zniɛ̯ks	sniəɡɐs		ɕɲɛk	sʲnʲek	sɲɛx	snɛ̀ːɡ	snʲiɦ			snjeː̂ɡ
SPEAK	ʁʌvarˈɨʦʲ	ɡovˈɔrʲɐ		mlˈuvɪt		runɑːt	kɐɫbêːtʲɪ		mˈuvʲiʨ	ɡəvɐrʲˈitʲ	ɦˈɔʋɔric	ɡɔʋɔrìːti	ɦɔwɔrˈɪtɪ			ɡoʋǒriti
STAND	staʲˈæʦʲ	stojˈɤ		stˈaːt		stɑːveːt	stoʋêːtʲɪ		staʨ	stɐjˈætʲ	staːc	stàːti	stɔʲˈɑtɪ			stâjati
STAND_1			stâːt		staːt			stoj						stǎːt	stǎːt	
STAR	zˈorka	zvɛzdˈa		ɦvjˈɛzda		zvai̯ɡznɛ	ʒʋɐʲɪ̯ˑɡʒděː		ɡvʲjˈazda	zvʲɪzdˈa	ɦʋˈɪ̯ɛzda	zʋɛ̀ːzda	zʲˈirkɐ			zʋjeː̌zda
STAR_1			zvjêzda		zvˈejzdɒ			ʣvezda						zvɛzdˈa	zvjezdˈa	
STICK	pˈalka	prɤt		ɦˈuːlka		buɔ̯zɛ~spiɛ̯cis	ɫɐzdɑ̂		kʲij~lˈaska	pˈaɫkə	pˈaɫiʦa	pàːliʦa	pˈɑɫɪʦʲɐ			ʃtâːp~pâliʦa
STONE_-1															(ɡrˈɔta)	
STONE_1			kǎːmɛn		kˈowmæn			kamen						kaměːna~kǎːmik	kˈamik	
STUPID	durnˈɨ	ɡɫˈupɐf		ɦlˈou̯piː		stulps~muʎciːks	pɐʲɪ̯ˑkɐs~kʋɐʲɪ̯ˑɫɐs		ɡwˈupʲi	ɡɫˈupɨɪ̯	ɦɫˈuːpi	ɡlùːp~bɛ̀ːdast	dʊrnˈɪi̯			ɡlûːp
SUN	sˈonʦa	sɫˈɤnʦɛ		slˈunʦɛ		sau̯lɛ	sâˑʊ̯ɫeː		swˈɔɲʦɛ	sˈonʦə	sˈɫ̩ŋkɔ	sɔ̀ːnʦɛ	sˈɔnʦɛ			sûːnʦe
SUN_1			sûːnʦɛ		sˈownʦæ~sˈu̯onʦæ			sonʦe						sěːnʦɛ	sǔːnʦe	
SWIM	plˈavaʦʲ	pɫˈuvɐm		plˈavat		pɛldeːt	pɫɒʊ̯ˑktʲɪ		pwˈɨvaʨ	pɫˈavətʲ	pɫˈaːʋac	plàːʋati	pɫɪʋtˈɪ~pɫˈɑʋɐtɪ			plîʋati
SWIM_1								kapi								
SWIM_2			plut		pʎuːt~pjuːt									plˈavat	plˈivat	
TAIL	xvost	opˈaʃkɐ		ˈoʦas		ʎipːɑ	uədɛɡɑ̂		ˈɔɡɔn	xvost	xʋɔst	rɛ́p	xʋʲist			rêːp
TAIL_1								opaʃka								
TAIL_2			rjêp		rejp									rěːp	rjěp	
TEN	ʣʲˈesʲæʦʲ	dˈɛsɛt		dˈɛsɛt		dɛzmit	dɛ̌ʃʲɪmt		ʥˈɛɕɛɲʨ	dʲˈesʲɪtʲ	ɟˈɛsac	dɛsɛ̀ːt	dˈɛsʲɐtʲ			dêseːt
THAT	tˈoje	tuj~tovˈa		tˈo		tɑs	tɑ̂t		tɔ	to	tɔ	tɔ̀ː	tɔ			tôː~ǒnoː
THAT_1					own			on						ɔnɔ̌ːx~nɔ̌ːx	ɔnˈi	
THAT_2			tâː		tej~taː			t						ɔtɔ̌ːx~tɔ̌ːx	ta~tâː	
THERE	tam	tam		tˈam		tur	tɛ̂nˑ~tɛnɐʲɪ̯ˑ		tam	tam	tam	tám	tɑm			tâmo
THEY	jænˈɨ	tɛ		ˈoɲɪ		viɲi~viɲɑs	jɪ̂~jǒːs		ˈɔɲi	ɐnʲˈi	ˈɔɲi	óːni	wɔnˈɪ			ǒni
THICK	tˈowstɨ	dɛbˈɛɫ		tlˈustiː		biɛ̯sː	stôːrɐs		ɡɾˈubɨ	tˈoɫstɨɪ̯	tˈɫ̩stiː	déːbɛl	tɔʋstˈɪi̯			děbeo
THIN (OF SHAPE OF OBJECT)_1			tǎːnak		tˈejnæk			tanok						tˈɛnɛk	tˈanak	
THINK_(REFLECT)	dˈumaʦʲ	mˈislʲɐ		mˈɪslɪt		duɔ̯mɑːt	ɡɐɫʋôːtʲɪ		mˈɨɕlɛʨ	dˈumətʲ	mˈisɫɪ̯ɛc	mìːsliti	dˈumɐtɪ~mˈɪsɫɪtɪ			mîsliti
THIN_(OF_SHAPE_OF_OBJECT)	tˈonkʲi	tˈɤnɐk		tˈɛŋkiː		blɑːns	pɫôːnɐs		ʨˈɛŋkʲi	tˈonkʲɪɪ̯	cˈɛŋkiː	tàːnɛk	tɔnkˈɪi̯			tânak
THIS	ʁˈɛta	tˈɔzi		tˈoto~tˈoɦlɛ		ʃis	ʃʲɪ̂s~ʃʲɪ̂tɐs		tɔ	ˈɛtə	tɔ~tˈaːtɔ	tɔ̀ː	ʦɛ			ǒʋoː
THIS_1			u̯ôv		owv			ov						ɔvɔ̌ːx~vɔ̌ːx	ɔvˈi	
THIS_2								t								
THOU	tɨ	ti		tˈɪ		tu	tʊ̂		tɨ	tɨ	ti	tìː	tɪ			tîː
THOU_1			tîː		tiː			ti~tebe						tîː	tîː	
THREE	trɨ	tri		tr̝̊ˈɪ		driːs	trǐːs		tʂɨ	trʲi	tri	trìː	trɪ			trîː
THROW	kʲˈidaʦʲ	xvˈɤrlʲɐ		ɦˈaːzɛt		mɛst~zviɛ̯st	mɛ̂stʲɪ~sʋîəstʲɪ		ʐˈuʦaʨ	brɐsˈatʲ	ɦˈɔɟic~ʋˈr̩ɦnuːc	lùːʧati	kˈɪdɐtɪ			bǎʦati
TIE	vʲæzˈaʦʲ	vˈɤrʒɐ		pr̝̊ˈɪvaːzat		siɛ̯t~ɑptiːt	rʲɪ̂ʃtʲɪ~sʊrʲɪ̂ʃtʲɪ		vʲjˈɔw̃zaʨ	vʲɪzˈatʲ	zˈaʋɪ̯azac~prˈiʋɪ̯azac	ʋɛ̀ːzati	ʋjɐzˈɑtɪ			ʋěːzati
