Language,Gloss,Orthography,StressAnnotation
Ukrainian,SHORT,короткий,коро́ткий
Ukrainian,WIDE,широкий,широ́кий
Ukrainian,NARROW,вузький,вузьки́й
Ukrainian,THICK,товстий,товсти́й
Ukrainian,THIN (OF SHAPE OF OBJECT),тонкий,тонки́й or то́нкий
Ukrainian,FINE OR THIN,дрібний,дрібни́й
Ukrainian,SMOOTH,рівний,рі́вний
Ukrainian,SMOOTH,гладкий,гла́дкий or гладки́й
Ukrainian,ROUND,круглий,кру́глий
Ukrainian,SHARP,гострий,го́стрий
Ukrainian,HEAVY,важкий,важки́й
Ukrainian,HOT,жаркий,жарки́й
Ukrainian,HOT,гарячий,гаря́чий
Ukrainian,WARM,теплий,те́плий
Ukrainian,COLD,холодний,холо́дний
Ukrainian,WET,мокрий,мо́крий
Ukrainian,DRY,сухий,сухи́й
Ukrainian,FULL,повний,по́вний
Ukrainian,DIRTY,брудний,брудни́й
Ukrainian,BLACK,чорний,чо́рний
Ukrainian,WHITE,білий,бі́лий
Ukrainian,RED,червоний,черво́ний
Ukrainian,YELLOW,жовтий,жо́втий
Ukrainian,GREEN,зелений,зеле́ний
Ukrainian,STUPID,дурний,дурни́й
Ukrainian,GOOD,добрий,до́брий
Ukrainian,BAD,поганий,пога́ний
Ukrainian,BAD,кепський,
Ukrainian,CORRECT (RIGHT),правильний,пра́вильний
Ukrainian,NEW,новий,нови́й
Ukrainian,NEAR,близький,близьки́й
Ukrainian,FAR,далекий,дале́кий
Ukrainian,OTHER,інакший,
Ukrainian,HERE,тут,тут
Ukrainian,THERE,там,там
Ukrainian,NOT,не,
Ukrainian,THIS,це,це
Ukrainian,THAT,то,
Ukrainian,ALL,все,все
Ukrainian,I,я,я
Ukrainian,THOU,ти,ти
Ukrainian,WE,ми,ми
Ukrainian,YOU,ви,ви
Ukrainian,THEY,вони,вони́
Ukrainian,WHAT,що,що
Ukrainian,WHO,хто,хто
Ukrainian,WHERE,де,де
Ukrainian,HOW,як,як
Ukrainian,ONE,один,оди́н
Ukrainian,TWO,два,два
Ukrainian,THREE,три,три
Ukrainian,FOUR,чотири,чоти́ри
Ukrainian,FIVE,п’ять,
Ukrainian,SIX,шість,
Ukrainian,SEVEN,сім,сім
Ukrainian,EIGHT,вісім,ві́сім
Ukrainian,NINE,дев'ять,
Ukrainian,TEN,десять,
Ukrainian,TWENTY,двадцять,
Ukrainian,HUNDRED,сто,сто
Ukrainian,AND,і,і
Ukrainian,STAND,стояти,стоя́ти
Ukrainian,SIT,сидіти,сиді́ти
Ukrainian,LIE (REST),лежати,лежа́ти
Ukrainian,BLOW (OF WIND),віяти,ві́яти
Ukrainian,FLOW,текти,текти́
Ukrainian,FALL,падати,па́дати
Ukrainian,BURNING,горіти,горі́ти
Ukrainian,FREEZE,змерзнути,
Ukrainian,BE ALIVE,жити,жи́ти
Ukrainian,BREATHE,дихати,ди́хати
Ukrainian,DRINK,пити,пи́ти
Ukrainian,EAT,їсти,ї́сти
Ukrainian,SLEEP,спати,спа́ти
Ukrainian,DIE,померти,поме́рти
Ukrainian,WALK,ходити,ходи́ти
Ukrainian,SWIM,пливти,
Ukrainian,SWIM,плавати,пла́вати
Ukrainian,FLY (MOVE THROUGH AIR),літати,літа́ти
Ukrainian,COME,прийти,прийти́
Ukrainian,LAUGH,сміятися,смія́тися
Ukrainian,CRY,плакати,пла́кати
Ukrainian,FEAR (BE AFRAID),боятися,боя́тися
Ukrainian,SEE,бачити,ба́чити
Ukrainian,HEAR,чути,чу́ти
Ukrainian,DIG,копати,копа́ти
Ukrainian,HOLD,тримати,трима́ти
Ukrainian,PUSH,пхати,пха́ти
Ukrainian,PUSH,штовхати,
Ukrainian,BITE,кусати,куса́ти
Ukrainian,TIE,в'язати,
Ukrainian,RUB,терти,те́рти
Ukrainian,CUT,різати,рі́зати
Ukrainian,PULL,тягнути,тягну́ти
Ukrainian,THROW,кидати,ки́дати
Ukrainian,BURN (SOMETHING),спалити,
Ukrainian,GIVE,дати,да́ти
Ukrainian,PLAY,грати,гра́ти
Ukrainian,SING,співати,співа́ти
Ukrainian,DANCE,танцювати,танцюва́ти
Ukrainian,SHOOT,стріляти,стріля́ти
Ukrainian,KILL,убити,уби́ти
Ukrainian,HUNT,полювати,полюва́ти
Ukrainian,COOK (SOMETHING),зготовити,
Ukrainian,COOK (SOMETHING),приготувати,приготува́ти
Ukrainian,SEW,шити,ши́ти
Ukrainian,WASH,мити,ми́ти
Ukrainian,WIPE,витерти,ви́терти
Ukrainian,SAY,сказати,сказа́ти
Ukrainian,SPEAK,говорити,говори́ти
Ukrainian,KNOW (SOMETHING),знати,зна́ти
Ukrainian,COUNT,лічити,лічи́ти
