Gloss	Belarusian	Bulgarian	Croatian	Czech	Latvian	Lithuanian	Polish	Russian	Slovak	Slovene	Ukrainian
DESIRE_9						ɡɛʲɪ̯ˑdʊɫǐːs					
DESIRE_10					kɑːrɛ						
DESTROY_1		razruʃa	razɔ̌riti~rǎzruʃiti					rɐzruˑʃɨtʲ			
DESTROY_2										razru˨ːʃiti	
DESTROY_3				zɲɪʧɪt			zniʂʈ͡ʂɨʨ		zniʧic		
DESTROY_4											zrujnuwɑtɪ
DESTROY_5	razburɨʦʲ										
DESTROY_6						sʊɐrdîːtʲɪ					
DESTROY_7					ɡrau̯t~sɑɡrau̯t	sʊɡrʲɪâˑʊ̯tʲɪ					
DEXTEROUS_1	umʲɛlɨ	umɛɫ									umilɪj
DEXTEROUS_2		srɤʧɛn					zɾɛnʈ͡ʂnɨ		zruʧniː		
DEXTEROUS_3			ʋjɛ̂ʃt								
DEXTEROUS_4										sprɛ˨ːtɛn	
DEXTEROUS_5				ʃɪkovniː					ʃikɔvniː		
DEXTEROUS_6								jɨskuˑsnɨj			
DEXTEROUS_7						ɐpsʊkrʊ̂s					
DEXTEROUS_8					mɑniːks						
DIE_1		umra	ǔmriɛti	umr̝iːt			umʐɛʨ	umʲɪrʲeˑtʲ	umri̯ec~zɔmri̯ec	umrɛ˨ːti	
DIE_2	pamʲɛrʦi										pɔmɛrtɪ
DIE_3					mirt~nuɔ̯mirt	mʲɪ̂rˑtʲɪ~nʊmʲɪ̂rˑtʲɪ					
DIFFERENT_1	rɔznɨ	razɛn	râːzan	ruːzniː			ɾuʐnɨ	raˑznɨj	ru̯ozni		rʲiznɪj
DIFFERENT_2		razliʧɛn	rǎːzliʧan	rozlɪʧniː					rɔzɫiʧniː		
DIFFERENT_3										razli˨ːʧɛn	
DIFFERENT_4						ʲiːʋɐʲɪ̯ˑrʊ̂s					
DIFFERENT_5					dɑʒɑːts						
DIG_1	kapaʦʲ	kɔpaja	kɔ̌pati~kɔ̂pkati	kopat			kɔpaʨ	kɐpaˑtʲ	kɔpac		kɔpɑtɪ
DIG_2										kɔpa˨ːti	
DIG_3										ɡre˦ːbsti	
DIG_4				riːt	rɑkt				ric		
DIG_5						kɑ̂stʲɪ					
DILIGENT_1		prilɛʒɛn						prʲileˑʒnɨj			
DILIGENT_2			râːdin								
DILIGENT_3			mǎrʎiʋ								
DILIGENT_4										marli˨ːʋ	
DILIGENT_5									snaʒiviː		
DILIGENT_6									usiɫɔvniː		
DILIGENT_7				pɪlniː			pilnɨ				
DILIGENT_8											stɑrɑnːɪj
DILIGENT_9	ruplivɨ										
DILIGENT_10						stropʊ̂s					
DILIGENT_11						kruəpʃtʊ̂s					
DILIGENT_12					ʧɑɡls						
DILIGENT_13					ʦiːtiːks						
DIRT_1		kaɫ									
DIRT_2		mrɤsɔtija									
DIRT_3			nɛʧistɔ̌ʨa						nɛʧistɔta		
DIRT_4			pr̩ʎǎːʋʃtina								
DIRT_5										nɛsna˨ːɡa	
DIRT_6				ʃpiːna					ʃpina		
DIRT_7							bɾut				brud
DIRT_8	ɣrazʲ							ɡrʲaˑsʲ			
DIRT_9						pʊ̂rˑʋɐs					
DIRT_10					dubʎi						
DIRTY_1		mrɤsɛn									
DIRTY_2			nɛ̌ʧist								
DIRTY_3			blâtan								
DIRTY_4										uma˨ːzan	
DIRTY_5				ʃpɪnaviː					ʃpinaviː		
DIRTY_6	brudnɨ						bɾudnɨ				brudnɪj
DIRTY_7								ɡrʲaˑznɨj			
DIRTY_8						nɛʃʋɐrʊ̂s					
DIRTY_9						pʊ̂rˑʋʲɪnɐs					
DIRTY_10					nɛtiːrs						
DIRTY_11					dubʎai̯ns						
DISAPPEAR_1		izʧɛzna						jɨsʨeˑznutʲ			ʂʈ͡ʂɛznutɪ
DISAPPEAR_2			nɛ̌stati								
DISAPPEAR_3			izɡǔbitisɛ								
DISAPPEAR_4										izɡi˨ːniti	
DISAPPEAR_5				zmɪzɛt					zmiznuːc		
DISAPPEAR_6	zniknuʦʲ						zniknɔnʨ				znɪknutɪ
DISAPPEAR_7						dʲɪ̂nˑɡtʲɪ					
DISAPPEAR_8						ɪʃnǐːktʲɪ~prɐnǐːktʲɪ					
DISAPPEAR_9					nuɔ̯zust						
DISEASE_1		bɔlɛst	bɔ̂lɛːst					bɐleˑznʲ			
DISEASE_2										bɔlɛ˨ːzɛn	
DISEASE_3				nɛmoʦ					nɛmɔʦ		
DISEASE_4	xvarɔba			xoroba			xɔɾɔba		xɔrɔba		xwɔrɔbɑ
DISEASE_5						lʲɪɡɑ̂					
DISEASE_6					zlimiːbɑ						
DISHWARE_1		sɤdɔvɛ									
DISHWARE_2	pasuda		sûːʥɛ~pɔ̌suʥɛ					pɐsuˑdə			pɔsud
DISHWARE_3										pɔsɔ˨ːda	
DISHWARE_4				naːdobiː					naːdɔba		
DISHWARE_5							statki				
DISHWARE_6							naʈ͡ʂɨnia				
DISHWARE_7						ɪ̂nˑdɐʲɪ̯ˑ					
DISHWARE_8					drau̯ki						
DISH_(FOOD)_1		jastiɛ									
DISH_(FOOD)_2			jɛ̂lɔ	jiːdlo					jɛdɫɔ		
DISH_(FOOD)_3										jɛ˨ːd	
DISH_(FOOD)_4	strava						pɔtɾava				strɑwɑ
DISH_(FOOD)_5							jɛʣɛniɛ				
DISH_(FOOD)_6								bluˑdə			
DISH_(FOOD)_7								kuˑʃənʲɪ			
DISH_(FOOD)_8						pǎtiəkɐɫɐs					
DISH_(FOOD)_9					eːdiɛ̯ns						
DISTANCE_1		razstɔjaniɛ						rəsstɐjaˑnʲijə			
DISTANCE_2			ǔdaːʎɛnɔːst	vzdaːlɛnost					vzdi̯aɫɛnɔsc		
DISTANCE_3										ɔdda˨ːlɛnɔst	
DISTANCE_4	adlʲɛɣlasʦʲ						ɔdlɛɡwɔɕʨ				
DISTANCE_5											vidstɑnʲ
DISTANCE_6					ɑtːɑːlums~ɑtstɑtːums	ɐtstʊ̂mɐs					
DISTURB_(SOMEONE)_1		smutʲa	smɛ̌ːtati								
DISTURB_(SOMEONE)_2										mɔti˨ːti	
DISTURB_(SOMEONE)_3				vɪruʃɪt					viruʃic		
DISTURB_(SOMEONE)_4							zakwuʨiʨ				
DISTURB_(SOMEONE)_5	pʲɛraʂkɔdziʦʲ						pʂɛʂkɔʥiʨ				pɛrɛʂkɔdɪtɪ
DISTURB_(SOMEONE)_6								pəmʲɪʃaˑtʲ			
DISTURB_(SOMEONE)_7						trʲɪkdîːtʲɪ					
DISTURB_(SOMEONE)_8					drau̯ʦeːt						
DIVE_1		ɡmurkamsɛ									
DIVE_2			rɔ̌niti								pʲirnɑtɪ
DIVE_3	nɨraʦʲ		ɡɲǔːriti					nɨrʲaˑtʲ			
DIVE_4										pɔta˨ːplatisɛ	
DIVE_5				nor̝ɪtsɛ			zanuʐaʨɕɛ̃		pɔnɔricsa		
DIVE_6						nêˑrtʲɪ					
DIVE_7					ɡrɛmdeːtiɛ̯s						
DIVIDE_1	razdzʲaliʦʲ	razdɛʎa		rozɟɛlɪt				rəzdʲɪliˑtʲ	rɔzdɛɫic	razdɛli˨ːti	rɔzdʲilɪtɪ
DIVIDE_2			pɔdijɛ̌liti		dɑliːt	dɐɫîːtʲɪ~pɐdɐɫîːtʲɪ	pɔʥɛliʨ		pɔdɛɫic		
DO_1		pravʲa									
DO_2	rabiʦʲ		rǎːditi						rɔbic		rɔbɪtɪ
DO_3										dɛ˨ːlati	
DO_4				ɟɛlat				dʲeˑɫətʲ			
DO_5							ʈ͡ʂɨniʨ				
DO_6					dɑriːt	dɐrîːtʲɪ					
DOG_1		kuʧɛ									
DOG_2			pâs	pɛs			piɛs		pɛs		
DOG_3			psɛ̂tɔ								
DOG_4										pɛ˦s	
DOG_5	sabaka							sɐbaˑkə			sɔbɑkɑ
DOG_6						ʃuə					
DOG_7					suns						
DOLL_1		kukɫa						kuˑkɫə			
DOLL_2			lûtka								
DOLL_3										lu˨ːtka	
DOLL_4									baːpka~baːbika		
DOLL_5				panɛŋka							
DOLL_6	lʲalʲka						lalka				lʲɑlʲkɑ
DOLL_7					lɛlːɛ	ɫeːɫěː					
DONATE_1		pɔdarʲa									
DONATE_2	darɨʦʲ		darǐːʋati	darovat			daɾɔvaʨ	dɐrʲiˑtʲ	darɔvac		dɑruwɑtɪ
DONATE_3										pɔda˨ːriti	
DONATE_4					dɑːvɑːt~dɑːvinɑːt	doʋɐnôːtʲɪ					
DOOR_1		vrata	ʋrǎːta								
DOOR_2										ʋra˨ːta	
DOOR_3	dzvʲɛrɨ			dvɛr̝ɛ				dvʲeˑrʲ	dvɛrɛ		dwɛrʲi
DOOR_4							dʐvi				
DOOR_5					durvis	dʊ̂rʲiːs					
DOWN_1		nadɔɫu		doluː					dɔɫu		
DOWN_2			nîzbr̩dɔ								
DOWN_3										do˦ːl	
DOWN_4							naduw~vduw				
DOWN_5	uniz							vnʲiˑs			wnɪz
DOWN_6						ʒɛmǐːn					
DOWN_7					uzlɛju						
DOWN_OR_BELOW_1		dɔɫu	dɔ̂ʎɛ	dolɛ			udɔwu~nadɔlɛ		dɔɫu		
DOWN_OR_BELOW_2										do˦ːli	
DOWN_OR_BELOW_3										spo˦ːdaj	
DOWN_OR_BELOW_4									naspɔtku		
DOWN_OR_BELOW_5								vnʲizuˑ			wnɪzu
DOWN_OR_BELOW_6	unizʲɛ										
DOWN_OR_BELOW_7						ʒɛmɐʲɪ̯ˑ					
DOWN_OR_BELOW_8						ɐpɐʧʲɪojɛ̂					
DOWN_OR_BELOW_9					lɛjɑː						
DOWN_OR_BELOW_10					ɑpːɑkʃɑː						
DRAG_1		vɫaʧa		vlɛːʦt			vlɛʦ		vɫi̯eʦc		
DRAG_2			tɛ̂ɡliti								
DRAG_3										ʋla˨ːʧiti	
DRAG_4											tʲɑɦtɪ
DRAG_5	ʦʲaɣnuʦʲ										
DRAG_6								tɐʃʲːiˑtʲ			
DRAG_7						ʋʲɪ̂ɫˑktʲɪ					
DRAG_8					stiɛ̯pt						
DRAG_9					stai̯piːt						
DRAW_(WITH_PEN)_1	rɨsavaʦʲ	risuvam		riːsovat			ɾɨsɔvaʨ	rʲisɐvaˑtʲ			rɪsuwɑtɪ
DRAW_(WITH_PEN)_2			ʦr̩̂tati								
DRAW_(WITH_PEN)_3										ri˨ːsati	
DRAW_(WITH_PEN)_4									krɛsɫic		
DRAW_(WITH_PEN)_5						piəʃtʲɪ					
DRAW_(WITH_PEN)_6					ziːmeːt	ʒʲiːmêːtʲɪ					
DRAW_(WITH_PEN)_7						brɐʲɪ̯ˑʒîːtʲɪ					
DRAW_MILK_1	daiʦʲ	dɔja		dojɪt			dɔiʨ	dɐjɨˑtʲ	dɔjic		dɔjitɪ
DRAW_MILK_2			mûsti								
DRAW_MILK_3										mɔ˨ːlsti	
DRAW_MILK_4						mêˑɫʒtʲɪ					
DRAW_MILK_5					zlau̯kt						
DREAM_1	sɔn	sɤn	sân	sɛn			sɛn		sɛn		sɔn
DREAM_2										sa˨ːnɛ	
DREAM_3								snəvʲidʲeˑnʲijə			
DREAM_4					sɑbnis	sǎpnɐs					
DRESS_UP_1		ɔblɛkasɛ	ɔbǔːʨisɛ	oblɛːkatsɛ					ɔbɫi̯eʦcsa		
DRESS_UP_2										ɔblɛ˨ːʧisɛ	
DRESS_UP_3							ubɾaʨɕɛ̃				
DRESS_UP_4											ɔdʲɑɦtɪsʲɑ~ɔdʲɑɦnutɪsʲɑ
DRESS_UP_5	adzʲɛtʦa							ɐdʲeˑtʲsʲɪ			
DRESS_UP_6						rɛ̂nˑɡtʲɪs~ɐpsʲɪrɛ̂nˑɡtʲɪ					
DRESS_UP_7					ɑbɟeːrptiɛ̯s						
DRINK_1	piʦʲ	pija	pîti	piːt			piʨ	pʲiˑtʲ	pic		pɪtɪ
DRINK_2										pi˨ːti	
DRINK_3					ʣɛrt	ɡêˑrtʲɪ					
DRIVE_1		pɤtuvam									
DRIVE_2			ʋɔ̌zitisɛ			ʋɐʒʲɪuətʲɪ~ʋɐʒʲɪnêːtʲɪ					
DRIVE_3										ʋɔzi˨ːtisɛ	
DRIVE_4										pɛla˨ːtisɛ	
DRIVE_5									iːsc		
DRIVE_6				jɛzdɪt					jazdic		
DRIVE_7	jɛxaʦʲ			jɛt			jɛxaʨ	jɛˑxətʲ			jixɑtɪ
DRIVE_8					brau̯kt						
DRIVE_(CATTLE)_1		karam									
DRIVE_(CATTLE)_2	ɣnaʦʲ		ɡɔ̌niti	ɦnaːt				ɡnaˑtʲ	ɦnac		ɦnɑtɪ
DRIVE_(CATTLE)_3										pɔɡa˨ːnati	
DRIVE_(CATTLE)_4							pɛnʥiʨ				
DRIVE_(CATTLE)_5						ɡʲɪ̂nˑtʲɪ					
DRIVE_(CATTLE)_6					ʣiːt						
DROP_(MOVEMENT)_1		padna									
DROP_(MOVEMENT)_2			tr̩̂ɡnuti								
DROP_(MOVEMENT)_3	spadaʦʲ		spǔstitisɛ				spadaʨ	spɐdaˑtʲ			spɑdɑtɪ
DROP_(MOVEMENT)_4										pɛ˨ːʃati	
DROP_(MOVEMENT)_5				klɛsat					kɫɛsac		
DROP_(MOVEMENT)_6					ɡristiɛ̯s	krʲɪ̂stʲɪ					
DROP_(OF_LIQUID)_1		kapka		kapka					ɡvapka		
DROP_(OF_LIQUID)_2	krɔplʲa		kâːp~kâpʎa				kɾɔpla	kaˑplɪ			krɑplʲɑ
DROP_(OF_LIQUID)_3										ka˨ːpla	
DROP_(OF_LIQUID)_4					lɑːsɛ	ɫǎʃɐs					
DROP_(SOMETHING)_1		izpusna									
DROP_(SOMETHING)_2	upusʦiʦʲ		ispǔstiti	upuscɪt			upuɕʨiʨ		pustic		upustɪtɪ
DROP_(SOMETHING)_3										naʋrɛ˨ːʧi	
DROP_(SOMETHING)_4								urɐnʲiˑtʲ			
DROP_(SOMETHING)_5						ɐtsʲɪsɐkîːtʲɪ					
DROP_(SOMETHING)_6					nuɔ̯mɛst						
DRY_1	suxi	sux	sûːx	suxiː			suxɨ	suxɔˑj	suxiː		suxɪj
DRY_2										su˨ːx	
DRY_3					sau̯sː	sɒʊ̯ˑsɐs					
DRY_UP_1	sɔxnuʦʲ	sɤxna		sxnoʊ̯t			sxnɔnʨ	sɔˑxnutʲ	sxnuːc		sɔxnutɪ
DRY_UP_2			sǔːʃitisɛ								
DRY_UP_3										suʃi˨ːtisɛ	
DRY_UP_4					ʒuːt	dʒʲɪûːtʲɪ					
DRY_UP_5					kɑlteːtiɛ̯s						
DUCK_1		patiʦa							kaʧiʦa		
DUCK_2			pâtka					uˑtkə			
DUCK_3										ra˨ːʦa	
DUCK_4	kaʈ͡ʂka						kaʈ͡ʂka		kaʧka		kɑʈ͡ʂkɑ
DUCK_5				kaxna							
DUCK_6						âˑntʲɪs					
DUCK_7					piːlɛ						
DUST_1		prax	prâːx~prǎʃina	prax					prax		
DUST_2										pra˨ːx	
DUST_3	pɨl						pɨw	pɨˑl			pɪl
DUST_4							kuɾs				
DUST_5						dʊ̂ɫkeːs					
DUST_6					putːɛɡʎi						
DWELL_(LIVE,_RESIDE)_1		ʒivɛja									
DWELL_(LIVE,_RESIDE)_2			stanɔ̌ʋati								
DWELL_(LIVE,_RESIDE)_3										prɛbi˨ːʋati	
DWELL_(LIVE,_RESIDE)_4								prəʒɨvaˑtʲ	biːvac		
DWELL_(LIVE,_RESIDE)_5				bɪdlɪt							
DWELL_(LIVE,_RESIDE)_6							miɛʂkaʨ				mɛʂkɑtɪ
DWELL_(LIVE,_RESIDE)_7	ʐɨʦʲ										ʐɪtɪ
DWELL_(LIVE,_RESIDE)_8						ɡʲiːʋêˑntʲɪ					
DWELL_(LIVE,_RESIDE)_9					ʣiːvuɔ̯t						
DYE_1		bɔjadisam	ɔbɔ̌jiti								
DYE_2										ba˨ːrʋati	
DYE_3	pafarbavaʦʲ			nabarvɪt			pɔfaɾbɔvaʨ		zafarbic		pɔfɑrbuwɑtɪ
DYE_4								pɐkraˑsʲitʲ			
DYE_5						dɐʒîːtʲɪ~nʊdɐʒîːtʲɪ					
DYE_6					ɡrɑːsuɔ̯t~nuɔ̯ɡrɑːsuɔ̯t						
EAGLE_1	arɔl	ɔrɛɫ		orɛl			ɔʐɛw	ɐrʲoɫ	ɔrɔɫ		ɔrɛl
EAGLE_2			ɔ̌raɔ								
EAGLE_3										o˦ːrɛl	
EAGLE_4					eːrɡlis	ɛrɛ̌lʲɪs					
EAR_1	vuxa	uxɔ	ûxɔ	uxo			uxɔ	uˑxə	uxɔ	uxɔ˨ː	wuxɔ
EAR_2						ɒʊ̯ˑsʲɪ̂s					
EAR_3					au̯sː						
EARTH_(SOIL)_1	zʲamlʲa	zɛmʲa	zɛ̌mʎa	zɛmɲɛ	zɛmɛ	ʒɛ̌meː	ʑɛmia	zʲɪmlaˑ	zɛm		zɛmlʲɑ
EARTH_(SOIL)_2		pɔʧva									
EARTH_(SOIL)_3										pə˨rst	
EARTH_(SOIL)_4										ze˦ːmla	
EAST_1		iztɔk	îstɔk					vɐstɔˑk			
EAST_2										ʋzxɔ˦d	
EAST_3	usxɔd			viːxot			fsxut		viːxɔt		sxid
EAST_4						rʲiːtɐʲɪ̯ˑ					
EAST_5					au̯sdrumi						
EAT_1		jam									
EAT_2	jɛsʦi		jɛ̂sti	jiːst	eːst		jɛɕʨ	jəstʲ	jɛsc		jistɪ
EAT_3										jɛ˨ːsti	
EAT_4								kuˑʃətʲ			
EAT_5						ʋâˑɫɡʲiːtʲɪ					
EDGE_1	rub	rɤp									
EDGE_2	kant	kant					kant				
EDGE_3			brîːd								
EDGE_4			îʋiʦa								
EDGE_5										rɔ˨ːb	
EDGE_6				ɦrana					ɦrana		
EDGE_7							kɾavɛnʨ				
EDGE_8								rʲɪbrɔˑ			rɛbrɔ
EDGE_9						krǎʃtɐs					
EDGE_10					ʃcau̯dnɛ						
EGG_1	jajka	jajʦɛ		vɛjʦɛ			jajkɔ	jəjʦɔˑ	vajʦɛ		jɑjʦɛ
EGG_2			jǎːjɛ								
EGG_3										ja˨ːjʦɛ	
EGG_4									vajiːʧkɔ		
EGG_5						kʲɛʊ̯ˑʃʲɪ̂nʲɪs					
EGG_6					uɔ̯lɑ						
EIGHT_1	vɔsʲɛm	ɔsɛm	ɔ̂sam	osm			ɔɕɛm	vɔˑsʲɪmʲ	ɔsɛm		visʲim
EIGHT_2										ɔ˨ːsɛm	
EIGHT_3					ɑstuɔ̯ɲi	ɐʃtuənʲɪ̂					
EIGHTY_1	vɔsʲɛmdzʲɛsʲat	ɔsɛmdɛsɛt	ɔsamdɛ̌sɛːt	osmdɛsaːt			ɔɕɛmʥɛɕɔnt	vɔˑsʲɪmʲdʲɪsʲɪt	ɔsɛmdɛsi̯at	ɔ˨ːsɛmdɛsɛt	visʲimdɛsʲɑt
EIGHTY_2					ɑstuɔ̯ɲdɛzmit	ɐʃtûənʲɛsdɛʃʲɪmt					
ELBOW_1	lɔkaʦʲ	ɫakɤt	lâːkat	lokɛt			wɔkiɛʨ	ɫɔˑkətʲ	ɫakɛc		lʲikɔtʲ
ELBOW_2										kɔmɔ˨ːlɛʦ	
ELBOW_3					ælkuɔ̯nis	ɐɫkûːneː					
ELEVATION_1		mɔɡiɫa									
ELEVATION_2		vɤzviʃɛniɛ						vɐzvɨˑʃənnəstʲ			
ELEVATION_3	uzvɨʂʂa		ǔzʋiʃiʦa								
ELEVATION_4										ɡri˨ːʧ	
ELEVATION_5										ʋiʃi˨ːna	
ELEVATION_6									viːʃina~viviːʃɛnina		wɪsɔʈ͡ʂɪnɑ
ELEVATION_7				paɦorɛk							
ELEVATION_8							vzɡuʐɛ				
ELEVATION_9						kɒʊ̯ˑbʊrǐːs					
ELEVATION_10					pau̯ɡurs						
ELEVEN_1	adzinatʦaʦʲ	ɛdinajsɛt~ɛdinadɛsɛt						ɐdʲiˑnnədʦətʲ			ɔdɪnɑdʦʲɑtʲ
ELEVEN_2			jɛdǎnaɛst	jɛdɛnaːʦt			jɛdɛnaɕʨɛ		jɛdɛnaːsc		
ELEVEN_3										ɛna˨ːjst	
ELEVEN_4						ʋiənûəlʲɪkɐ					
ELEVEN_5					viɛ̯npɑtsmit						
ELK_1	lɔsʲ	ɫɔs	lɔ̂s	los			wuɕ	ɫɔˑsʲ	ɫɔs		lɔsʲ
ELK_2										lɔ˨ːs	
ELK_3						brîədʲɪs					
ELK_4					ɑlnis						
EMPTY_1		prazɛn	prǎːzan	praːzdniː			pɾuʐnɨ		praːzdni		
EMPTY_2										pra˨ːzɛn	
EMPTY_3	pustɨ						pustɨ	pustɔˑj			pustɪj
EMPTY_4						tʊ̂ʃʧʲɛs					
EMPTY_5					tukʃː						
ENCOUNTER_1		srɛʃtna	srɛ̂sti						strɛtnuːc		
ENCOUNTER_2										pɔɡɔdi˨ːti	
ENCOUNTER_3				potkat			spɔtkaʨ				
ENCOUNTER_4							tɾafiʨ				
ENCOUNTER_5	sustrɛʦʲ							vstrʲɪtʲiˑtʲ			zustrʲitɪ
ENCOUNTER_6					sɑtːikt	sʊtʲɪ̂ktʲɪ~pɐsʲɪtʲɪ̂ktʲɪ					
ENCOUNTER_7					sɑstɑpt						
ENDURE_1		pɔnɛsa	pɔ̌dniɛti								
ENDURE_2	vɨʦʲɛrpʲɛʦʲ		tř̩ːpjɛti					vɨˑtʲɪrpʲɪtʲ	vidr̩ʒac		wɪtɛrpʲitɪ
ENDURE_3										prɛne˦ːsti	
ENDURE_4				snɛːst			zniɛɕʨ		znaːʃac		
ENDURE_5						kæ̌ːstʲɪ~ɪʃkæ̌ːstʲɪ					
ENDURE_6						pɐkêˑɫtʲɪ					
ENDURE_7					pɑnɛst~pɑʦiɛ̯st						
END_(OF_SPACE)_1		kraj									
END_(OF_SPACE)_2	kanʲɛʦ		kɔ̌naʦ	konɛʦ			kɔniɛʦ	kɐnʲeˑʦ	kɔni̯eʦ		kinɛʦʲ
END_(OF_SPACE)_3										ko˦ːnɛʦ	
END_(OF_SPACE)_4					ɡɑls~uzɡɑlis	ɡǎɫɐs					
END_(OF_TIME)_1		kraj	krâːj								
END_(OF_TIME)_2	kanʲɛʦ		kɔ̌naʦ	konɛʦ			kɔniɛʦ		kɔni̯eʦ		kinɛʦʲ
END_(OF_TIME)_3										ko˦ːnɛʦ	
END_(OF_TIME)_4									zaːvɛr		
END_(OF_TIME)_5							zakɔɲʈ͡ʂɛniɛ	ɐkɐnʧaˑnʲijə			
END_(OF_TIME)_6					bɛi̯ɡɑs	pɐbɐʲɪ̯ˑɡɑ̂					
ENEMY_1	vɔraɣ	vrak					vɾuk	vraˑk			wɔrɔɦ
ENEMY_2		nɛprijatɛɫ	nɛ̌prijatɛʎ	nɛbr̝iːtɛl					nɛpri̯atɛʎ		
ENEMY_3										sɔʋra˨ːʒnik	
ENEMY_4						prîəʃɐs					
ENEMY_5					iɛ̯nai̯dniɛ̯ks						
ENTER_1		vʎaza									
ENTER_2			ǔːʨi								
ENTER_3										ʋstɔpi˨ːti	
ENTER_4	uvajsʦi						vɛjɕʨ	vəjtʲiˑ	vɔjsc		uvijtɪ
ENTER_5				fstoʊ̯pɪt			nastɔmpiʨ		fstuːpic		
ENTER_6						ʲiːʒɛ̂nˑɡtʲɪ					
ENTER_7					iɛ̯nɑːkt						
ESCAPE_1		bʲaɡam~izbʲaɡam									
ESCAPE_2	uʦʲaʈ͡ʂɨ		utjɛ̌ʨi				uʨɛʦ		uti̯eʦc		utɛktɪ
ESCAPE_3										pɔbɛ˨ːɡniti	
ESCAPE_4				prxnoʊ̯t							
ESCAPE_5								ubʲɪʒaˑtʲ			
ESCAPE_6						pɐbêːɡtʲɪ					
ESCAPE_7					ai̯zbeːkt						
EVENING_1	vʲɛʈ͡ʂar	vɛʧɛr	ʋɛ̂ʧɛː~ʋɛ̂ʧɛːr	vɛʧɛr			viɛʈ͡ʂuɾ	vʲeˑʨɪr	vɛʧɛr		wɛʈ͡ʂjir
EVENING_2										ʋɛʧɛ˨ːr	
EVENING_3					vɑkːɑrs	ʋǎkɐrɐs					
EVERYWHERE_1		navsʲakɤdɛ									
EVERYWHERE_2			sʋǔdaː								
EVERYWHERE_3			sʋâɡdjɛ								
EVERYWHERE_4										pɔʋsɔ˨ːd	
EVERYWHERE_5				fʃudɛ			fʂɛnʥɛ		fʃadɛ		
EVERYWHERE_6											skrʲizʲ
EVERYWHERE_7	usʲudɨ										
EVERYWHERE_8								vʲɪzdʲeˑ			
EVERYWHERE_9					visːur	ʋʲɪsʊ̂rˑ					
EVIL_1	zlɨ	zɤɫ		zliː			zwɨ	zɫəj	zɫiː		zlɪj
EVIL_2			zâɔ								
EVIL_3			ɔ̂paːk								
EVIL_4										zɛ˦l	
EVIL_5										xudo˦ːbɛn	
EVIL_6											lɪxɪj
EVIL_7						bɫǒːɡɐs					
EVIL_8					ʎau̯ns						
EVIL_9					nɛɡɑnts						
EXPENSIVE_1		skɤp	skûːp								
EXPENSIVE_2										dra˨ːɡ	
EXPENSIVE_3	daraɣi			draɦiː			dɾɔɡi	dərɐɡɔˑj	draɦiː		dɔrɔɦɪj
EXPENSIVE_4						brɐnɡʊ̂s					
EXPENSIVE_5					dɑːrks						
EYE_1	vɔka	ɔkɔ	ɔ̂kɔ	oko			ɔkɔ		ɔkɔ	ɔkɔ˨ː	ɔkɔ
EYE_2								ɡɫaˑs			
EYE_3						ɐkʲɪ̂s					
EYE_4					ɑʦ						
FACE_1		liʦɛ	lǐːʦɛ					liʦɔˑ			
FACE_2		ɔbras									
FACE_3										ɔbli˨ːʧjɛ	
FACE_4	tvar						tfaɾs		dvaːr		
FACE_5				oblɪʧɛj					ɔbɫiʧaj		ɔblɪʈʈ͡ʂjɑ
FACE_6						ʋæ̂ˑʲɪ̯dɐs					
FACE_7					sɛjɑ						
FACE_8					ɟiːmis						
FAIRY_TALE_1	kazka	prikazka						skaˑzkə			
FAIRY_TALE_2			bâːjka				bajka				bɑjkɑ
FAIRY_TALE_3										pra˨ːʋliʦa	
FAIRY_TALE_4									rɔspraːfka		
FAIRY_TALE_5				poɦaːtka							
FAIRY_TALE_6					pɑsːɑkːɑ	pǎsɐkɐ					
FALL_1	padaʦʲ	padam	pâdati	padat			padaʨ	paˑdətʲ	padac		pɑdɑtɪ
FALL_2										pa˨ːdati	
FALL_3						pʊ̂ɫtʲɪ					
FALL_4					ɡrist	krʲɪ̂stʲɪ					
FALL_ASLEEP_1		zaspʲa	zǎspati						zaspac	zaspa˨ːti	
FALL_ASLEEP_2	zasnuʦʲ		ǔsnuti	usnoʊ̯t			zasnɔnʨ	zɐsnuˑtʲ	usnuːc		zɑsnutɪ
FALL_ASLEEP_3					iɛ̯mikt~ai̯zmikt	ʊʒmʲɪ̂ɡtʲɪ					
FAME_1		pɔʧut									
FAME_2		izvɛstɛn							pɔvɛstniː		
FAME_3			ʧǔʋɛn								
FAME_4	slavutɨ		slâːʋan	slavniː	zlɑvæns				sɫaːvni		slɑwɛtnɪj
FAME_5										sla˨ːʋɛn	
FAME_6										znamɛni˨ːt	
FAME_7							swɨnːɨ				
FAME_8								znəmʲɪnʲiˑtɨj			
FAME_9						ʒʲiːmʊ̂s~ɡɐrsʊ̂s					
FAMILIAR_1		pɔznat	pɔ̂znat								
FAMILIAR_2		izvɛstɛn									
FAMILIAR_3										zna˨ːn	
FAMILIAR_4	znajɔmɨ			znaːmiː			znanɨ	znɐkɔˑmɨj	znaːmi		znɑjɔmɪj
FAMILIAR_5					zinɑːms	ʒʲɪ̂nomɐs					
FAMILIAR_6					pɑziːstɑms	pɐʒʲiːstɐmɐs					
FAMILY_1		familija									
FAMILY_2		sɛmɛjstvɔ									
FAMILY_3			ɔbǐːtɛʎ								
