Gloss	Anuta	Austral (Ra'ivavae)	Austral (Rurutuan)	East Futuna	Emae	Futuna-Aniwa	Hawaiian	Kapingamarangi	Luangiua	Mangareva	Maori	Mele-Fila	Niuean	North Marquesan	Nukuria	Penrhyn	Pukapuka	RakahangaManihiki	Rapanui	Rarotongan	RennellBellona	Samoan	Sikaiana	Tahitian	Tikopia	Tongan	Tuamotuan	Tuvalu	Vaeakau-Taumako	Wallisian
FEATHER_5																						ʔula								
FEMALE PERSON_1	papine	vahine	vaʔine	fine	fafine	fafine	wahine	ahina	hiŋe	ʔaʔine~ʔine	wahine	tefine	fine~fifine	hine~vehine	hahine	hine~vahine	waawine	tamahine~vahine	bahine	ʔine~vaʔine	hine~hahine	fafine	hine~hahine	vahine	fine	fefine	hiine~vahiine	fafine	hana~hahine	fine
FEMALE PERSON_2																			tama											
FIFTY_1		paeʔahuɢu	paeʔaʔuru																											
FIFTY_2				kaulima			kanalima								tipurima		tinolima~laulima												ɡatoaelima	
FIFTY_3										rimaroŋoʔuru							limaŋaulu			rimaŋauru		limaɡafulu~limasefulu				nimaŋofulu				
FIFTY_4											rimatekau																			
FIFTY_5													limafiha																	
FIRE_1	api	auahi	auaʔi	afi	afi	afi	ahi	ahi	ahi	aʔi	ahi	afi	afi	ahi	ahi	ahi	awi	ahi	ahi	aʔi	ahi	afi	ahi	auahi	afi	afi	ahi	afi		afi
FIRE_2																												kavakava		
FIRE_3																													keu	
FISH_1	ika	iʔa	iʔa	ika	ika	ika	iʔa	iɡa		ika	ika	ika	ika	iʔa	ika	ika	ika	iika	ʔiika	ika	ika	iʔa	ika	iʔa	ika	ika		ika	ika	ika
FISH_2									kaŋaha																					
FISH_3																											paru			
FIVE_1	nima			lima	rima	rima	lima	lima	lima	rima	rima	erima	lima	ʔima	rima	rima	lima	lima	rima	rima	ɡima	lima	lima	rima	rima	nima	rima	lima	lima	nima
FIVE_2		pae	pae																					pae						
FIVE_3																		taapahi												
FLESH OR MEAT_1	kanofi			kanofi		kʰano		kano	aŋohi				kakano		kanohi						kano	ʔaʔano			kanofi	kano		kanofi		
FLESH OR MEAT_2		ʔiʔo	ʔiʔo				ʔiʔo			kiko	kiko		kiko	kiko		kiko	kiko	kiko	kiko	kiko		ʔiʔo		ʔiʔo			kiko			
FLESH OR MEAT_3			ʔiinaʔi																											
FLESH OR MEAT_4					kanmate																									
FLESH OR MEAT_5												pakasi																		
FLESH OR MEAT_6																							io						io	
FLESH OR MEAT_7																														meʔakai
FLOW_1	tatape	tahe	taʔe	tafe	tafe	tafe	kahe		kahe	taʔe			tafe	tahe		tahe				taʔe	tahe	tafe		tahe		tafe	tahe	tafe	tʰahe	tafe
FLOW_2				sali				hari				sara																		hali
FLOW_3											tere				tere				tehe				lele							
FLOW_4																	jeke	heheke												
FLOW_5																									ranu					
FLOW_6																												hua		
FLOWER_1	pua						pua			pua	puaawai			pua		pua	pua		pua	pua							pua	pula		
FLOWER_2		tiaɢe	tiare							tiare							tiale	tiare						tiare						
FLOWER_3				see		se																	see		see					
FLOWER_4				fiti									fiti																	fisi
FLOWER_5					serakau																									
FLOWER_6								akai													laka					kakala				
FLOWER_7									uke																					
FLOWER_8												fuma										fuŋa								
FLOWER_9															purupuru															
FLOWER_10																													imea	
FLY (MOVE THROUGH AIR)_1	rere	ɢeɢe	rere	lele	rere	rere	lele		lele	rere	rere	rere	lele		rere	rere	lele	rere	rere	rere	ɡeɡe	lele	lele	rere	rere		rere	lele	lele	lele
FLY (MOVE THROUGH AIR)_2			ʔaʔamaraʔa																											
FLY (MOVE THROUGH AIR)_3								maaŋi																						
FLY (MOVE THROUGH AIR)_4														ona												puna				
FLY (MOVE THROUGH AIR)_5															herrei															
FLY (MOVE THROUGH AIR)_6																	pepeke													
FLY (MOVE THROUGH AIR)_7																					eba									
FOG_1	nepu				nefunefu										nehu							nefu			nefu				nehu	
FOG_2			aʔinavai																											
FOG_3				kofu		kofu	ʔohu		ʔohu	koʔu	kohu			kohu		kohu		kohu	kohu	koʔu	kohu		kohu				kohu	fofu		kokofu
FOG_4												mafu								maaʔuaːʔu							maahu			
FOG_5																			kapua			ʔaʔapu~puao				kakapu				
FOG_6																								ruupehu						
FOOT OR LEG_1	vae		ʔaavae	vaʔe	βae	vae		wae	vae			βae	vee	vae	vae	vae	vae		vaʔe	vae	baʔe	vae	vae	ʔaavae	vae	vaʔe	vae	vae	vae	vaʔe
FOOT OR LEG_2		umaha																												
FOOT OR LEG_3							waawae				waewae							waewae												
FOOT OR LEG_4									kapuae											tapuae			tapuae							
FOOT OR LEG_5										aʔape																				
FOREST_1	vao			vao	aβao			wao	vao	vao			vao	vao	vao	voo	vao			vao	bao	vao	vao		vao	vao	vao	vao	vao	vao
FOREST_2			ururaaʔau				ululaaʔau											raakau						ururaaʔau						
FOREST_3				ʔulu									ulu								ʔuɡu									ulu
FOREST_4						ŋamotuʰmara																								
FOREST_5										ulu																				
FOREST_6											ŋahere																ŋahere			
FOREST_7												malasi																		
FOREST_8															pupu															
FOREST_9																													mouku	
FOUR_1	paa		ʔa	faa	fa	fa	haa	haa	haa	ʔa	faa	efa	faa	faa	haa	haa	waa	faa	ha	ʔaa	haa	efaa	haa		faa	faa	haa	faa	haa	faa
FOUR_2		maha																						maha						
FRUIT_1	pua			fua	afua	fua	hua	hua	hua	ʔua	hua	fua	fua	hua	hua	hua	wua			ʔua	hua	fua	hua		fua	fua	hua	fua	hua	fua
FRUIT_2			maaʔa																					maaʔa						
FRUIT_3																		huaraakau												
FRUIT_4																			kai											
GOOD_1	rerei																kalule~lelei					lelei				lelei		lelei		lelei
GOOD_2		maitaʔi	maitaʔi				maikaʔi							meitaʔi		maitaki		maitaki		meitaki				maitaʔi			meitaki			
GOOD_3				maalie	sumarie			humalia		marie		merie	melie			suumariŋa						malie								maalie
GOOD_4						rufie																								
GOOD_5									kau																					
GOOD_6										porotu																				
GOOD_7											pai																			
GOOD_8														kanahau																
GOOD_9														ʔeka	taurekareka	reka	leka		reka	reka			leka		rekareka		reka			
GOOD_10																			rivariva											
GOOD_11																					ŋɡaoi									
GOOD_12																													lavoi	
GRASS_1	vao																													
GRASS_2			matie	mutie						mutie				mutie						matie	mutie	mutia		matie						musie
GRASS_3					mauku		mauʔu								mouku	mauku			mouku	mauku					mauku	mohuku	moouku	mouku		mohuku
GRASS_4						ŋafari																								
GRASS_5									veve								vajavaja						veve							
GRASS_6											karaaihe																			
GRASS_7												manamu																		
GRASS_8																													kaoa	
GREEN_1	kepu																								kefu					
GREEN_2	mata	matie	matie		matamata											matie			mata	taamatie~ʔakamatie				matie	mata		matie			
GREEN_3				moto		moto				moto											moto		moto							moto
GREEN_4						rauneamaʰmata																lanumeamata				lanumata				
GREEN_5							maʔomaʔo																							
GREEN_6									kea																					
GREEN_7											kaakaaːkariki																			
GREEN_8												keskesa																		
GREEN_9													lanulaukou															lanulauniu		
GREEN_10														ʔoutiteʔe																
GREEN_11															uri															
GREEN_12																	ujiŋele													
GREEN_13																						usiusi							uiui	
GREEN_14																								niinamu						
GROW_1	tupu	tupu	tupu			tupu	kupu		kipu	tupu	tupu		tupu	tupu	tipu	tupu	tupu		tupu	tupu	tupu	tupu	tupu	tupu	tupu	tupu	tupu	tupu	tʰupu	tupu
GROW_2				somo		somo			somo						homo						somo		somo							homo
GROW_3							ulu																							
GROW_4																			riku											
HAIR_1	puru			fulu		furu		ŋahuru~hulu					fulu	huʔu		huru				ʔuru	huɡu				furu		huru			fulu
HAIR_2		huɢuhuɢupoʔo															wuluwulu		huruhuru									fulufulu		
HAIR_3			rouru	lauulu	fereuru	rauru			laulu			rouru	lauulu		rauru		lauulu	rauru		rauru		lauulu	laulu	rouru	rauuru	louʔulu	roouru		laulu	lauulu
HAIR_4							lauoho			rauoʔo				ʔouoho					oho											
HAIR_5											makawe																			
HAND_1	nima~rima	ɢima	rima	lima	rima	rima	lima	lima	lima	rima	riŋa	rima	lima	ʔima	rima	rima	lima	rima	rima	rima	ɡima	lima	lima	rima	rima	nima	rima	lima	lima	nima
HAND_2																				kapu							kapu			
HE OR SHE_1	ia	ʔoia	ʔoia	ia	koia	ia	ia	ia	aiia	koia	ia	eia	ia	ia	ia	ia		ia	ia	ia	ia	ia	ia		ia	ia	ia	ia	ia	ia
HE OR SHE_2		ʔoona	ʔoona														ona~ana							ʔoona					na	
HEAD_1	uru			ʔulu	nauru	uru							ulu	uʔu			ulu	ulu			ʔuɡu	ulu				ʔulu	uru	ulu		ʔulu
HEAD_2		upoʔo	upoʔo				poʔo	liboɡo	poho	oʔo~upoko	upoko			upoko	pokouru	upoko		upoko	puoko	upoko			poho	upoʔo	poko		upoko			
HEAD_3			pao																											
HEAD_4												kele																		
HEAD_5																												piho	pihoulu	
HEAR_1	roŋo			loɡo		raŋona		loŋo	loŋo		roŋo	roŋona		ʔono	rono	roŋo	laŋona	laŋona		roŋo	ɡoŋo		lono		roɡo		roŋo	loɡo	loŋo	loɡo
HEAR_2		haʔaɢoʔo					hoʔolono			ʔakaroŋo												faʔaloŋo		faʔaroʔo						
HEAR_3			ʔiiroʔaroʔa																ɡaroʔa											
HEAR_4					fanoŋo								faanoŋo													fenoŋo				
HEAVY_1	mamafa			mamafa	mamafa	mafa		maha	maha			mafa	mamafa								mamaha	mamafa	mmaha		mafa	mamafa		mamafa	maha	mamafa
HEAVY_2		toimaha	tiaʔa				kaumaha			teimaha	taimaha					taimaha		taimaha		teimaʔa				toiaha						
HEAVY_3										kikikiki																				
HEAVY_4														toko~tono																
HEAVY_5															taenaha		taewana													
HEAVY_6																			paɡahaʔa											
HEAVY_7																											tuʔatuʔa			
HIDE_1	muni			mu		ʰmuni			muŋi												mumuni							mumuni	muni	muni
HIDE_2		taaponiponi								pupuni								punipuni		pipini				taapuni						
HIDE_3			ʔuna				huunauːna				huna														funa		taahuna			
HIDE_4														hakanaa			nanaa					nanaa								
HIDE_5															hakammuni															
HIDE_6																koopiri														
HIDE_7																			romi											
HIDE_8																						lafi								
HIDE_9																										toi				
HIDE_10																												fuu		
HIDE_11																												fakalilo		
HIT_1	tuki					tuki	kuʔi	tuɡi	kuʔi				tuki	tuʔi		tuki		tuki		tuki	tuki	tuʔi			tuki		tuki			tuki
HIT_2	taa			taa				ta	kaa	tata		teia	taa	ta						taia	taa	taa	taa		taa	taa	taa	taa	taia	taa
HIT_3		paʔi			pakia	paki				paki			poki	pehi						paakia							papaki			paki
HIT_4			taaʔiri																					taaʔiri						
HIT_5				sasa			hahau						haha			sasa					sasa				sasa					haha
HIT_6				paatuaːtu				badu	paku~paa	patu	patu		paa	patu		patu	patu	patu		patu	paa				paa		patu			paa
HIT_7						ʃia																								
HIT_8															rriki															
HIT_9																	vaji													
HIT_10																		uu												
HIT_11																		huataa												
HIT_12																			tutu											
HOLD_1	kuku			kuku									kuku			kuku			kuku	kukua		ʔuʔu			kuku	kuku				kuku
HOLD_2		ɢave																												
HOLD_3			taapeʔa				paʔa																	taapeʔa						
HOLD_4				sapo									hapo												sapo					hapo
HOLD_5					tauai																									
HOLD_6						kumia																								
HOLD_7								tahi	kaohi						taaohi								taaohi							
HOLD_8										taamau				mau				mau												
HOLD_9											pupuri																			
HOLD_10												puatia																		
HOLD_11														ʔiʔima																
HOLD_12																taŋo	taŋo			taŋo							taŋo	taɡo		taɡo
HOLD_13																	liko													
HOLD_14																			aaru											
HOLD_15																					ʔoso				fesu					
HOLD_16																					pipiki								pikia	
HOLD_17																									puke			puke		puke
HOUSE_1	pare	haɢe	ʔare	fale	fare	fare	hale	hale	hale	ʔare	fare	tefare	fale	faʔe	hare	hare	wale	fare	hare	ʔare	haɡe	fale	hale	fare	fare	fale	hare	fale	hale	fale
HOUSE_2				kaaiɡa									kaina	aika		kaaiŋa														
HOUSE_3																									paito					
HOW_1	pepeeki			fefeʔaki								efia													fefea	feefeeːfe				feafeaʔi
HOW_2		naahea	naaʔea																					naafea					huahea	
HOW_3					fakafeina																	faʔapeefea								
HOW_4						pekua																								
HOW_5							pehea	pehee	pehee	peʔea	peehea		pehe	peehea	peehea	peehea	peewea	peehea	pehʔe	peʔea	pehea		pehea					peehea		
HUNDRED_1	rau	ɢau						lau		rau	rau			ʔau	rau	rau			rau		ɡau	lau	lau	rau	rau		rau	lau		
HUNDRED_2			ʔaanere				hanele										aanele			taianere				haanere						
HUNDRED_3				kaulelau																										
HUNDRED_4									huikalau																					
HUNDRED_5													teau																	te
HUNDRED_6																	tinowelau													
HUNDRED_7																										ŋe				
HUNDRED_8																													vahiki	
HUNT_1	para			fana																					fara					
HUNT_2	turi																wuli					tuli			turi	tulimanu				
HUNT_3		aʔuaʔu	aʔuaʔu																					aʔuaʔu			akuaku			
HUNT_4				feua																										
HUNT_5					kolikoli																									
HUNT_6						ʰmoʃi																								
HUNT_7							hahai																							
HUNT_8									kakaloko																					
HUNT_9										aruaru					uru															
HUNT_10											faifai	palako																		
HUNT_11														tatai																
HUNT_12															uhu															
HUNT_13															riki															
HUNT_14															aahi															
HUNT_15																		laŋa												
HUNT_16																			poko											
HUNT_17																				apuapu										
HUNT_18																				kimi										
HUNT_19																					ihoʔaki									
HUNT_20																							sese							
HUSBAND_1	matua				matua																matuʔa								tematua	
HUSBAND_2		taane	taane			taŋata	kaane				taane	taŋata	taane			taane	taane	taane		taane		taane		taane			taane			
HUSBAND_3				ʔaavaɡa											aavana															
HUSBAND_4										aʔana				hahana																
HUSBAND_5																		tokotua												
HUSBAND_6																			kenu										peŋi	
HUSBAND_7																										mali				
I_1	kau	vau	au~vau	kau		au~avau	au	au	aŋau	au	au	aβau	kau	au	nau	au	au		au	au	kau		au	vau~au	kau		au		au	
I_2				ku									ku				aku			ku	ku	aʔu			ku		ku	aku		
I_3					kou													koau								ou				koau
I_4														ʔu																
IF_1	pe			pee		pe																	pela							
IF_2			ʔaʔiri																											
IF_3			maitepaʔau																											
IF_4				kapau	ka																				ka	ka		kaa		
IF_5							inaa											nariŋa												
IF_6									po								pii				poi									
IF_7											me			me	kimee		mee			me										
IF_8												ŋousia																		
IF_9																			ana			ʔana	hano					mana		
IF_10																						ʔafai						kaafai		
IF_11																								ʔia						
IF_12																												mehemea		
IF_13																													plaa	
IN_1	iroto	ɢoto	roto	loto	iroto		loko	lodo	loko	roto	iroto	iroto	loto	ʔoto	iroto		loto	roto	roto	roto	ɡoto	loto	iloto	iroto	roto	ʔiloto	roto	loto		
IN_2						weitakoro																								
IN_3																						totonu								
INTESTINES_1	taepikopiko																													
INTESTINES_2		ʔaviɢi																												
INTESTINES_3			ʔaaʔau				naʔau						ŋaakau			ŋaaʲkau	ŋaakau	ŋaakau		ŋaakau		ŋaaʔau		ʔaaʔau	ŋakau	ŋaakau	ŋaakau	ɡaakau	ŋakau	ɡaakau
INTESTINES_4				vaavaaːva		vava			vaavaaːva																					
INTESTINES_5				tinaʔe	tinae	ʃinae		tinae				sinae																		
INTESTINES_6										manava																				
INTESTINES_7											feekau																			
INTESTINES_8														koekoe							ɣoɣuɣoɣu									
INTESTINES_9															kaatae								kautae							
INTESTINES_10																	taepili													
INTESTINES_11																			kokoma											
KILL_1	tamate		ʔaʔamate	tamate	teiakemate	ʃiakamate	hoʔomake					teiamatia		haʔamate						taamatemate		taamate				taamateʔi		taamate	tamatea	tamatei
KILL_2			ta						kaa				taa			taa		taa		taa	taa		taa		ta				taia	
KILL_3								taliki																						
KILL_4										tinaʔi					tiinai				tiɡaʔi											
KILL_5											patu						patu	patu		putu							patu			
KILL_6														pehi																
KILL_7														kukumi																
KILL_8																		pehikitetoka												
KILL_9																				kikini										
KILL_10																						fasioti								
KILL_11																								taparahi			taparahi			
KNOW (SOMETHING)_1	poto			poto																					poto					
KNOW (SOMETHING)_2	iroa				iroa	iroa		iloo	ailoa				iloa		iloa		iiloloa					iloa	iloa		iloa	ʔilo		iloa	iloa	ʔiloʔi
KNOW (SOMETHING)_3		ʔite	ʔite				ʔike			kite						kite		kite		kite				ʔite			kite			
KNOW (SOMETHING)_4				masani										hani																
KNOW (SOMETHING)_5				maatino													maawutu			maatau	maatino						maatau			
KNOW (SOMETHING)_6											moohio																			
KNOW (SOMETHING)_7												taea																		
KNOW (SOMETHING)_8																	wanewane													
KNOW (SOMETHING)_9																		maarama												
KNOW (SOMETHING)_10																			aɡi											
KNOW (SOMETHING)_11																							atamai							
LAKE_1			roto				loko	roto			roto		loto	vaiʔoto			loto	roto		roto	ɡoto	loto		roto	roto		roto			
LAKE_2				namo		namo							namo																	namo
LAKE_3										rano									rano		ɡano	lano				ano	rano			ano
LAKE_4												kapu																		
LAKE_5																												taihala		
LAUGH_1	kata	ʔata	ata	kata	kata	kata	ʔaka	katakata	ʔaka	kata	kata	kata	kata	ʔata		kata	kaakata	kata	kata	kata	kata	ʔata	kata	ʔata	kata	kata	kata	kata	kata	kata
LAUGH_2															piha															
LEAF_1	rau			lau	raurau	rau	lau	rou	lau	rau	rau	rau	au	ʔau	rau	rau	lau		raupa	rau	ɡau	lau	lau		rau	lou	rau	lau	lau	lau
LEAF_2		ɢaueɢe	rauʔere																					rauʔere						
LEAF_3																												mulo		
LEFT_1	tema			sema	sema		hema			ʔema			hema								sema				sema	hema	hema	hema		hema
LEFT_2		ʔaui	ʔaui													kauii		kaaui		kauvii				ʔaui						
LEFT_3						masui					mauii	musui			mauii		maajui		maui	mauii								maui		
LEFT_4								tauihara																						
LEFT_5									kevahiselaua																					
LEFT_6														ʔimaaʔeaʔe																
LEFT_7															kaihi															
LEFT_8																						tauaŋavale	vale					valea	tovale	
LEFT_9																												hupa		
LIE DOWN_1	takoto								kaʔoko		takoto		takoto		takoto	takoto	takoto	takato		ʔakatakoto		taʔoto		taʔoto		tokoto	takoto		takoto	takoto
LIE DOWN_2		tiiɢaha	tiiraʔa																											
LIE DOWN_3			taarava																											
LIE DOWN_4			tiipapa																	ʔakatiipapa										
LIE DOWN_5				moe	moe	moe	hinamoe	moe				moe		moe					moe	moe	moe		moe		moe					
LIE DOWN_6										ʔakaearaŋa																				
LIE DOWN_7																	moekilalo											moekilalo		
LIE DOWN_8																		roharoha												
LIE DOWN_9																												fakapale		
LIGHTNING_1	kakamo																												khemo	
LIGHTNING_2		uiɢa	uira	ʔuila			uila	ila	uila	uira	uira	wira	uhila	uiʔa	uira	uira	uwila	uvira	uira	uira		uila	uila	uira	uira	ʔuhila	uira	uila		ʔuhila
LIGHTNING_3					wira																									
LIGHTNING_4						tapeia																								
LIGHTNING_5															tara															
LIGHTNING_6																				rapa	ɡapa						rapa			
LIVER_1	ate		ate	ʔate	ate	ate	ake	ade		ate	ate	ate	ate	ate	ate	ate	ate	ate	ate	ate	ʔate	ate	ate		ate	ʔate	ate	ate	ate	ʔate
LIVER_2		ʔuupaʔa	ʔupaʔa																					ʔupaʔa						
LIVER_3									ʔate																					
LIVER_4										kakaroumei																				
LONG_1	roa	ɢoa	roa	loa			loa	loo	loa	roa	roa		loa	ʔoa	rooroa	roa	loa	roa	roa	roa	ɡoa	loloa	loa	roa	loa	looloa	roa	loa	loa	loa
LONG_2					leβaleβa																									
LONG_3						pʰalo																								
LONG_4												totoe																		
LONG_5																						ʔumi								
LOUSE_1	kutu	ʔutuʔu	ʔutu	kutu	kutu	kutu	ʔuku	ɡudu	ʔuku	kutu	kutu	kutu	kutu	ʔutu~kutupapa	kutu	kutu		ŋutu	kutu	kutupapa~kutu	kutu	ʔutu	kutu	ʔutu	kutu	kutu	kutu		kutu	kutu
LOUSE_2				tuma									tuma													tuma				tuma
LOUSE_3																	lia													
MALE PERSON_1	tamaaroa									tamaroa				tamaʔoa						tamaroa										
MALE PERSON_2	taŋata	taane	taane	taɡata	taŋata	taane	kaane	daane	kaŋe	taŋata	taane	tane	taane	tane	tanata	taane	taane	taŋata	tane	taane	taŋata	taane	tanata~taane	taane	taane	taŋata	taane	taane	taŋata	taʔane
MALE PERSON_3														toa																
MALE PERSON_4														heko													haakoi			
MALE PERSON_5																		roopaoːpa												
MALE PERSON_6																													mhe	
MOON_1	maaina			maasina	masina		mahina	maahina		maʔina~maaʔina			mahina				maina		mahina		maasina	maasina				maahina	hina			maahina
MOON_2		ʔaavaʔe	ʔaavaʔe																					ʔaavaʔe						
MOON_3						marama			malama		marama			meʔama	marama	marama		marama		marama		maalama	malama		marama			maalama		
MOON_4												aŋale																		
MOON_5																													akahu	
MOSQUITO_1	namu		ramu	namu	namu	namu		lamu	namu			namu	namu		namu	namu	namu	namu		namu	namu	namu	namu		namu	namu	namu		namu	namu
MOSQUITO_2		naonao																	naʔonaʔo					naonao						
MOSQUITO_3							makika																							
MOSQUITO_4										koomanu																				
MOSQUITO_5											waeroa																			
MOSQUITO_6														nonopurutia																
MOTHER_1	tinana			tinana	tinana	ʦinana~nana		dinana	kiiŋa	tinana					tinana	tinana					tinana	tinaa	tinna		tinana~nana				hina	
MOTHER_2	nau				nau																				nau					
MOTHER_3		metuavahine	metuavaʔine				makuahine						matuafifina				matuawawine	matuavahine						metuavahine			metuavahine			
MOTHER_4			maamaaːma															maamaaːma		maamaaːma				maamaaːma						
MOTHER_5											faea	leita																		
MOTHER_6														kui																
MOTHER_7																			matuʔa											
MOTHER_8																										faʔee				faʔe
MOUTH_1	ŋutu			ɡutu	ŋutu			ŋudu				ŋutu	ŋutu	nutu			ŋutu	ŋutu	ɡutu		ŋutu	ŋutu			ŋutu	ŋutu	ŋutu	ɡutu	ŋutu	mutu
MOUTH_2		vaha	vaʔa			fafa	waha	haha		ʔaʔa	waha			fafa		vaha		vaha	haha	vaʔa				vaha			vaha			
MOUTH_3									puʔu						pukua								pukua							
NAME_1	iŋoa	iʔoa	iʔoa	iɡoa	iŋoa	iɡoa	inoa	iŋoo	iŋoa	iŋoa	iŋoa	iŋoa	hiɡoa	ikoa	inoa	iŋoa	iŋoa	iŋoa	ʔiiɡoa	iŋoa	iŋoa	iŋoa		iʔoa	iɡoa	hiŋoa	iŋoa	iɡoa	iŋoa	hiɡoa
NAME_2																							male							
NARROW_1		oaoa	oaoa																	oaoa				oaoa						
NARROW_2			piri																											
NARROW_3				lauʔikiʔiki																						lausiʔi				
NARROW_4				kiu																										
NARROW_5					titi																	lauitiiti								
NARROW_6						kʰapi										kisi							kopiti							
NARROW_7							laaʔiki																							
NARROW_8								huka																						
NARROW_9										aaiti	faaiti			faiti						ʔooiti										
NARROW_10												walakai																		
NARROW_11													tote																	
NARROW_12															tuurikiriki				rikiriki											
NARROW_13																	kauliliki													
NARROW_14																	kojiiti													
NARROW_15																	kakoo													
NARROW_16																		kokota		taakokota										
NARROW_17																		hiikoke												
NARROW_18																			vakavaka											
NARROW_19																				taakoaːkopaaːkoːpapaaːkoːpaːpa										
NARROW_20																					ʔomi				komo		koma			
NARROW_21																												puumataniki		
NARROW_22																												puufoliki		
NARROW_23																													mdakiko~mdaliki	
NARROW_24																														veliveli
NEAR_1	nei			nei					ŋei																					
NEAR_2			ʔatata			tata				tata	tata	etata	tata	tata		tata	vaatata			tata		tafatafa		faatata			tata			tata
NEAR_3				ofi																						ofi				
NEAR_4					fefetai																								leuetʰaki	
NEAR_5							kokoke																							
NEAR_6								hoho																						
NEAR_7															taupirimai		pili						taupili		piri			pili		
NEAR_8																		taha												
NEAR_9																			tupuaki											
NEAR_10																			hahine											
NEAR_11																					hitaiaki									
NEAR_12																						vaalata~lata								
NECK_1	ua			ʔua	ua			ua	ʔua		ua		ua				ua				uʔa	ua	ua		ua		ua	ua	ua	uʔa
NECK_2		ʔaɢapoʔa																												
NECK_3			ʔaʔii							kaki						kakii	kakii	kakii		kakii				ʔaʔii						
NECK_4						penaaua																								
NECK_5							ʔaaʔiaːʔi							kaakiaːki													kaakiaːki			
NECK_6												popo																		
NECK_7															koomanu															
NECK_8																			ɡao											
NECK_9																										kia				kia
NEEDLE (FOR SEWING)_1		nira	nira							nira	ŋira				niila		nila							nira				nila	nila	
NEEDLE (FOR SEWING)_2				sika				hiɡa	siʔa				hika					hika	hika		sika		sika		sika					hika
NEEDLE (FOR SEWING)_3						nil																								
NEEDLE (FOR SEWING)_4							kui								tui	tui		tuiau												
NEEDLE (FOR SEWING)_5														rira																
NEEDLE (FOR SEWING)_6																			ivi											
NEEDLE (FOR SEWING)_7																				au	laɡu~au	au			sau		hau			hau
NEEDLE (FOR SEWING)_8																										huituitui				
NEW_1	pou			foʔou	fou	fou	hou	hoou	hoou	ʔou	hoou	fou	foou	hou	hoou	hoou	wou	foou	hoʔou	ʔoou	hoʔou	fou	hou		fou	foʔou	hoou	foou	hou	foʔou
NEW_2		aapi	aapiaːpi																					ʔaapiaːpi						
NIGHT_1	pouri~poo	poo	poo	pooʔuli	po	po	poo	boo	poo	poo	poo	po	pouli~poo	poo	poo	poo	poo	poiri~poo	poo	poo	poo	poo	poo	poo	poo	poo	poo	poouli~poo	poo	pooʔuli~poo
NIGHT_2																											ruki			
NIGHT_3																												taiao		
NINE_1	iva	iva	iva	iva	siβa	iva	iwa	hiwa	sivo	iva	iwa	siwa	hiva	iva	siva	iva	iva		iva	iva	iba	iva	sivo	iva	siva	hiva	iva	iva	iva	hiva
NO OR NOT_1	kairo																													
NO OR NOT_2		eʔere																												
NO OR NOT_3			eʔore				ʔole			kore	kaahore					kare	kaakole	ekore		kaaʔore										
NO OR NOT_4				see				tee					tee	tee	te				taʔe											heʔe
NO OR NOT_5					e				he														heai							
NO OR NOT_6						ʃikai						sai					kiai				siʔai~siai	iʔai			siei	ʔikai		ikai	siai	
NO OR NOT_7														ieai																
NO OR NOT_8																	kaani~kaaji													
NO OR NOT_9																	jee													
NO OR NOT_10																			inakai											
NO OR NOT_11																				ʔauraka							kauraka			
NO OR NOT_12																						leai								
NO OR NOT_13																								ʔaita						
NO OR NOT_14																												mooe		
NOSE_1	iu	ihu		isu	isu	isu	ihu		aisu~isu	iʔu	ihu		ihu	ihu	kaihu	isu	iju	isu	ihu		isu	isu	kaiusu	ihu	isu	ihu	ihu	ihu	iu	ihu
NOSE_2			putaeʔu																	putaaŋi										
NOSE_3								uuhiu				usu																		
NOSE_4																													poŋaiu	
OLD_1	maatua			matuʔa	tuai			tuai	makua~mua~ukuai			tuai	tuai		matua		matua		tuai		matuʔa	tuai~matua	matua~mua		maatua	motuʔa		matua	matʰua	matua
OLD_2		tahito					kahiko			teʔito				tehito		tahito		tahito		taʔito										
OLD_3			ruuʔau															ruuhau						ruuʔau						
OLD_4						takausore																								
OLD_5											pakeke																			
OLD_6														kakiu																
OLD_7														koua					korohua								korou			
OLD_8																	poovioːvi													
OLD_9																					bebe~poepoe									
OLD_10																					tauiku									
ONE_1	tasi																													
ONE_2		hoʔe																						hoʔe						
ONE_3			taʔi	tasi	tasi	tasi	ʔekahi	dahi	kahi	taʔi	tahi	etasi	taha	tahi	hokotahi	tahi	taji	tetahi	tahi	taʔi	tahi	etasi	tasi	tahi	tasi	taha	tahi	tahi	kotahi	tahi
OPEN_1	tara														taaraki							matala	taalaki					tatala		
OPEN_2		ʔiɢiti	ʔiriti																											
OPEN_3			ʔuaʔi								huaki													huaʔi						
OPEN_4				sufeɡi																										
OPEN_5						afoŋia							afaŋi																ahaŋia	
OPEN_6							weke																							
OPEN_7										ʔuʔure																	heheu			
OPEN_8														peʔua~pepeu																
OPEN_9															huke						huke							hue	hukea	
OPEN_10																sura														
OPEN_11																	jujuke					susuʔe								
OPEN_12																			hahata											
OPEN_13																				ʔakatuuʔeraʔera										
OPEN_14																							aaha		afaafa	fakaava				
OPEN_15																												mafela		
OPEN_16																														faʔai
OTHER_1			vetaʔi				kekaahi											teetahiatu	tahi	teetaʔi				vetahi				etahi		tahi
OTHER_2				kese										ke			kee			kee		ʔese				kehe				
OTHER_3						teiai		tei									toe													
OTHER_4								huai																					haila	
OTHER_5											atu																			
