Gloss	Belarusian	Bulgarian	Burgenland Čakavian	Czech	Kajkavian	Latvian	Lithuanian	Macedonian	Polish	Russian	Slovak	Slovenian	Ukrainian	Čakavian (Cres)	Čakavian (Istria)	Štokavian
PATH OR ROAD_1	sʲʦʲeʂka			stɛska	stjezɒ				ɕʨɛʂka			stɛza	stɛʒkɐ			staza
PATH OR ROAD_2	daroʁa								dɾɔɡa	dɐroɡə			dɔrɔɦɐ			
PATH OR ROAD_3		pɤt						pat		putʲ						puːt
PATH OR ROAD_4			ʦjesta	ʦɛsta							ʦɛsta	ʦɛːsta		ʧɛsta	ʧɛsta	ʦesta
PATH OR ROAD_5						ʦeʎʃ	kʲælʲɛs									
PATH OR ROAD_6										trɐpa						
PATH OR ROAD_7											xɔdɲiːk					
PERSON_1	ʧʌɫavʲek	ʧovɛk	ʧlɔviːk	ʧlovjɛk	ʧlu̯ovæk	ʦilvæːks		ʧojek	ʈ͡ʂwɔvʲjɛk	ʨɪɫɐvʲek	ʧɫɔʋɛk	ʧloːʋɛk		ʧɔvɛk~ʃlɔvɛk	ʧɔvɛk	ʧoʋjek
PERSON_2							ʒmoːɡʊs									
PERSON_3													lʲʊdɪnɐ			
PLAY_1	iʁraʦʲ	iɡrajɐ		ɦraːt					ɡɾaʨ	ɪɡratʲ	ɦrac	iɡraːtisɛ	ɦrɑtɪ			iɡratise
PLAY_2									bavʲiʨɕɛ							
PULL_1	ʦʲæʁnuʦʲ			taːɦnou̯t					ʨɔŋɡnɔɲʨ	tʲɪnutʲ	cɪ̯aɦnuc		tʲɐɦnutɪ			
PULL_2		dɤrpɐm														
PULL_3												u̯lɛːʧi				ʋuːʨi
PUSH_1	pxaʦʲ								pxaʨ			pəxaːti	pxɑtɪ			
PUSH_2		butɐm														
PUSH_3				tlaʧɪt							tɫaʧic					
PUSH_4										tɐɫkatʲ			ʃtɔʋxɑtɪ			
PUSH_5																ɡuːrati
RAIN_1	doʂʧ	dɤʃt		dɛːʃc				doʃ	dɛʂʈ͡ʂ	doʂtʲ	daːʃc	dɛʃ	dɔʃʧ	dɛʃ	daːʃ	
RAIN_2			ɡu̯ɔdina		ɡu̯odinɒ											
RAIN_3						ljetus	lʲjɛtʊs									
RAIN_4																kiʃa
RED_1	ʧɨrvonɨ	ʧɛrvɛn	ʧrʎjɛn~ʧrʎɛn	ʧɛrvɛniː	ʧɛrjæn			ʦrven	ʈ͡ʂɛɾvɔnɨ		ʧɛrʋɛniː		ʧɛrwɔnɪi̯	ʧɛvjeːni		ʦrʋen
RED_2						sarkans										
RED_3							rɐwdoːnɐs									
RED_4										krasnɨɪ̯						
RED_5												rdɛʧ				
RED_6															krvaːvi	
RIVER_1	raka	rɛka		r̝ɛka					ʐɛka	rʲɪka	rɪ̯ɛka	rɛːka	ɾʲikɑ			rjeːka
ROOT_1	koranʲ	kɔrɛn	ku̯ɔrɛn	kor̝ɛn	ku̯orænɒ			koren	kɔʐɛɲ	korʲɪnʲ	kɔrɛɲ	kɔrɛniːna	kɔɾʲinʲ	kɔːrɛn	kɔrɛn	korjeːn
ROOT_2						saknɛ	ʃɐknʲɪs									
ROUND_1	kruʁɫɨ	krɤɡɐɫ		okrou̯ɦliː					ɔkɾɔŋɡwɨ	kruɡɫɨɪ̯	ɔkruːɦɫi	ɔkrɔːɡɛu̯	kruɦɫɪi̯		ɔkruːɡal	okruːɡao
ROUND_2				kulatiː							ɡuʎatiː					
ROUND_3					krowpi											
ROUND_4						apaʎʃ										
ROUND_5							ɐpʲsʲkrʲɪtɐs									
ROUND_6								tɛrkalest								
ROUND_7														tɔːndi	tu̯ont	
RUB_1	ʦʲerʦʲi												tɛrtɪ			trti
RUB_2		trijɐ		tr̝̊iːt					tʂɛʨ	tʲɪrʲetʲ	trɪ̯ɛc	trɛːti				
SALT_1	solʲ	sɔɫ	su̯ol	suːl	sowj	saːls		soʎ	sul	solʲ	sɔʎ	sɔːu̯	sʲilʲ	soːl	su̯ol	soːl
SALT_2							drʊskɐ									
SAND_1	pʲæsok	pʲasɐk		piːsɛk	pejsæk			pesok	pʲjasɛk	pʲɪsok	pɪ̯ɛsɔk	pɛːsɛk	pʲisɔk	pɛsɛk		pjeːsak
SAND_2						smiltis	sʲmʲeːlʲɪs									
SAND_3															sablu̯on~ʃablu̯on	
SAY_1	skazaʦʲ	kaʒɐ								skɐzatʲ			skɐzɑtɪ			kaːzati
SAY_2			rɛc	r̝iːʦt	ræʧ~ræʧt~ræʧti			reʧi				rɛːʧi		rɛc	rɛc	reʨi
SAY_3					væjiːm											
SAY_4						saʦiːt	sɐkʲiːtʲɪ									
SAY_5						tejkt										
SAY_6								veʎi								
SAY_7									pɔvʲjɛʥɛʨ		pɔʋɛdac					
SEA_1	mora	morɛ		mor̝ɛ					mɔʐɛ	morʲe	mɔrɛ	mɔːrɛ	mɔrɛ			moːre
SEE_1	baʧɨʦʲ								zɔbaʈ͡ʂɨʨ				bɑʧɪtɪ			
SEE_2		vidʲɐ	vidit	vɪɟɛt	vidæt~vidæti~vidit	rɛʣeːt		vidi	vʲiʥɛʨ	vʲidʲɪtʲ	ʋiɟɪ̯ɛc	ʋiːdɛti		veːc~veːt	vidɛt	ʋidjeti
SEE_3							mɐtʲiːtʲɪ									
SEE_4								puʎi								
SEED_1	sʲemʲæ	sɛmɛ	simɛ	sɛmɛno	sjemæ			seme		sʲemʲə	sɛmɛnɔ	sɛːmɛ	sʲimjɐ	seːmɛ	sɛmɛn	sjeme
SEED_2						sæːkla	sʲeːkɫɐ									
SEED_3									naɕɔnɔ							
SEVEN_1	sʲem	sɛdɛm		sɛdm					ɕɛdɛm	sʲemʲ	sɛɟɛm	sɛːdɛm	sʲim			sedam
SEW_1	ʂɨʦʲ	ʃijɐ		ʃiːt					ʂɨʨ	ʂɨtʲ	ʃic	ʃiːʋati	ʃɪtɪ			ʃiti
SHARP_1	vostrɨ	ɔstɐr		ostriː					ɔstɾɨ	ostrɨɪ̯	ɔstriː	ɔːstɛr	ɦɔstrɪi̯			oʃtar
SHOOT_1	stralʲæʦʲ	strɛlʲɐm		str̝̊iːlɛt					stʂɛlaʨ	strʲɪlʲætʲ	strɛɫic~strɪ̯ɛʎac	strɛːlati	stɾʲilʲɑtɪ			strjeːʎati
SHOOT_2																puʦati
SHORT_1	karotʲkʲi		kraːtaːk	kraːtkiː	kraːtki				kɾutkʲi	kɐrotkʲɪɪ̯	kraːtki	kraːtɛk	kɔrɔtkɪi̯	kraːtak	kraːtak	kraːtak
SHORT_2		kɤs						kus								
SHORT_3						iːss										
SHORT_4							trʊmpɐs									
SING_1	pʲeʦʲ	pɛjɐ								pʲetʲ		pɛːti				
SING_2	sʲpʲævaʦʲ			spiːvat					ɕpʲjɛvaʨ		spɪ̯ɛʋac		spʲiʋɑtɪ			pjeʋati
SIT_1	sʲæʣʲeʦʲ	sɛdʲɤ	sidit	sɛɟɛt	sjedit	seːdeːt	sʲeːdʲeːtʲɪ	sedi	ɕɛʥɛʨ	sʲɪdʲetʲ	sɛɟɪ̯ɛc	sɛdɛːti	sɪdʲitɪ	sɛdɛt	sɛdɛt	sjediti
SIX_1	ʂʲesʲʦʲ	ʃɛst		ʃɛst					ʂɛɕʨ	ʂɛsʲtʲ	ʃɛsc	ʃɛːst	ʃʲistʲ			ʃeːst
SKIN_1	skura								skuɾa				ʃkʲirɐ			
SKIN_2		kɔʒɐ	ku̯ɔʒa	kuːʒɛ	ku̯oʒɒ			koʒa		koʐə	kɔʒa	kɔːʒa		kɔːʒa	kɔʒa	koʒa
SKIN_3						aːda	oːdɐ									
SKY_1	nʲeba	nɛbɛ		nɛbɛ					ɲɛbɔ	nʲebə	ɲɛbɔ	nɛbɔː	nɛbɔ			nebo
SLEEP_1	spaʦʲ	spʲɤ	spat	spaːt	spaːt			spije	spaʨ	spatʲ	spac	spaːti	spɑtɪ	spat	spat	spati
SLEEP_2						ɡuleːt										
SLEEP_3							mʲjɛɡoːtʲɪ									
SMALL_1	malʲenʲkʲi	maɫɐk	maːʎuʧak~maːjuʧak	maliː	mɒl			mal	mawɨ	malʲɪnʲkʲɪɪ̯	maɫiː	maːjxɛn	mɐɫɪi̯~mɐɫɛnʲkɪi̯	maːli	maːli	maːliː~malen
SMALL_2		drɛbɛn														
SMALL_3						mass	mɐʒɐs									
SMELL_1	nʲʉxaʦʲ								vɔw̃xaʨ	nʲuxətʲ	ɲuxac	ʋoːxati	nʲuxɐtɪ			ɲuʃiti
SMELL_2		duʃɐ														
SMELL_3				ʦiːcɪt												
SMOKE_1	dɨm	dim	diːm	diːm	diːm~dim				dɨm	dɨm	dim	dim	dɪm	diːm	diːm	dim
SMOKE_2		puʃɛk														
SMOKE_3				kou̯r̝̊												
SMOKE_4						duːmi	duːmɐj									
SMOKE_5								ʧat								
SMOOTH_1	ʁɫatʲkʲi	ɡɫadɐk		ɦlatkiː					ɡwatkʲi	ɡɫatkʲɪɪ̯	ɦɫatkiː	ɡlaːdɛk	ɦɫɐdkɪi̯			ɡladak
SNAKE_1	zmʲæjæ	zmija						zmija~smok	ʐmʲija	zmʲɪja			zmʲijɑ		zmija	zmija
SNAKE_2			ɦad	ɦat							ɦat			ɡat		
SNAKE_3						ʧuːska										
SNAKE_4							ɡʲiːvɐtʲeː									
SNAKE_5									vɔw̃ʂ							
SNAKE_6												kaːʧa				
SNAKE_7														smradina		
SNOW_1	snʲeʁ̥	snʲak		sɲiːx					ɕɲɛk	sʲnʲek	sɲɛx	snɛːk	snʲiɦ			snjeːɡ
SPEAK_1	ʁʌvarɨʦʲ	ɡovɔrʲɐ								ɡəvɐrʲitʲ	ɦɔʋɔric	ɡɔʋɔriːti	ɦɔwɔrɪtɪ			ɡoʋoriti
SPEAK_2				mluvɪt					muvʲiʨ							
STAND_1	stajæʦʲ	stojɤ	staːt	staːt	staːt	staːveːt	stoːvʲeːtʲɪ	stoj	staʨ	stɐjætʲ	staːc	staːti	stɔjɑtɪ	staːt	staːt	stajati
STAR_1	zorka												zʲirkɐ			
STAR_2		zvɛzda	zvjezda	ɦvjɛzda	zvejzdɒ			ʣvezda	ɡvʲjazda	zvʲɪzda	ɦʋɪ̯ɛzda	zʋɛːzda		zvɛzda	zvjezda	zʋjeːzda
STAR_3						zvajɡznɛ										
STAR_4							ʒvɐjɡʒʲdʲeː									
STICK_1	paɫka									paɫkə	paɫiʦa	paːliʦa	pɑɫɪʦʲɐ			paliʦa
STICK_2		prɤt														
STICK_3				ɦuːl												
STICK_4									kʲij							
STICK_5									laska							
STICK_6																ʃtaːp
STONE_1	kamʲenʲ	kamɐk	kaːmɛn	kaːmɛn	kowmæn	akmens		kamen	kamʲjɛɲ	kamʲɪnʲ	kamɛɲ	kaːmɛn	kɑmʲinʲ	kameːna~kaːmik	kamik	kameːn
STONE_2							ɐkmuə									
STONE_3															ɡrɔta	
STUPID_1	durnɨ												dʊrnɪi̯			
STUPID_2		ɡɫupɐf		ɦlou̯piː					ɡwupʲi	ɡɫupɨɪ̯	ɦɫuːpi	ɡluːp				ɡluːp
SUN_1	sonʦa	sɫɤnʦɛ	suːnʦɛ	slunʦɛ	sownʦæ~su̯onʦæ			sonʦe	swɔɲʦɛ	sonʦə	sɫŋkɔ	sɔːnʦɛ	sɔnʦɛ	seːnʦɛ	suːnʦe	suːnʦe
SUN_2						sawlɛ	sɐwlʲeː									
SWIM_1	pɫavaʦʲ	pɫuvɐm	plut	plavat	pʎuːt~pjuːt	peldeːt	pɫɐwktʲɪ		pwɨvaʨ	pɫavətʲ	pɫaːʋac	plaːʋati	pɫɪʋtɪ~pɫɑʋɐtɪ	plavat	plivat	pliʋati
SWIM_2								kapi								
TAIL_1	xvost									xvost	xʋɔst		xʋʲist			
TAIL_2		opaʃkɐ		oʦas				opaʃka								
TAIL_3			rjep		rejp							rɛp		reːp	rjep	reːp
TAIL_4						astɛ										
TAIL_5							uədʲɛɡɐ									
TAIL_6									ɔɡɔn							
TEN_1	ʣʲesʲæʦʲ	dɛsɛt		dɛsɛt					ʥɛɕɛɲʨ	dʲesʲɪtʲ	ɟɛsac	dɛsɛːt	dɛsʲɐtʲ			deseːt
THAT_1	toje	tova	taː	to	tej~taː	tas		t	tɔ	to	tɔ	tɔː	tɔ	ɔtɔːx~tɔːx	ta~taː	toː
THAT_2					own			on								
THAT_3							ɐnɐs							ɔnɔːx~nɔːx	ɔni	onoː
THERE_1	tam	tam		tam					tam	tam	tam	tam	tɑm			tamo
THEY_1	jænɨ			oɲɪ					ɔɲi	ɐnʲi	ɔɲi	oːni	wɔnɪ			oni
THEY_2		tɛ														
THICK_1	towstɨ			tlustiː						toɫstɨɪ̯	tɫstiː		tɔʋstɪi̯			
THICK_2		dɛbɛɫ										deːbɛu̯				debeo
THICK_3									ɡɾubɨ							
THIN_1	tonkʲi			tɛŋkiː					ʨɛŋkʲi	tonkʲɪɪ̯	cɛŋkiː		tɔnkɪi̯			
THIN_2		tɤnɐk	taːnak		tejnæk			tanok				taːnɛk		tɛnɛk	tanak	tanak
THIN_3						tjews										
THIN_4							pɫoːnɐs									
THINK_1	dumaʦʲ									dumətʲ			dumɐtɪ			
THINK_2		mislʲɐ		mɪslɪt					mɨɕlɛʨ		misɫɪ̯ɛc	miːsliti	mɪsɫɪtɪ			misliti
THIS_1	ʁɛta	tɔzi		toto				t	tɔ	ɛtə	tɔ~taːtɔ	tɔː				
THIS_2			u̯ov		owv			ov								
THIS_3						ʃis	ʃʲɪs									
THIS_4													ʦɛ			
THIS_5														ɔvɔːx~vɔːx	ɔvi	oʋoː
THOU_1	tɨ	ti	tiː	tɪ	tiː	tu	tʊ	ti	tɨ	tɨ	ti	tiː	tɪ	tiː	tiː	tiː
THOU_2								tebe								
THREE_1	trɨ	tri		tr̝̊ɪ					tʂɨ	trʲi	tri	triː	trɪ			triː
THROW_1	kʲidaʦʲ												kɪdɐtɪ			
THROW_2		xvɤrlʲɐ														
THROW_3				ɦoɟɪt					ʐuʦaʨ		ɦɔɟic					
THROW_4										brɐsatʲ						baʦati
THROW_5											ʋrɦnuːc					
THROW_6												u̯reːʧi				
TIE_1	vʲæzaʦʲ	vɤrʒɐ		vaːzat					vʲjɔw̃zaʨ	vʲɪzatʲ	ʋɪ̯azac	ʋɛːzati	ʋjɐzɑtɪ			ʋeːzati
TONGUE_1	jæzɨk	ɛzik	jɛziːk	jazɪk	jæzik			jazik	jɛw̃zɨk	jɪzɨk	jazik	jeːzik	jɐzɪk	zajik	zajik	jezik
TONGUE_2						meːlɛ										
TONGUE_3							lʲjɛʒʊvʲɪs									
TOOTH_1	zup															
TOOTH_2		zɤp														
TOOTH_3			zub		zowb						zup	zɔːp		zuːp	zu̯op	zuːb
TOOTH_4				zup												
TOOTH_5						zuɔ̯ps										
TOOTH_6							danʲtʲɪs									
TOOTH_7								zap								
TOOTH_8									zɔmp							
TOOTH_9										zup						
TOOTH_10													zub			
TREE_1	drɛva	dɐrvɔ			drejvɔ			drvo	dʐɛvɔ	dʲerʲɪvə		drɛʋɔː	dɛrɛwɔ	dreːvɔ	drjevɔ	drʋo
TREE_2			stru̯om	strom							strɔm					
TREE_3						kuɔ̯ks										
TREE_4							mʲædʲɪs									
TREE_5														stablɔ		staːblo
TWENTY_1	dvaʦʦaʦʲ	dvajsɛt~dvadɛsɛt		dvaʦɛt					dvaʥɛɕʨa	dvatʦɨtʲ	dʋatsac	dʋaːjsɛt	dʋɑdʦʲɐtʲ			dʋaːdeseːt
TWO_1	dva	dva	dvaː	dva	dvaː	divi		dva	dva	dva	dʋa	dʋaː	dʋɑ	dvaː	dvaː	dʋaː
TWO_2							dʊ									
WALK_1	xaʣʲiʦʲ	xɔdʲɐ							xɔʥiʨ	xɐdʲitʲ		xɔdiːti	xɔdɪtɪ			xoːdati
WALK_2			ʔit			jet~jɛt										
WALK_3					powt~powti									pɔːc	pu̯oc	
WALK_4						ɡaːju										
WALK_5							ejtʲɪ	oj								
WALK_6														reːn~ɡreːn	ɡrjen	
WARM_1	ʁaraʧɨ								ɡɔɾɔnʦɨ		ɦɔruːʦi		ɦɐɾʲɑʧɪi̯			
WARM_2	ʦʲɵpɫɨ	tɔpɐɫ	tjepal	tɛpliː	tu̯opɛl			topol	ʨɛpwɨ	tʲɵpɫɨɪ̯	cɛpɫiː	toːpɛu̯	tɛpɫɪi̯	teːpɛl	tɛpal	topao
WARM_3		ʒarɐk								ʐarkʲɪɪ̯			ʒɐrkɪi̯			
WARM_4				ɦorkiː												
WARM_5						silts	ʃʲiɫtɐs									
WARM_6												u̯rɔʧ				ʋruːʨ
WASH_1	mɨʦʲ	mijɐ		miːt						mɨtʲ	mic		mɪtɪ			
WASH_2		pɛrɤ							pɾaʨ			ɔpraːti				prati
WATER_1	vada	voda	vu̯ɔda	voda	vu̯odɒ		vɐnduə	voda	vɔda	vɐda	ʋɔda	ʋoːda	wɔdɑ	vɔda	vɔda	ʋoda
WATER_2						uːdens										
WE_1	mɨ		miː	mɪ	miː	mɛːs	mʲæs		mɨ	mɨ	mi	miː	mɪ	miː	miː	miː
WE_2		niɛ						nije								
WE_3			naːs		naːs			nas						nas	nas	
WET_1	mokrɨ	mɔkɐr		mokriː					mɔkɾɨ	mokrɨɪ̯	mɔkriː	mɔːkɛr	mɔkrɪi̯			mokar
WHAT_1	ʂto	ʃtɔ						ʃo~ʃco		ʂto			ʃʧɔ			ʃto
WHAT_2		kɐkvɔ														
WHAT_3			ʧa~ʧaː	ʦo					ʦɔ		ʧɔ			ʧɛ	ʧa	
WHAT_4					kɒj~kæj	kas	kɐs					kaːj				
WHERE_1	ʣʲe	kɐdɛ		ɡdɛ					ɡʥɛ	ɡdʲe	ɡɟɛ		dɛ			ɡdje
WHERE_2												kjɛː				
WHITE_1	bʲeɫɨ	bʲaɫ	bjel	biːliː	bejl			bel	bʲjawɨ	bʲeɫɨɪ̯	bɪ̯ɛɫi	bɛːu̯	bʲiɫɪi̯	beːli	bjel	bjeːl
WHITE_2						balts	bɐɫtɐs									
WHO_1	xto		ɡdɔ~dɔ	ɡdo					ktɔ	kto	ktɔ	kdɔː	xtɔ			tko
WHO_2		kɔj			kow			koj								
WHO_3						kas	kɐs							kiː	kiː	
WIDE_1	ʂɨrokʲi	ʃirɔk		ʃɪrokiː					ʂɛɾɔkʲi	ʂɨrokʲɪɪ̯	ʃirɔkiː	ʃirɔk	ʃɪrɔkɪi̯			ʃirok
WIFE_1	ʐonka												ʒʲinkɐ			
WIFE_2		sɐpruɡɐ										sɔprɔːɡa				supruɡa
WIFE_3				xoc												
WIFE_4				manʒɛlka							manʒɛɫka					
WIFE_5									ʐɔna	ʐɨna	ʒɛna	ʒeːna	drʊʒɪnɐ			ʒena
WIND_1	vʲeʦʲer	vʲatɐr	vjetar	viːtr	vjetær			veter	vʲjatɾ	vʲetʲɪr	ʋɪ̯ɛtɔr	ʋɛːtɛr	ʋʲitɛr	veːtɛr	vɛtar	ʋjetar
WIND_2						vɛːjʃ	vʲeːjɛs									
WING_1	krɨɫo	kriɫɔ		kr̝̊iːdlo					skʂɨdwɔ	krɨɫo	kriːdɫɔ	kriːlɔ	krɪɫɔ			kriːlo
WOMAN_1	ʐanʧɨna	ʒɛna	ʒɛna	ʒɛna	ʒjenɒ~ʒjenskɒ			ʒena		ʐɛnʲɕːɪnə	ʒɛna	ʒɛːnska	ʒʲinkɐ	ʒɛna~ʒeːnska	ʒjenska	ʒena
WOMAN_2			rɔba													
WOMAN_3						sjɛvjɛtɛ										
WOMAN_4							moːtʲɛrʲɪs									
WOMAN_5									kɔbʲjɛta							
WORM_1	ʧarvʲæk		ʧrv	ʧɛrf	ʧɛrv			ʦrveʦ		ʨɪrvʲak	ʧɛrʋ		ʧɛrʋjɑk		ʧrf	ʦrːʋ
WORM_2		ʧɛrvɛj					kʲɪrʲmʲeːlʲeː									
WORM_3						taːrps										
WORM_4									ɾɔbak							
WORM_5												ʧəru̯		ʧeːrf		
WORM_6												ɡliːsta			ɡliːs~ɡliːsta	
YEAR_1	ʁot					ɡats				ɡot						
YEAR_2		ɡodinɐ						ɡodina								ɡodina
YEAR_3			ljetɔ		ljetɔ							lɛːtɔ		leːtɔ	lɛtɔ	
YEAR_4				rok					ɾɔk		rɔk		ɾʲik			
YEAR_5							mʲætɐj									
YELLOW_1	ʐowtɨ			ʒlutiː					ʐuwtɨ	ʐoɫtɨɪ̯	ʒɫtiː					
YELLOW_2		ʒɤɫt	ʒuːt		ʒowt			ʒolt				ʒɔːu̯t		ʒuːt	ʒuːt	ʒuːt
YELLOW_3						ʣæltæns	ɡʲɛɫtoːnɐs									
YELLOW_4												rumɛn				
YELLOW_5													ʒɔʍtɪi̯			
YOU_1	vɨ	viɛ		vɪ					vɨ	vɨ	ʋi	ʋiː	ʋɪ			ʋiː
