Gloss	Aichi	Akita	Aomori	Chiba	Ehime	Fukui	Fukuoka	Fukushima	Gifu	Gunma	Hachijō	Hateruma	Hirara	Hiroshima	Hokkaidō	Hyōgo	Ibaraki	Ikema	Irafu	Ishigaki	Ishikawa	Iwate	Kagawa	Kagoshima	Kanagawa	Kumamoto	Kyōtō	Kōchi	Mie	Miyagi	Miyazaki	Nagano	Nagasaki	Nara	Naze	Niigata	Okayama	Okinawa	Old Japanese	Saga	Saitama	Shiga	Shimane	Shizuoka	Taketomi	Tarama	Tochigi	Tokushima	Tottori	Toyama	Tōkyō	Wakayama	Yamagata	Yamaguchi	Yamanashi	Yonaguni	Ōita	Ōsaka
HOW_113-5																																							ikani																			
HUNDRED_166-1																																							ho																			
HUNT_54-1						kari	kari								kari	kari	kari				kari	kari			kari								kari		kari				karu									kari		kari	kari							
HUNT_54-2	rjoː				rjoː				rjoː	rjoː				jamarjoː												rjoː		rjoː		rjoː		rjoː					rjoː					rjoː	rjoː				rjoː		rjoː					rjoː	rjoː		rjoː	
HUNT_54-3		teʔpouʤi		teʔpobuʤi				teʔpoːbuʤi																teʔpouʔ			teʔpouʧi		teʔpoːuʧi		ʧeʔpouʧi					teʔpobuʧi					teʔpoːbuʤi			teʔpoːuʧi								teʔpouʧi						teʔpouʧi
HUNT_54-4																																		seʔʃoː																								
HUNT_54-5																																								ʤuː																		
HUNT_54-6													tuɨɡa																																													
HUNT_54-7																			takatul																											takatul												
HUNT_54-8																				umuʣaturɨ																																						
HUSBAND_37-1		odo					otoːsaɴ	oʔto	oʔto		oʔto			otoko	oʔto	otoː	odoʔʧaɴ					oʔto			otoʔʧaɴ				otoːsaɴ					oʔto					wo			oʔto	oʃinoːtoʔʦaɴ	otoːsaɴ			toːʧaɴ	oʔto			oʔto				oʔto			
HUSBAND_37-10												budu	butu					butu	butu	budu															utu			utu							butu	butu										butu		
HUSBAND_37-2						ojaʔsama															ojaʤi																			uʧinoːjaʤisaɴ													ojaʤi				ojakata	
HUSBAND_37-3	ʃuʤiɴ				ʃuʤiɴ																		ʃuʤiɴ					ʃuʤiɴ		ɡote		teːʃo	ʃuʤiɴ			tɛːʃu	ʃuʤiɴ												ʃuʤiɴ			ʃuʤiɴ		ʃuʤiɴ				
HUSBAND_37-4										ʦureai																															ʦureai																	
HUSBAND_37-5			dada	daɴna																																																						
HUSBAND_37-6																																																		aːhaɴ								
HUSBAND_37-7																											mukohaɴ																															mukohaɴ
HUSBAND_37-8																															uʧi																											
HUSBAND_37-9																								tonoʤo																																		
IF_199-1																																							moʃi																			
INTESTINES_160-1	harawata	harawada	harawata		harawata		ʣoːbata	harawada	harawata	wata		bata		harawata	harawata	harawata	harawada			bada		harawada	harawata	ʣoʣowata	harabata	harawata	harawata	harawata	ʣoːmoʦu	harawada	harawata	harawata	harawata	harawata		ɡwaːta	harawata	watamuɴ	wata		harawata	harawata	harawata	harabata	bata		harawada	harawata	harawata		harawata	harawata	harawada	harawata	harabata	bata	harawata	harawata
INTESTINES_160-2				çakuçiro																																																						
INTESTINES_160-3						ʣoːmoʦu																																																				
INTESTINES_160-4											βuɡi																																															
INTESTINES_160-5																					dadami																													dadami								
INTESTINES_160-6																																								ʤiɡo																		
INTESTINES_160-7													nakami					nakami	nakami																nakami											nakami												
IN_123-1	naka	naɡa	naɡa	naka	naka	maɴnaɡa	naka	naka	naka	naka	naka	naɡa	naka	naka	naka	naka	naka	naka	naka	naka	naka	naɡa	naka	naka	naka	naka	naka	naka	naka	maɴnaɡa	maɴnaka	naka	naka	naka	naː	maɴnaɡa	naka	naha	naka	naka	naka	naka	naka	naka	naka	naka	naɡa	naka	naka	naka	naka	naka	naʔka	naka	naka	naɡa	naka	naka
I_208-1	waʃi		wa	wataʃi	wataʃi	ura	ataʃi		waʔʧi	wataʃi	wai		baɴ	waʃi	wataʃi	wataʃi		baɴ	baɴ		wate		otaʃi	atai	wataʃi	wataʃi	wataʃi	wataʃi	waʃi	wadasu	waʃi	waʃi	wataʃi	waʃi	waɴ	wataʃi	wataʃi	waɴ	ware	wataʃi	waʃi	wataʃi	wataʃi	waʃi	baɴ	baɴ	wataʃi	wataʃi	waʃi	waʃi	wataʃi	wataʃi		wataʃi	wataʃi		waʃi	wataʃi
I_208-2		ore						ore									ore					ora																															ore					
KILL_79-1	korosu	koroʃi	korosu	korosu	korosu	korosu	korosu	korosu	korosu	korosu	korosu	kurasuɴ	kurusɨ	konosu	korosu	korosu	korosu	kurasɨ	kurusɨ	kurasuɴ	korosu	korosu	korosu	korosu̥	korosu	korosu	korosu	korosu	korosu	korosu	korosu	korosu	korosu	korosu	kuʔʧuɴ	korosu	korosu	kurusuɴ	kørøsu	korosu	korosu	korosu	koroʃi	korosu	kurasuɴ	kurusɨ	korosu	korosu	korosu	korosu	korosu	korosu	koroʃi	korosu	korosu	kuruɴ	korosu	korosu
KNOW (SOMETHING)_90-1	ʃiru			ʃiru	ʃiru	ʃiru	ʃiru	ʃiru	ʃiru	ʃiru			ʔsɨ	ʃiru	ʃiru	ʃiru	ʃiru	sɨː	sɨː	ʃiɴ	ʃiru		ʃiru	ʃiʔ	ʃiru	ʃiru	ʃiru	ʃiru	ʃiru	suru	ʃiru	ʃiru	ʃiru	ʃiru	sɨʔʧuri	ʃiru	ʃiru		ʃiru	ʃiʔ	ʃiru	ʃiru	ʃiː	ʃiru		sɨː	ʃiru	ʃiru	ʃiru	ʃiru	ʃiru	ʃiru		ʃiru	ʃiru		ʃiru	ʃiru
KNOW (SOMETHING)_90-2		oɴberu	oɴberu																			oɴberu																															oberu					
KNOW (SOMETHING)_90-3											ʃokja																																															
KNOW (SOMETHING)_90-4												baɡaruɴ																										wakaiɴ																				
KNOW (SOMETHING)_90-5																																													ʔʃeːɴ													
KNOW (SOMETHING)_90-6																																																								ʔatiʔaɴ		
LAKE_188-1																																							umi																			
LAUGH_210-1	warau	warau	wararu	warau	warau	warau	ʔwarau	waraː	warau	warau	waroːwa	baːruɴ		warau	wawarau	warau	waraː	baraiː	baraɨ	baːroː	waroː	warau	warau	waru	warau	warau	warau	warau	warau	warau	warau	warau	waroː	warau	warajuri	waroː	warau	warajuɴ	wataβu	warau	warau	warau	waraː	warau	barauɴ	baruː	waraː	warau	warau	warau	warau	warau	waraː	warau	warau	baruɴ	waroː	warau
LAUGH_210-2													amaiɨ																																													
LEAF_146-1	ha	fa	ha	ha	ha	haː	ha	haʔpa	ha	haʔpa	haʔpa	paː	paː	ha	ha	haː	haoːa	haː	paː	paː	haː	haʔpa	ha	ha	haʔpa	ha	haː	ha	haː	haʔpa	ha	ha	ha	ha	haː	haʔpa	haʔpa	faː	ha	ha	haʔpa	haː	ha	haʔpa	paː	paː	ha	haː	haʔpa	haː	ha	haː	fa	ha	ha	ha	ha	haː
LEFT_163-1	çidari	ʃiɴdari	çiɴdari	çidari	çidari	çidari	çidari	çidari	çidari	çidari	çidari	psɨnarɨ	piɨdaɨ	çidari	çidari	çidari	çidari	çidai	piɨdal	psɨdarɨ	çidari	çiɴdari	çidari	çidai	çidari	çidari	çidari	çiɴdari	çidari	çiɴdari	çidari	ʃidari	çidari	çiɴdari	çiʤari	çidari	çidari		çidari	çidariɴboː	çidari	çidari	βudaː	çidari	pidari	piɨdaːl	çidari	çidari	çidari	çidari	çidari	çidari	çiɴdari	çidari	çidari		çidari	çidari
LEFT_163-2																																						piːɡeː																				
LEFT_163-3																																																								ɴdai		
LIE DOWN_143-1	neru	neru	neru	neru	neru	neru	neru	neru	neru	neru	neru		nivu̥	neru	neru	neru	nemuru	ɲuː	nivu̥	nibuɴ	neru	neru	neru	neʔ	neru		neru	neru	neru	neru	ɲeru	neru		neru	nɨburjuɴ	neru	neru	niɴbuɴ			neru	neru	neː	neru	nibuɴ	ninil	neru	neru	neru	neru	neru	neru		neru	neru	niɴduɴ	neru	neru
LIE DOWN_143-2																																																					joɡorobu					
LIE DOWN_143-3												nuʔβuɴ														nuru							nuru							nuʔ																		
LIE DOWN_143-4																																							køjaru																			
LIGHTNING_24-1	inabikari	enaɴʤima	enaɴʣuma	inabikari	inabikari	inabikari	inabikari	inabikari	inabikari	inaʣuma	inabikari		mnapsɨkaɨ	çikari	inabikari	inabikari	enʣuma	ɴnabikai	mnapsɨkal		inaʣuma	enaɴbikari	inabikari	inabikai	inaʣuma	inabikari	inabikari	inabikari	inabikari	enabikari	inaʣuma	enabikari	inaʣuma	inabikari	çikjara	enabikari	inabikari		inabikari	inabkai	inabikari	inabikari	enabikaː	inaʣuma		mnapsɨkal	oçikari	inabikari	inabikari	inabikari	inaʣuma	inabikari	enaɴbikari	inabikari	inaʣuma		inabikari	inabikari
LIGHTNING_24-2																																						βuriː																				
LIGHTNING_24-3												puʧiri								puturɨ																									puturu											βuti		
LIVER_60-1																																							kimo																			
LONG_124-1	naŋɛː	naŋɛ	naŋɛ	naɡɛː	naɡai	naŋeː	naɴka	naŋɛ	naŋɛː	naɡai	naɴɡakja	naːhaɴ	naɡakaɨ	naɡaː	naŋai	naŋai	naŋae	naɡakai	naɡakal	naːsaːɴ	naŋai	naŋɛ	naɡai	naɡe	naŋeː	naɴka	naŋai	naɴɡai	naɡai	naŋɛː	naɡe	naŋeː	naɡaka	naɴɡaː	naɡasaɴ	naːɡɛː	naŋɛː	naɡaʃeɴ	naɡaʃi	naɴka	naɡeː	naŋai	naɡae	naŋeː	naːɴ	naɡaʃaːl	naŋai	naɡai	naɡai	naŋai	naŋai	naɴɡai	naɴŋɛ	naŋɛː	naŋai	nasaɴ	naɡeː	naŋai
LOUSE_89-1	ʃirami	ʃirami	surame	ʃirami	ʃirami	ʃirami	ʃirami	ʃirami	ʃirami	ʃirami	ʃaɴme			ʃirame	ʃirami	ʃirame	ʃirami				ʃirami	surame	ʃirami	ʃirame	ʃirami	ʃirame	ʃirame	ʃirami	ʃirami	surame	ʃirame	ʃirami	ʃirami	ʃirame	sɨraɴ	ʃirami	ʃirami	ʃiraɴ	ʃirami	ʃirami	ʃirami	ʃirame	ʃirami	ʃirami			ʃirami	ʃirame	ʃirami	ʃirami	ʃirami	ʃirame	ʃirami	ʃirami	ʃirami		ʃirame	ʃirame
LOUSE_89-2												saːɴ	ʔsam					ʔsam	ʔsam	ʔsaɴ																									ʔsaɴ	ʔsam										ʦaɴ		
MALE PERSON_38-1	otoko	odoko	odoko	otoː	otoko	otoko	otoko	odoɡo	otoko	otoko	onokoɡo			otoko	otoko	otoko	otoko				otoko	odoɡo	otoko	otoko	otoko	otoko	otoko	otoko	otoko	odoɡo	otoko	otoko	otoko	otoko		otoko	otoko		wo	otoko	otoko	otoko	otoko	otoko			otoko	otoko	otoko	otoko	otoko	otoko	odoɡo	otoko	otoko		otoko	otoko
MALE PERSON_38-2																																			iɴɡa			ikiːɡa																				
MALE PERSON_38-3												bidumu	bikidum					bikidul	bikidum	biɡiduɴ																									bikidumu	bikidum										biɴɡa		
MOON_107-1	ʦuki	ʧiki	ʦuki	oʦukisama	ʦuki	ʦuki	ʦuki	ʦuki	ʦuki	ʦuki	ʦuki		ʦɨkiɨ	oʔʦukisaɴ	ʦuki	oʦukisaɴ	oʦukisama			ʦɨksɨ	oʦukisaɴ	ʦuɡi	oʦukisaɴ	oʦuʔsama	oʦukisaɴ	ʦuki	oʦukisaɴ	tuki	oʦukisaɴ	ʦuɡi		oʦukisaɴ	ʦuki	ʦuki	ʦɨki	ʦuki	oʦukisama		tukɨ	ʦuki	oʦukisama	oʦukisaɴ	ʧiki	ʦuki	ʃiki	ʦɨksɨ	oʦukisaɴ	ʦuki	ʦuki	ʦuki	ʦuki	oʦukisaɴ	ʧiɡi	ʦuki	ʦuki		otukisaɴ	oʔʦukisaɴ
MOON_107-2																															ɡwaʔteɴsama																											
MOON_107-3																		ʦɨʔʧu	ʦɨʔʧu																			tiʔʧoː																				
MOON_107-4												sɨkəɴ																																														
MOON_107-5																																																								ubuta		
MOSQUITO_43-1	kaɴsu	joŋa	joŋa	ka	ka	kaː	ka	ka	ka	ka	kabume	ɡaɴʣaɴ	ɡaʣam	ka	ka	kaː	kaɴme	ɡaʤaɴ	kaʣam	ɡaʣaɴ	kaː	ka	ka	kaː	ka	ka	kaː	ka	kaː	ka	ka	ka	ka	ka	ɡaʤaɴ	ka	ka	ɡaʤaɴ	ka	ka	ka	kaː	ka	ka	ɡaʣaɴ	ɡaʤam	ka	kaː	ka	kaː	ka	kaː	kaː	ka	ka	kadaɴku	ka	kaː
MOTHER_157-1	haha				haha				haha					haha	haha	hahaoja							haha					haha				haha					haha		haha			haha						haha			haha				haha			
MOTHER_157-2				kaʔka		oʔka	kaːsaɴ	oʔkaː		oʔkasaɴ	oʔka										okaːsaɴ	oɡasaɴ		kaka	oʔka	kakusaɴ	okaːʧaɴ		okaːsaɴ	oɡaʔʧaɴ	kakajaɴ		kaːsaɴ	kaːsaɴ		oʔkaʧaɴ				okajaɴ	oʔkajaɴ		kaʔka	kaːkaː			kaːʧaɴ		okaːsaɴ	oʔkahaɴ		okaːsaɴ	ɡaɡa	kaːʧaɴ			kakasaɴ	okaːʧaɴ
MOTHER_157-3		aba	aʔpa									abuwḁ	aɴna					ɴma	aɴna	aʔpa															ʔaɴma			ʔaɴmaː							abu	ɴma										abuta		
MOUTH_67-1	kuʧi	kuʤi	kuʣu	kuʧi	kuʧi	kuʧi	kuʧi	kuʤi	kuʧi	kuʧi	kuʧi	βuʦɨ	kuʦɨ	kuʧi	kuʧi	kuʧi	kuʧi	kuʦɨ	kuʦɨ	βuʧi	kuʧi	kuʣu	kuʧi	kuʔ	kuʧi	kuʧi	kuʧi	kuʧi	kuʧi	kuʦu	kuʧi	kuʧi	kuʧi	kuʧi	kuʧi	kuʧi	kuʧi	kuʧi	kuti	kuʧi	kuʧi	kuʧi	kuʧi	kuʧi	βuʧi	kuʦɨ	kuʧi	kuʧi	kuʧi	kuʧi	kuʧi	kuʧi	kuʧi	kuʧi	kuʧi	tʔi	kuʧi	kuʧi
NAME_130-1	namɛː	namae	namɛː	namɛː	namae	namae	namae	namae	namae	namae	nameː	naɴ	naː	namae	namae	namae	namae	naː	naː	naː	namae	namɛ	namae	namae	nameː	na	namae	namae	naː	namɛː	na	namae	namaje	namae	naː	namae	nameː	naː	na	na	nameː	namae	namae	namae	naː	naː	name	namae	namae	naː	namae	naː	namɛ	namɛː	namae	na	na	namae
NARROW_96-1	sebɛː	hemɛ	semɛ	sebɛː	semai	ʃemai	ʃemaka	semɛ	sebɛː	semai	semakja			sebaː	semai	sebai	semae				semai	semɛ	semai	sebe	semeː	ʃemaka	semai	semai	semai	semɛ	ʃebe	sebeː	ʃemaka	sebaː		sebɛː	semɛː		sebaʃi	ʃebaka	semeː	sebɛː	ʃemae	semeː			semai	sebai	semai	sebai	semai	sebai	çiɴbe	semɛː	semai		ʃemeː	ʃemai
NARROW_96-2												sɨpahan	ʃibakaɨ						ʃibakal	ʔibasaːɴ															ʔibaʃaɴ			ʔibaʃeɴ							ʃibaːɴ	ʃibaʃaːl										ʃibaɴ		
NARROW_96-3																		imakai																																								
NEAR_105-1	ʧikɛː	ʧikɛ	ʦukɛ	ʧikɛː	ʧikai	ʧikeː	ʧikaka	ʧikɛ	ʧikɛː	ʧikai	ʧikakja	sɨkahaɴ	ʦɨkakaiɨ	ʧikaː	ʧikai	ʧikai	ʧikae		ʦɨkakaru	ʦɨkasaːɴ	ʧikai	ʦukɛ	ʧikai	ʧike	ʧikɛː	ʧikaka	ʧikai	ʧikai	ʧikai	ʦukae	ʧike	ʧikeː	ʧikaka	ʧikaː	ʦɨkjaʃaɴ	ʧike	ʧikɛː	ʃikjaʃeɴ	tikaʃi	ʧikaka	ʧikeː	ʧikai	ʧikae	ʧikeː	ʃikaːɴ		ʧikai	ʧikai	ʧikai	ʧikai	ʧikai	ʧikai	ʧiʔkɛː	ʧikɛː	ʧikai		ʧikeː	ʧikai
NEAR_105-2																		maikai																												umaɡama												
NEAR_105-3																																																								tʔaɴ		
NECK_68-1	kubi	kuɴbi	kuɴpita	kubi	kubi	kubi	kubi	kubi	kubi	kubi	kubi			kubi	kubi	kubi	kubi				kubi	kubi	kubi	kuʔ	kubi	kubi	kubi	kubi	kubi	kuɴpita	kubi	kubi	kubi	kubi	kʔubi	kubi	kubi	kubi	kubi	kubi	kubi	kubi	kubi	kubi			kubi	kubi	kubi	kubi	kubi	kubi	kuɴbi	kubi	kubi		kubi	kubi
NECK_68-2													nubui					nudu	nubui	nubi																									nubi											nubi		
NECK_68-3																																														βuʤɨbuni												
NECK_68-4												mansɨɴ																																														
NEEDLE (FOR SEWING)_161-1	hari	hari	hari	hari	hari	hari	hari	hari	hari	hari	hari	parɨ		hari	hari	hari	hari	hai	pal	parɨ	hari	hari	hari	hai	hari	hari	hari	hari	hari	hari	hari	hari	hari	hari	hari	hari	hari	βai	hari	hai	hari	hari	hari	hari	paru	pal	hari	hari	hari	haru	hari	hari	hari	hari	hari	hai	hari	hari
NEEDLE (FOR SEWING)_161-2													piɨ																																													
NEW_6-1	ataraʃiː	ataraʃi	atarasu	ataraʃiː	ataraʃiː	ataraʃiː	ataraʃika	adaraʃiː	ataraʃiː	ataraʃiː	adaraʃikja				ataraʃiː		adaraʃie				ataraʃiː	adarasu	ataraʃiː		ataraʃiː	ataraʃika			ataraʃiː	atarasuː		ataraʃiː	ataraʃika			ataraʃi	ataraʃiː		ataraʃi	ataraʃika	ataraʃiː			ataraʃiː			ataraʃiː		ataraʃiː	aʔtaraʃiː	ataraʃiː		aʔdaraʃie	ataraʃiː	ataraʃiː	atarasaɴ	ataraʃiː	
NEW_6-2																sara											sara	sara						saraː								sara	sarana					sara				sara						sara
NEW_6-3														ɲiːna										ɲike							ɲiɴtona																											
NEW_6-4												meːsahaɴ	miɨkaɨ					miːkai	mɨːkal	miːʃaɴ															miːʃaɴ			miːʃeɴ							miːsaɴ	mɨːʃaːl												
NIGHT_206-1	joru	joma		joru	joru	joːsa	josari	joru	josari		baɴ	juru	juɨ	joru	joru		joru	jui	junai	juːrɨ	joru		joru	joi	joru	josari		joru	joru	joma	joru		joru	joru	juru			juruː	jo	joru			joː	josari	juːru	junaɡatu	joru		joːsari		joru		joɴma		joːsare	duru	joru	
NIGHT_206-2			baɴŋe							joru						baɴ						joma					joru					baɴ				joru	baɴ				baɴɡe	baɴ						baɴ		juːsa		baɴ		baɴ				baɴ
NINE_75-1	kokonoʦu	koɡonoʔʧi	koɡonoʔʦu	kokonoʦu	kokonoʦu	kokonoʦu	kokonoʦu	kokonoʦu	kokonoʦu	kokonoʦu	kokonoʦu	hakonuʦɨ	kukunuʦɨ	kokonoʦu	kokonoʦu	kokonoʦu	kokonoʦu	kʔunuʦɨ	kukunuʦɨ	kukunuʦɨ	kokonoʦu	koɡonoʔʦu	kokonoʦu	kokonoʔ	kokonoʦu	kokonoʦu	kokonoʦu	kokonotu	kokonoʦu	koɡonoʣu	kokonoʦu	kokonoʦu	kokonoʦu	kokonoʦu	kunuʦɨ	kokonoʦu	kokonoʦu	kukunuʧiː	kokono	kokonoʦu	kokonoʦu	kokonoʦu	koɡonoʧi	kokonoʦu	kukunuʧi	kukunuʦɨ	kokonoʦu	kokonoʦu	kokonoʦu	kokonoʦu	kokonoʦu	kokonoʦu	koɡonoʧi	kokonoʦu	kokonoʦu	kuɡunuʧi	kokonotu	kokonoʦu
NO OR NOT_122-1	nɛː	nɛ	nɛ	nɛː	nai	neː	naka	nai	nɛː	nai	naʔkja	nu	ɲaːɴ	naː	nai		nae	ɲaːɴ	ɲaːɴ	nu	nai	nɛ	nai	ne	neː	naka	nai	nai	nai	nɛ	ne	neː	naka	naː	nəɴ	nɛː	nɛː	neːɴ	nu	naka	neː	nai	ne	ne	naːnu	neːɴ	neː	nai	nai	nai	nai	nai	nɛ	nɛː	nai	nuɴ	neː	nai
NO OR NOT_122-2																araheɴ																																										
NOSE_154-1	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana	pana	pana	hana	hana	hana	hana	hana	pana	pana	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana	hana	βana	hana	hana	hana	hana	hana	hana	pana	pana	hana	hana	hana	hana	hana	hana	hana	hana	hana	hanaburu	hana	hana
OLD_174-1	βurjuː	βuruʃi	βurusu	βuriː	βurui	βurui	βuruka	βurui	βurjuː	βurui	βuruʃikja		βuɨkaɨ	βurui	βurui	βurui	βurue			βurusaːɴ	βurui	βuru	βurui	βuri	βuriː	βuruka	βurui	βurui	βurui	βurue	βuri	βuruʃiː	βuruka	βurui	βuruʃaɴ	βuːre	βuriː	βuruʃeɴ	βuruʃi	βuʔka	βurui	βurui	βuri	βurui			βurui	βurui	βurui	βuruʃiː	βurui	βurui	βurue	βurwiː	βurui	βurumunu	βuriː	βurui
OLD_174-2																		jarikai	jarikal																																							
OLD_174-3																																														ɡabaʃaːl												
OLD_174-4																																													ʔfumuɴ													
ONE_165-1	çitoʦu	ʃitoʔʧi	sutoʔʦu	çitoʦu	çitoʦu	çitoʦu	çitoʦu	çitoʦu	çitoʦu	çitoʦu	teʦu	psɨʦɨʦɨ	psɨtiːʦɨ	çitoʦu	çitoʦu	çitoʦu	çitoʦu	psɨtiːʦɨ	psɨtiːʦɨ	psɨtiːʣɨ	çitoʦu	çitoʔʦu	çitoʦu	çitoʔ	ʃitoʦu	çitoʦu	ʃitoʦu	çitotu	çitoʦu	çitoʦu	ʃitoʦu	ʃitoʦu	çitoʦu	çitoʦu	tʔɨːʦɨ	çioʦu	çitoʦu	tiːʧi	çitø	çitoʦu	ʃitoʦu	çitoʦu	βutoʧi	çitoʦu	piːʧi	psɨtiːʦɨ	çitoʦu	çitoʦu	çitoʦu	çitoʦu	çitoʦu	çitoʦu	çitoʧi	çitoʦu	çitoʦu	tuʧi	çitotu	ʃitoʦu
OPEN_167-1	çiraku	ʃiraɡu					çiraku		çiraku	çiraku	çiraku	puraɡuɴ	puraksɨ		çiraku		çiraku	βuraβu	puraβu	puraɡzɨ	çiraku	çiraɡu				çiraku		çiraku				ʃiraku	çiraku	çiraku		çiraku			çiraku		çiraku		βiraku	çiraku	puraʔkuɴ	psɨraksɨ	çiraɡu	çiraku	akeru		çiraku			çiraku	çiraku		çiraku	
OPEN_167-2			aɡeru	akeru	akeru	akeru		aɡeru						akeru		akeru							akeru	akuʔ	akeru		akeru		akeru	aŋeru	akuru				hakjuɴ		akeru	ʔakjuɴ		akuʔ		akeru								akeru		akeru	aɡeru			aɡiruɴ		akeru
OTHER_177-1	hokano	hoɡa	hoɡa	hokaɴ	hoka	hokano	hokaɴto		hokano	hokano	hokano	βuka	puka	hoka	hoka			βuka	puka	βuka	hoka	hoɡa	hokano	hoka	hokano	hokaɴto	hoka	hokano	hokano	hoɡano	hokaɴmoɴ	hokano	hokano	hoka	βukanu		hokano	βukaːnu			hokano	hoka	hokano	hoka	βukanu	puka	hoɡano	hokano	hokano	hoka	hoka	hokano	hoɡano	hokano	hokano	βuɡa	hokano	hokanoɴ
OTHER_177-2								beʦu									beʦuna																			beʦuno																						
OTHER_177-3																jonomoɴ																																										
OTHER_177-4																																								ʧiɡoːto																		
OTHER_177-5																																							ataʃi																			
PAINFUL OR SICK_21-1			edamu		itamu	itamu	itamu	idamu						itamu	itamu						itai	edamu		itaɴ			itamu	itamu						itamu			itamu		itamu		itamu	itamu								itamu	itamu					damuɴ		
PAINFUL OR SICK_21-2		jamu								jameru		jamuɴ	jam					jam	jam	jamuɴ																										jam												
PATH OR ROAD_189-1	miʧi	miʤi		miʧi	miʧi	miʧi	miʧi	miʧi	miʧi	miʧi	miʧi	mɨʦɨ	mʦɨ	miʧi	miʧi	miʧi	miʧi	ɴʦɨ	mʦɨ	mɨʦɨ	miʧi	miʣu	miʧi	miʔ	miʧi	miʧi	miʧi	miʧi	miʧi		miʧi	miʧi	miʧi	miʧi	mɨʦɨ	miʧi	miʧi	miʧi	miti	miʧi	miʧi	miʧi	meʧi	miʧi	miʧi	mʦɨ	miʤi	miʧi	miʧi	miʧi	miʧi	miʧi	miʤi	miʧi	miʧi	amiti	miʧi	miʧi
PATH OR ROAD_189-2			kɛɴdo																																																							
PATH OR ROAD_189-3																														doːro																												
PERSON_164-1	çito	βuto	suto	çito	çito	çito	çito	ʃito	çito	ʃito	ʃito	psɨtu	psɨtu	çito	çito	çito	çito	sɨtu	psɨtu	psɨtu	çito	çito	çito	çito	çito	çito	ʃito	çito	çito	çito		ʃito	çito	çito		ʃito	çito		çitø	çito	ʃito	çito	βuto	çito		psɨtu	çito	çito	çito	ʃito	çito	çito	çito	çito	çito	tʔu	çito	çito
PERSON_164-2																																			ʧʔu			ʧuː																				
PERSON_164-3																																													pusu													
PLANT (SOMETHING)_27-1	ieru	ueru	ueru	ueru	ueru	ueru	ujuru	ueru	ieru	ueru				ueru	ueru	ueru	uweru				ueru	ueru	ueru	ujuʔ	ueru	ujuru	ueru	ueru	ieru	ueru	ujuru	ueru	ueru	ueru	ʔwɨrjuɴ	ueru	ueru	ʔuijuɴ	uː	ujuʔ	ueru	ueru	oeː	ueru		uil	ueru	ueru	ueru		ueru	ueru	ueru	ueru	ueru		ujuru	ueru
PLANT (SOMETHING)_27-2											naberu																																							eberu								
PLANT (SOMETHING)_27-3												ʔibiru	ibiɨ					ibiː	ibil	ʔibiruɴ																									ibiruɴ											biruɴ		
POUND_100-1	tataku	tadaɡu	tadaɡu	çiʔpadaku	tataku	tataku	tataku	buʔpadaɡu	tataku	tataku				tataku	tataku	tataku	hadaku	tʔaβu	tataβu	tataɡuɴ	tataku	hadaɡu	tataku	tataʔ	tataku	tataku	tataku	tataku	tataku	hadaɡu	tataku	tataku	tataku	tataku		hataku	tataku	tatakuɴ	uʦu	tataku	tataku	tataku	tataku	tataku	tataʔkuɴ		hadaɡu	tataku	tataku	tataku	tataku	tataku	tadaɡu	tataku	tataku		tataku	tataku
POUND_100-2											buʦu		vu̥ʦɨ																						ʔuʧuɴ																					ʔutʔuɴ		
POUND_100-3																																														sɨtuɡzɨ												
POUND_100-4												kurasuɴ																																														
RAIN (PRECIPITATION)_13-1	ame	ame	ame	ame	ame	ame	ame	ame	ame	ame	ame	ami	ami	ame	ame	ame	ame	ami	ami	aːmi	ame	ame	ame	ame	ame	ame	ame	ame	ame	ame	ame	ame	ame	ame	ʔamɨ	ame	ame	ʔamiː	amə	ameame	ame	ame	ame	ame	ami	ami	ame	ame	ame	ame	ame	ame	ame	ame	ame	ami	ame	ame
RAT_141-1	neʣumi	neɴʤimi	neɴʣumi	neʣumi	neʣumi	neʣumi	neʣumi	neɴʤumi	neʣumi	neʣumi	neʣumime			neʣumi	neʣumi	neʣumi	neʣumi				neʣumi	neɴʣumi	neʣumi	neʣuɴ	neʣumi	neʣumi	neʣumi	neʣumi	neʣumi	neʣumi	ɲeʣumi	neʣumi	neʣumi	neʣumi	nɨːʤɨɴ	neʣumi	neʣumi		neʣumi	neʣumi	neʣumi	neʣumi	neʤiɴ	neʣumi			neʣumi	neʣumi	neʣumi	neʣumi	neʣumi	neʣumi	neɴʤimi	neʣumi	neʣumi		neʣumi	neʣumi
RAT_141-2																																						ʔeɴʧu																				
RAT_141-3													jumunu					jumunu	jumunu																																							
RAT_141-4																																														weːda												
RAT_141-5												ʔujaɴʧu								ʔujaɴʧu																									ujaʣa											ujaɴtu		
