Gloss	Erzya	Estonian	Finnish	Forest Enets	Hill Mari	Hungarian	Inari Sami	Kildin Sami	Komi-Permyak	Komi-Zyrian	Livonian	Lule Sami	Meadow Mari	Moksha	Nganasan	North Karelian	Northern Khanty	Northern Mansi	Northern Sami	Northern Selkup	Olonets Karelian	Skolt Sami	Southern Sami	Tundra Nenets	Udmurt	Veps
DISTURB_(SOMEONE)	pirʲamski	sʲeɡ̥ɑmɑ~hæirimɑ	hæi̯ritæ	dʲajtaɡuɕʲ	æreʃtɯlæʃ	zɒvɒr	hetːið~hemɐdið	viːrʃe~jeːkxelːe	kostiavnɨ	pɑdmədnɨ	siɛˀɡːə	mɑsːit~ʃʊdːit	meʃɑjɑˑʃ	ʃorsʲems	xurkələsɨ	hæiritæ	torastɪ	toraslaŋkʷʲe	he̯æðʊʃtih	taqɨtɨmpɨqa	mʊɔkɑtɑ	stɒmldɛd	støːrɛdh~heæraldɛhtɛdh	jɑjeːbtɑmbəsʲ	lʲuketɨnɨ	kɛskʊstɑdɑ
DIVE	ʨopavtoms~ʨopavtɲems	sukeld̥umɑ	sʊkɛltɑː	bizirpɔkdudʲ	ʦəmɑʃ	mɛryl	puohʧɐð	ʧoːaːŋːe	sunɡiɕnɨvaə	sunɑvnɨ	nɨˀrːə	bʊu͡ɔkʧɑt	ʃuŋɡɑltɑˑʃ	jupijems~ʨʲopafɲems	xoðɨrsɨ~mɐlkuðʲirsʲɐ	ʧʊkɛltʊɑ	marattɪ	muːrsaŋkʷʲe	pʊ̯ɔkʧɑh	patɨqa	ʧʊkɛldʊɑ	ʧɒːŋːlɛd	ʧarnɛdh~ʧʉmːiɛstidh	mulkɑdəsʲ	zumɨlɨnɨ	ʧʊkɑʊtɑs
DIVIDE	javoms	jɑɡ̥ɑmɑ~jɑotɑmɑ	jɑkɑː	tɛʧʲ	pɑjəlɑʃ	ost~mɛɡost	jyehˑið	juːɡke~raːtʲːke	torjətnɨ	juknɨ	jɑˀɡːə	jʊu͡ɔhkɛt	pølɑˑʃ	javoms	tɐrsɐ	jɑkʊɑ	orttɪ	urtuŋkʷʲe	jʊ̯ɔhkih	mølɨjiqa	jɑɡʊɑ	ʝuɛcc͡çʲɛd	jʉɛkɛdh	tʲɑrʦʲ	lʲukɨnɨ	jɑɡɑdɑ
DO	tʲejems	tʲeɡ̥emɑ	tɛxdæ	pɔniʧʲ	ɯʃtæʃ	ʧinaːl~ʧɛlɛksik	porɡɐð	lɨxːke	kʲernɨ	kernɨ	tiːˀɛdə	bɑrɡːɑt	ɤʃtɑˑʃ	tʲijems	ŋusɨdʲi	rʊɑtʊɑ		waːruŋkʷʲe	tɑhkɑh	mʲetɨqa	rʊɑdʊɑ~lʊɑdiɛ~ɑzʊɔ	rɒːʝːɐd	tarjudh	pærʦʲ	kɑrɨnɨ	tɛxtɑ
DOG	piɲe~kiska	koer	kɔi̯rɑ	bunki	pi	ɛb~kucɒ	peːnuv	peːnːe	pon	pon	piɲ	bɛnɑ	pij	piɲe	bɐŋ	kɔirɑ	amp	amp	pe̯ænɑ	kanak	kɔirɑ	piɐnːɒi	pɨɛɲɛ	wæɲeːkoː~weːʔ	punɨ	kɔir
DOLL	ɲaka	nukː	nʊkːɛ	ubku	poxɑnja	baːbu		kukla	akaɲ	ɑkɑɲ	pipɑː	dɔhːku͡ɔ~du͡ɔɑhːku͡ɔ	kurʧɑˑk	ɲaˑka		mʊʧːɔ	akaɲ	aːkaɲ	tɔhkːaː~tʊhkːaː	qumɨja	tʏtːi	kuːxlɒʒ	toɒhka	ŋuxukoː	muɲo	tætʏinɛ
DONATE	kazʲems	kiŋkimɑ	lɑhjɔi̯tːɑː	mikuʧʲ	poðɑrɑʃ	ɒjaːndeːkoz	skeŋkːið	laːçːe	koʑnavnɨ	koʑnɑvnɨ	miːmtə~ʃkiŋkə	vɑdːɛt	pøʎeklɑˑʃ	kazʲems	mɐðɐjsʲuʔʎubtudʲɐ~mɐðɐjsʲuʔʎubtykysʲɐ	lɑhjɔtːʊɑ	mojɬatɪ	muːjluptaŋkʷʲe	ske̯æŋkʊh~skeŋkeh	olqamʲiqa	lɑhjɔitːʊɑ~ɑndʊɑlɑhjɑksɛ	sc͡çiɐŋkːɐd	βɛtːɛdh	mʲɑdoːnzæŋæmʲipəsʲ	kuzʲmɑnɨ	lɑhjɔitɑ
DOOR	kenkʃ	uks	ɔʋi	nɔ	ɑmɑsɑ	ɒjtoː	uksɐ	ukːs	ɨbəs	əʣəs	ukʃ	ʊksɑ	omsɑˑ	kenkʃ	ŋʷɐ	ɔvi	ow	aːwi	ʊksɑ	møta	ʊksi~vɛræi	uxsːɐ	uksɛ	ɲoː	ʌs	ʊksʲ
DOWN	alov	ɑlːɑ	ɑlɑs	tɔɕi~tɔɕinɔju	ylɯkɯ~lɯvækɯ	lɛ~lɛfɛleː	vu̯ælæs	valas	uvtas	uɫə~uvɫɑn	ɑlɑː~mɔːˀzə	vʊu͡ɔlʊs	jɤmɑˑk	alu	ŋiʎe~kinsʲi~ŋiʎiʔiɐ~kinsʲiʔiɐ	ɑlɑs~ɑlɑhɑksi	iɬɬɪ	jolaʎ	vʊlɔs	jilːa	ɑlɑh~ɑlɑxpæi	vuɐlɒs	βoːlɛsɛ	təsʲiʔ~təsʲiɲɑʔ~ŋɨlʔ~ŋɨlɲɑʔ	ule	ɑlɑz~ɑlɑhɑks
DOWN_OR_BELOW	alo	ɑlː~ɑlːpoːl	ɑlhɑːlːɑ	tɔɕin	ylnɯ~lɯvælnɯ	ɒlul	vyelːin	vuːʎːn	uvtɨn	uɫɨn~uɫiɨn	ɑlːə	vʊu͡ɔlːɛn	yˑlnø~jɤmɑˑlnʲe	ala	ŋiʎenu~kinsʲini	ɑlɑhɑnɑ	iɬn	joln~luːnn	vʊ̯ɔlːin	ɨlqɨn	ɑlɑhɑn	vuɛlːʲɛn	βʉɛlniɛ	təsʲinɑ	ulɨn	ɑlɑhɑn
DRAG	uskoms	tɑsʲːimɑ~lohistɑmɑ	rɑːhɑtɑ	ɲɔhrɔɡuɕʲ	ʃɯðɯræʃ	vonsol	vieʃidið~hinːɑð	ʧuvːke	kɨskɨnɨ	kɨskɑvnɨ	tɑʃiːɲtə	sli͡ɛhpit	ʃydɤrɑˑʃ	uskoms	ŋimʲiɐʔsɨ	rɛtuːtːʊɑ		χarttaŋkʷʲe	fe̯æstih	ykɨlqa	ribɑitːʊɑ	ɲɛdʣʲɛd	fatnɛhtidh	ɲudʲeːrʦʲ	kɨskɨnɨ	vɛdætɑdɑ
DRAW_(WITH_PEN)	rʲisovams	joːnʲistɑmɑ	piːrtæː~piːrʊstɑː	paztaɡuɕʲ	əðərkɑ́lɑʃ	rɒjzol	særɡuð	risovaje~risːje	ɡiʒmavnɨ	ɕerpɑsɑvnɨ	tæːˀtə~viːpʃtə	ʧʊu͡ɔrɡːɑt	syretlɑˑʃ	rʲisovaˑndams	bʲindɐtəsɐ	piːrʊstʊɑ	χorwʲertɪ	poːsluŋkʷʲe	saːrɑkʊh~tʰevdneh	qʲatɨqa	rɛsʊijɑ~piːrʊstʊɑ	pirstɛd~piːrstɛd	kʉβːiɛdidh	pɑdtɑsʲ~pɑdtɑŋɡoːsʲ	suredɑnɨ	pirtɑ
DRAW_MILK	potʲavtoms	lypsmɑ	lʏpsæː		ʃəpʃəlɑʃ	fɛj	pɑʧːeːð	lapːɕe	vɨɕtɨnɨ~ʨiʎkətnɨ	ɫɨɕtɨnɨ	lipʃə	bɔhʧɛt	lyʃtɑˑʃ	potʲams		lypsyæ	pustɪ	posuŋkʷʲe	pɑhʧih	parkɨlqa	lʏpsiæ	pɐːtʧɒd	pʉhʧɛdh	doːjeːŋɡoːsʲ	kɨskɨnɨ	lʏpstɑ
DREAM	on	unʲenæɡ̥u	ʊni	nɔma	om	aːlom	nɑver	naɡer	vət	vət~vətɑɕəm	uˀɲ	ni͡ɛhku͡ɔ	jydoˑmo	on	dʲuc͡çiə~dʲuc͡çimɨə	ʊni	oɬam	uːlum	niɛhkʊ	kytʲaptɨqa	ʊni	nɐːɛrɐ	nahkɛrɛ	judæ	ujvʌt	ʊnikʊvɑ
DRESS_UP	orʃams	riːetumɑ	pʊkɛʊtʊɑ	dʲɛbiʧʲ	ʧiæʃ	øltøzik~fɛløltøzik	kærvudɐtːɐð	tuvːnedte	paɕtaɕnɨ	pɑɕtɑɕnɨ	ɛːˀɟtə	ɡarvːʊnit	ʧijɑˑʃ	ɕʨams	dʲembʲiʔsʲi	sʊɔriʊtʊɔ	ɬumatɬitɪ	masχatuŋkʷʲe	kaːrɑvɔðih	tokaltɨqa	sɛlitæ~ʃʊɔritɑ	tɛɐvəːtːɐd	koːrβɛdidh	jeːmbəʦʲ	disʲɑsʲkɨnɨ	sɔbdɑs
DRINK	sʲimʲems	joːmɑ	juɔ̯dɑ	ihruɡuɕʲ	jyæʃ	isik	juːhˑɐð	juɡke	junɨ	junɨ	juːodə	jʊhkɑt	jyɑˑʃ	sʲimoms	bɨðɨrsɨ	juːvvɑ	isʲtɪ	ajuŋkʷʲe	jʊhkɑh	ytɨrqa	jʊvvɑ	ʝuːkːɐd	juβkɛdh	ŋeːrpəsʲ	juɨnɨ	jɔdɑ
DRIVE	ardoms	sɤitmɑ	ɑjɑː~kʊlkɛɑ	ɛzuɕʲ	keæʃ	jaːr~mɛɟ~utɒzik	vyeijið	vɨjːe	munnɨ	munnɨ	ɑˀilə	vʊu͡ɔʤɛt	kudɑlɑˑʃ	ardoms	mɨnsɨ~xeðɨtɨsɨ	ɑjɛlːɑ	mantɪ	minuŋkʷʲe	vʊ̯ɔcːih	qænqa	ɑjʊɑ	vuɛʝːʲɒd	βʉɛlkɛdh	ŋædɑʎoːsʲ~mʲusʲeːsʲ	vetlɨnɨ	ɑjɑdɑ~ɑjɛldɑ
DRIVE_(CATTLE)	paɲems	ɑjɑmɑ	ɑjɑː	naaɡuɕʲ	ʃurujaʃ	hɒjt	vyeijið	vɨjçe~ɡoːnːe	vaʃətnɨ	vətɫɨnɨ	ɑˀjːə	vʊu͡ɔjɛdit	poktɑˑʃ	paɲems	tonusɐ	ɑjʊɑ	woʃtatɪ	konɲaːwluŋkʷʲe	vʊ̯ɔcːelih	kærɨqa	ɑjʊɑ	vuɛʝːʲɒd	βʉɛjiɛhtidh	tɑnɑsʲ	ulːʲɑnɨ	ɑjɑdɑ
DROP_(MOVEMENT)	javams	vɑjumɑ~lɑŋk̥emɑ	ʋɑjɔtɑ	tænæʧʲ	pəʧɑʃ	ʃyjːɛd	lu̯æʃtædɐtːɐð~ɲeːijɐð	lueʃːtedte	jamnɨ	vəjnɨ	vɑˀjːə	ʦu͡ɔɑhku͡ɔt~snju͡ɔɑrɛdit	puʧɑˑʃ	valɡoms		lɑskɛʊtʊɔ~pɑinʊɔ		jolminantaːtaŋkʷʲe	ʧɑlɑkɑh		pɑinʊɔ~hɛitːʏœ	luɐʃtːəːtːɐd~ɲɛɐʝːɒd	βoɒjudh	xɑʔmoːrʦʲ	usʲɨnɨ	væhɛtɑ~lɑsktɑs
DROP_(OF_LIQUID)	petɲavks	tʲilk	tipːɑ~pisɑrɑ	tɨs	kɑplʲə~kɑplʲək	ʧɛpː	ʧɑlme	ʧaːʎːm	cop	vojt	tiːlkɑ	ɡɔjkʊdis	ʧyʧɑˑltɤʃ	putʲks~pətɲafks		pisɑrɑ~tilkːɑ~tipːɑ	jiŋksəm	witsam	kɔ̯ɑikːɑnɑs	ʨapa	pizɑr~tipːɑinɛ	ʧɐlʲmːʲɘ	koɒjhkuhʦ	teːs	ʃɑpɨk	tilkʊinɛ
DROP_(SOMETHING)	pravtoms	mɑhɑpilːɑmɑ~kukːud̥ɑlɑskmɑ	pʊdɔtːɑː	sumɔjtaɕʲ	kenvɑʦtɑrɑʃ	ɛlɛjt	lyeʃtið~koʧɐtːið	jor̥te~keʧxe	uɕkətnɨ	uɕkədnɨ	mɔːˀzɨpilːə	lʊu͡ɔjtːɛt~lʊu͡ɔjtːɑlit	vozɑˑʃ	praftoms	mənəɡəc͡çudʲɐ	sɔrtʊɑ	paʲattɪ	jolpattuŋkʷʲe	kɑhʧɑhih	æstɨqa~jiʎʲaʨatːɨqa	sɔrdʊɑ~kirvɔtːʊɑ	rəpstɛd~kəːtʧtɛd	kahʧɛhtidh	xəʔəwrɑbtɑsʲ	usʲkɨtɨnɨ	kirbɔtɑdɑ
DRY	kosʲke	kuiv	kui̯ʋɑ	kasuj	kukʃə	saːrɒz	koʃkes	koaɕːk	kəs	kos	kuːjɑ	ɡɔjkɛs	kuˑkʃo	kosʲke	kosʲuo	kʊivɑ	soram	toːsam	kɔjkːis	tækɨpɨj	kʊivʊ	kɔːʃc͡çɛs	kɛjhkiɛ	xɑsuj	kʌs	kʊiv
DRY_UP	kosʲkems	kuivɑmɑ	kui̯ʋʊɑ	tɨraɡuɕʲ	koʃkɑʃ	saːrɒd	iːŋːɐð	koːʃːke	koɕmɨnɨ	koɕmɨnɨ	kuijə	ɡɔjkːɔt	koʃkɑˑʃ	kosʲkoms	kodʲetəsɐ	kʊivʊɑ	sortɪ	tosuŋkʷʲe	kɔjkɑh	tækɨqa	kʊivʊɑ	iːŋːɐd~koʃkːɐd	kajhkɛdh	tɨrəŋɡəsʲ~tɨrənəsʲ	kuɑsʲmɨnɨ	kʊidɑ~kʊivɛxtʊdɑ
DUCK	jaksʲarɡo	pɑrt	ɑŋkkɑ	ŋau	ləðə	kɒʧɒ	vuoɲɐʧ	ʧaːʣloaɲːt	utka	utkɑ	pɑˀrʲ	vʊu͡ɔjɑʧis	luˑdo	jaksʲarɡa	ŋɐŋʷodʲe	sɔrsɑ	wasɪ	waːs	ʧaːhʦelɔdti	ɕipa	sɔrzʊ	vuəɲɐʧ	ʧoːʦɛlɛ	ɲɑbɨ	ʧʌʒ	sɔrz
DUST	pulʲ	pɤrm	pœlʏ		pərɑk	por	kovjɐ	keːbːj	bus	bus	pɨrm	dʊbmɛ	purɑˑk	pulʲ	dʲɐŋ~ʎiʎe	pœly	raw	porɪs	tɔpmʊ	tuspo	pœlʏ	pəːlʲɘ	hɛbliɛ~ʦʉmhʦiɛ	sʲibʲə	pɨlʲ	pœlʏ
DWELL_(LIVE,_RESIDE)	erʲams	elɑmɑ	ɑsʊɑ	diriɕʲ	ɯlæʃ	lɒkik	ɑːsːɐð	jeːʎːe	ovnɨ	ovnɨ	jɛˀlːə	ɔrːu͡ɔt~vi͡ɛsːu͡ɔt	jilɑˑʃ	erʲams	ɲilɨdʲi	ɛlyæ	uɬtɪ	oːluŋkʷʲe	ɔrːʊh	jilɨqa	ɛliæ	ɒːsːɐd~ʝalstɛd	ɔrːudh~βeæsudh	jiʎeːsʲ	ulɨnɨ	ɛlædɑ
DYE	artoms	værvimɑ	ʋærjætæ~ʋæritːæː	paztaɕʲ	piðæʃ	fɛʃt	pæinið	poːaːjːne	kraɕitnɨ	miʨədnɨ~krɑɕitnɨ	roːviɲtə	bajnːit~sihːʦɛt	ʧijɑltɑˑʃ	aˑrxtoms	dʲuorubtudʲɐ	værjætæ	oʎaptatɪ	keːllaŋkʷʲe	paːjdnih~ivdneh	kraskasanatqɨlqa	mʊjʊtːʊɑ~krʊɑsːiɛ	painːɒd~c͡çɛrʲʝːʲeːd	kʰlæːriɛdidh	ŋoːtɑbəsʲ	bujɑnɨ	mʊjʊtɑdɑ
EAGLE	kuʦʲkan~tumoatʲakʃ	kotkɑs	kɔtkɑ	ɫibi	kuʧkəʒ	ʃɒʃ	ku̯æskim	kueʨkem	kuʨ~kutʃ	kuʧ	kuotkɑːnɨz	ɡu͡ɔɑsːkɛm	kɑrɑɡuˑʃ	kuʦʲkan	lɨŋxɨ	kɔtkɑ~kɔkːɔ	kurak	juːswoj	kɔ̯ɑskin	ʎimpɨ	kɔtkʊ	kuaʦʲcc͡çʲɛm	ɑːrhʦɛ	ʎimbʲɑ	ʌrzʲi	ɔrl
EAR	pilʲe	kɤrv		kɔɔ	pɯlɯʃ	fyl	peʎi	peːʎːj	pʲeʎ	peʎ	kuːorɑ	bi͡ɛlːjɛ	pɤˑlɤʃ	pilʲe	kou	kɔrvɑ	paɬ	paʎ	pe̯æʎːi	qo	kɔrvʊ	pɛʎːʲɘ	piɛljiɛ	xɑ	pelʲ	kɔrv
EARTH_(SOIL)	mastor	mɑː	mɑː	dʲasɔrʲɛ	svet	føld	eːnːɐm	jeːmʲːɲe	mu	mu~muvɑ	mɔː	ɛdnɑm~mɔlːdɛ	mlɑˑnde	moda~mastor	mou	mʊɑ	muw	maː	e̯ænɑ	tætːɨ	mʊɑ~mʊldʊ	madːɐ~ʝɐnːɒm	joɒrta~mʉɛltiɛ	jɑ	mu	mɑ
EAST	ʨʲilʲisʲema	id̥ɑ	itæ	kajaɔzimanɛɛ	irvel~keʧɯlyltmɯ	kɛlɛt	nuortːɐ	nur̥ʲːt	asɨv	ɑsɨv	uːomɨɡ	lʊlːɛ	erveˑl	ʃiɲstʲamaʃirʲe	dʲɐlɨɲiːdʲe	kɔilini		χoːtalnɤːɣlɪnjeːr	nʊ̯ɔrɑhtɑ	pyjpʲeʎak~ɲanːajpʲeʎak	kɔilːinɛ~pæivænːɔʊzʊ	nuərti	lʉβliɛ	jɑʎɑʔtərpʔ	ʃundɨʤuʒɑn	pæivnɔʊzm
EAT	jarsams	sœːmɑ	syœ̯dæ	ɔɔʧʲ	kɑʧkɑʃ	ɛsik	purːɐð	poːrːe	ɕojnɨ	ɕojnɨ	siːɛdə	bɔrːɔt	koʧkɑˑʃ	jarxʦams	ŋemsɐ	syyvvæ	ɬətɪ	tɤːŋkʷʲe	pɔrːɑh	amqa	sʏvvæ	poːrːɐd	pyœpmɛdidh	ŋəmzʲ	sʲiɨnɨ	sœdɑ
EDGE	jirdʲez	kɑnt	særmæ	bar	ʃør	eːl	robdɐ	ruːmːt~reːvːn	ordɫɨ	dor	kɑɲcː	rɑbdːɑ	tyr	jiˑrdʲez	kəiðəː	rɛʊnɑ~særvi	wur	jeːr	rɑvtɑ	pontar	kɑjɔmkʊ~kɑimʊ	ɔrʲdːʲɘ~ruəbdːɐ	ræːtːiɛ	wɑr	dur	rœʊn
EGG	al	munɑ	mʊnɑ	mɔna	mənə	tojaːʃ	mɑne	maɲː	koʎc	koʎk	uɨlɑ~munɑːd	mɔnːɛ	muˑno	al	mənu	mʊnɑ	wojpoʃaχ~karaŋpoʃaχ	muːŋi	mɔnːi	æŋ	jæiʧːʏ	mɐːnːʲɘ	mʉnːiɛ	sɑrʔɲu	puz~kukej	mʊnɑ
EIGHT	kavkso	kɑheksɑ	kɑxdɛksɑn	ɕizʲɛt	kændækʃ~kændækʃɯ	ɲolʦ	kæːvʦi	kaːxːʦ	kɨkʲjamɨs	kəkjɑmɨs	kɔːˀdɨks	ɡakʦɑ	kɑndɑˑʃ	kafksa	sʲitiðətə	kɑhɛksɑn	nijɬ	ɲololow	kaːvʦːi	ɕitːjaqɨʨaŋkɨtɨjkʲon	kɑhɛksɑ	kaːuʦʲɘ	kæːkʦiɛ	sʲidndʲeːt	tʲɑmɨs	kɑhɛsɑ
EIGHTY	kavksoɲɡemʲeɲ	kɑheksɑkymːend̥	kɑxdɛksɑŋkʏmːɛntæ	ɕizʲɛtbiu	kændækʃlu	ɲolʦvɒn	kæhʦilov	kaːxːʦloaɡk	kɨkʲjamɨsdas	kəkjɑmɨsdɑs	kɔːˀdɨkskimdə	ɡakʦɑlɔhkɛ	kɑndɑˑʃʎe	kaˑfksoɡemoɲ	sʲitiðətəbʲiːʔ	kɑhɛksɑŋkymːɛntæ	nijɬjaŋ	ɲolsaːt	kaːvʦːilɔki	ɕitsarʨaŋkɨtɨjton	kɑhɛksɑkʏmːɛn	kaxʲtʦʲlʲo	kæːkʦiɛlʉhkiɛ	sudndʲeːtʲuʔ	tʲɑmɨston	kɑhɛsɑkʏmnɛ
ELBOW	keɲerʲepakarʲ	kyːnɑrnukː	kyːnærpæː		kɯnervuj	køɲøk	kæŋːir	karneʎ	ɡɨrdzza	ɡɨrdːzɑ	kiːndɨrbuː	ɡɑrŋːɛl	kɤnʲervuˑj	keɲerʲbaˑkarʲ	səlŋɨðəː	kyŋkæ~kyynæspiæ		konɪluwoːwɪl	kɑrɛɡŋil	sɨŋtʲat	kʏnæbrʏs~kyːnæspiæ	kəːɲɐr	kɛrɲɛrɛ	səʎik	ɡɨrpum	kʏnɑmbrʊz
ELEVATION	ɡuborʲ~pandɨɲe	kyŋk̥ɑs	mæki~kʊmpɑrɛ	sɔɕi	kykʃikæ	mɒɡɒʃlɒt	ti̯ævæ~poːræːʃ	kaːɲːt	vɨvtas~vɨɫɨnin	mɨʎk~nərɨs	kɑːŋɡɑr	di͡ɛvaʃ	tøvɑˑ~kykʃɑkɑˑ	ɡuboˑr	xirəmɨ~xurəɡəːmou	mætæs	saŋχam	uram	ɑlaːʃ~lʊ̯ɔhkːaː	tætːɨlːaka	vʊɑrʊ~ʏlæŋːœ	ʧulʲpːʲɘ~ʃkɐuŋːʲɘ	teæβa~jalːadahkɛ	soːtɨ~pʲirʦʲɑ	vɨr~vɨrjɨl	kʊkɑz
ELEVEN	kevejkeje	ykstʲeist	ʏksitɔi̯stɑ	bikɔzbɔzatŋɔʎu	luɑtik~luɑtiktɯ	tizɛnɛɟ	ohtnubæloh	eːxːtemploaɡk	dasotik	dɑsəcik	ikʃtuoistɨn	lɔɡɛnɑnɑktɑ	lɑtʲiˑk	kefkije	bʲiːʔŋʷoʲiʔ	yksitɔistɑ	iχosʲaŋ	akʷχojplow	ɔktɑnʊpːelɔhkaːj	ukːɨrkæjkʲon	ʏksitɔstʊ	ətmlo~əxtːmlo	lʉhkiɛaktɛ	ŋoːpoːjʲəŋɡɲɑ	dɑsodiɡ	ʏksʲtɔʃtkʏmnɛ
ELK	sʲardo	pɤd̥er	hirʋi	habarta	ʃɑrðə	jaːvorsɒrvɒʃ	sorvɐ	seːrːv	vərməs	jərɑ	pɨˀdːɨrz	æːlːjɑ~sɑrvːɑ	ʃoˑrdo	sʲaˑrda	kəukiɐ	hirvi	kuraŋwoj	janɣuj	e̯ælɑkɑ	pʲaqːɨ	hirvi	sərvːɐ	ɨɛljɛ	xəbɑrtɑ	kojɨk	hirbʲ
EMPTY	ʨavo	tyhi	tʏhjæ	tærɕiza	jæræ	yrɛʃ	ku̯ærus	kuras	tɨrtəm	kuʃ~tɨrtəm	tijɑː	ɡʊu͡ɔru͡ɔs	jɑrɑˑ	ʃava	xuɲdʲɐtɨə~c͡çerəɡʲiɐjjic͡çʷo	tyhjæ	taɬ	taːtɪl	kʊ̯ɔrʊs	ɕynʨɨpɨj	tʏhjʏ	kuɐrɒs	tʰuβmɛ~koɒruʌs	tʲeːrsʲədɑ	buʃ~tɨrttem	jɔʊdɑi
ENCOUNTER	vastoms	koxtɑmɑ	tɑʋɑtɑ	dʲaztaɕʲ	væʃliæʃ~væʃliæltæʃ	tɒlaːl	stɑːvið~teividið	vuesːtle	pantavnɨ	voʨɑədnɨ~pɑnɨdɑvnɨ	kuˀbːɨsɔːdə	i͡ɛjvːit	vɑʃʎijɑˑʃ	vasʲftoms	ŋətədʲɐ~ŋukələsɐ	vɑsːɑtɑ	jesʲaɬtəttɪ	ʎaːʎtχontuŋkʷʲe	tæjvɑh	ʨætɨka	vɑstɑtɑ~næxtæ	odːʲʝʲəːtːɐd	tiɛβiɛdidh	jɑdɑbtɑsʲ	pumitɑnɨ	vɑstɑtɑ
ENDURE	kirdʲems	tɑlumɑ	kɛstæː		ʦɯtæʃ	ɛlbiːr~ɛlviʃɛl	tu̯æddud~ʦevʣið	kiːrːʃe	cerpitnɨ	pɨknɨ~ɫeptɨnɨ	kɑːndɑtə	æːlːjɑt	turkɑˑʃ	kirdʲems	dʲebtʷɐsɐ	kɛstyæ~siɛtyæ	paktɪ	wʲeːritaŋkʷʲe	kiɛrtɑh~kilʲlaːh	lætːɨqa	kærziɛ~kɛstiæ	tuɐddɒd~c͡çɛɐllʝɛd	eːblɛdh~βɨsːjɛdh	lɑʔəmdɑsʲ~pʲirdəʔʎeːsʲ	ʨʲidɑnɨ	tirptɑ
END_(OF_SPACE)	pe	ots~jupː	pæː~pɛræ	ub	vuj~məʧɑʃ	veːɡ	keːʧi	keːʤ	jɨv	pom	iːrɡɑndɨks	ɡi͡ɛhʧɛ	muʧɑˑʃ	pe	xɐʲi	piæ~pɛrʊkːɑ	oɬaŋ	oːwɪl	ke̯æhʧi	ʨipɨ	ɑɡjʊ~nʲɔkːʊ	puaʃːɐ	kiɛʧiɛ	mɑl	pum	ɑɡj
END_(OF_TIME)	pe	lɤpː	lɔpːʊ	dʲɔsʲɛdʲɔdi	pɯtærtɯʃ	veːɡ~bɛfɛjɛzeːʃ	lopːɐ	keːʤ	kom	pom	lopɑːndɨks	ɡi͡ɛhʧɛ	muʧɑˑʃ	pe	sʲudʲɐmʲi	lɔpːʊ	joɬtaoɬaŋ	oːwɪl	lɔ̯ɑhpːɑ	ʨipɨ	lɔpːʊ	lopːɐ	nɔhkɛmɛ	weːʔ	pum	lɔp
ENEMY	duʃman	vɑenlɑnʲe	ʋihɔlːinɛn		təʃmɑn	ɛlːɛnʃeːɡ	vɑjɑlɐʃ	vereɕ	vraɡ	vrɑɡ~vərəɡ	vijɑːnikɑː	vɑʃʊlɑʃ	tuʃmɑˑn	duʃman~karʃektʲurʲi	ɲersəɡə	vihɑmiɛs	wurak~wraɣ	wraːɣ~nurtotnχoːtpa	vɑʃaːlɑʃ	wraɡ	vihɑmiɛs~vihɔlːinɛ	vɐʝːeːʝɒ	kɛrtɛlɛ	pʲɑŋɡuj	tuʃmon	vihɑnik~vɑstʊstɑi
ENTER	sovams~eskelʲdʲams	sʲisʲenʲemɑ~sʲisʲːeɑstumɑ	ɑstʊɑsisæːn	ʧuɕʲ	pərɑʃ	bɛleːp	ʧɑːŋːɐð	suaŋːe	pɨrnɨ	pɨrnɨ	siˀzːɨlɑstə	ʧaɡŋɑt	purɑˑʃ	suvaˑms	c͡çiːtəsɨ	ɑstʊɔsiæmɛh	ɬoŋtɪ	sʲaltuŋkʷʲe	ʧaːkŋɑh~lɔ̯ɑiðɑh	ɕerqa	tʊlːɑsʏdæmɛh	ʧɒːŋːɐd	ʧɑːŋɛdh~ʧakːɛdidh	tʲusʲ	pɨrɨnɨ	tʊldɑ
ESCAPE	vorʲɡodʲems~ʨadoms	pɤɡ̥enʲemɑ	pɑɛtɑ	kunuɕʲ	kərɣəʒʃɯlæʃ	ɛlmɛnɛkyl	kærɡæð	poːaːʧːke	pɨʃʃɨnɨ	pɨʃjɨnɨ	urɡə	bahtɑrit	kurʒɑˑʃ	ʃaˑdoms~voˑrʲɡodʲems	kunədʲɐ~xʷɐŋkədʲɐ	pʊɑtɑ~læxtiɛpɑkɔh	χonttɪ	χotɪlojuŋkʷʲe	kaːrɛkidih	alpʲapaktɨqa	pɑjɛtɑ	uidːɐd	ʦɔβːalidh	sʲurmbəsʲ~ɲɑwoːtəsʲ	peɡʥɨnɨ	pɑɡɛtɑ~jɔkstɑ
EVENING	ʨokʃne	ɤxtu	iltɑ	pʲauɕumnɛ	vɑðə	ɛʃtɛ	eːhˑid	jeːkeɕ~jeːknenʧ	rɨt	rɨt	ɨːˀdɨɡ	i͡ɛhkɛt	kɑs	jilʲaˑdʲ	ximtəkə~kuntudʲemu~kundutuɲdʲe	iltɑ	jet	iːtipaːla~ɤːtipaːla	e̯æhkeh	ytɨn	ɛxtʏ~ildʊ	ʝɛacc͡çʲaːʒ	iɛhkɛdɛ	pæwsʲumdʲoː	ʤɨt~ɑkʃɑn	ɛxt
