Gloss	Badga	Betta Kurumba	Brahui	Gondi	Kannada	Kodava	Kolami	Kota	Koya	Kurukh	Kuwi	Malayalam	Malto	Ollari Gadba	Parji	Tamil	Telugu	Toda	Tulu	Yeruva
KNEE_2		mannɡaːlə			muɳakaːlo			moːɡaːl	moːkaːl			muɻaŋkaːl				muɻaŋkaːl	moːkaːlu		meɳakaːləɡanʈu	muːlekaːlə
KNEE_3			ɡoːɖ																	
KNEE_4				tonɡɾa																
KNEE_5					maɳɖi	maɳɖi					mendaja									
KNEE_6							muɖsu													
KNEE_7									boʈmiɳɖaː											
KNEE_8										muka			muːka							
KNEE_9														ʋanɡul						
KNOW_1	aɾaʋə																eraːɡu			
KNOW_2		ɡottuɳɖi~ɡottaːɡ																		
KNOW_3			ʧaːinɡ																	
KNOW_4				jeɾpaʈ																
KNOW_5					aɾi	aɾi										ari				aɾiʋo
KNOW_6					telidiko				teluseː							teɾinʤuko	telusuko~telusukonu			
KNOW_7							uɾtanɖaːt													
KNOW_8								asuːbej												
KNOW_9										akʰna										
KNOW_10												aɾajuɡa				teɾijum			teɾijaɾa	
KNOW_11													haːhpo							
KNOW_12													baɖeminpo							
KNOW_13													sikaːɾpo							
KNOW_14														sun						
KNOW_15															pun					
KNOW_16																		aɾspini		
LEAF_1	elə	jali			jele			eːlu				ila				ele				ele
LEAF_2			pann																	
LEAF_3				aːki					aːkiː								aːku			
LEAF_4						elakaɳɖa														
LEAF_5							aːk													
LEAF_6										atkʰa										
LEAF_7											patɾa									
LEAF_8													haːtʰa							
LEAF_9														ʈunɖe						
LEAF_10															ev					
LEAF_11																		eɾs		
LEAF_12																			iɾa	
LIE (REST)_1	haɖaʋə																paɖukonu			
LIE (REST)_2		baːɖ														paɖə				
LIE (REST)_3		baːʈɳuiːɾ																		
LIE (REST)_4			dɾoɡʰtaɖinɡ																	
LIE (REST)_5				miɳɖsi																
LIE (REST)_6				dolsi																
LIE (REST)_7					malaɡu															
LIE (REST)_8						budda														
LIE (REST)_9							labaːɖmuɖsati													
LIE (REST)_10									unʤa											biːndo
LIE (REST)_11										paiha										
LIE (REST)_12										fasijaːɾ										
LIE (REST)_13												kiɖakkuɡa								
LIE (REST)_14													koːɖpo							
LIE (REST)_15															maɖ					
LIE (REST)_16																keɖə				
LIE (REST)_17																		poaʈʧiː		
LIE (REST)_18																		pokkum		
LIE (REST)_19																			buɾoːnaɾa	
LIVER_1		tədlə												taɖinɡ						
LIVER_2			ʤaɡaɾ																	
LIVER_3				taɾki																
LIVER_4					hĩɾi			iːɾu				ĩɾal				iːɾaɭ				
LIVER_5					medaʤiːɾika															
LIVER_6						tombe														tombe
LIVER_7							kaleja					kaɾaɭə					kaːlejamu			
LIVER_8									kaːʤam											
LIVER_9										umbalkʰo										
LIVER_10													ʧedɾo		taɾuŋɡ					
LIVER_11																		kuɖaːl		
LONG_1	utta	uddu			udda	uddə														
LONG_2			muɾɡun																	
LONG_3				laːm																
LONG_4							poɖaːm		poɖaʋuʈaːdu								poɖaʋu			
LONG_5								niːtam				niːnɖa				nĩɳʈa		neɾti		niːʈa
LONG_6										diɡaːh			diɡaɖo							
LONG_7												niːlamuɭɭa				niːɭam~niːɭamaːna				
LONG_8																			uda	
MAN_1	kanɖumuɡa				ɡanɖasu			ɡanmaɡu												
MAN_2		ɡəɳɖaɭə									ɖola									
MAN_3			naɾeenə																	
MAN_4				mankal																
MAN_5					puɾuʂa							puɾuʂan					puɾuʂuɖu			
MAN_6						aːnaaɭə						aːɳə				aːɳə				
MAN_7							maniʂaːn													
MAN_8									maɡaʋaːɳɖ								maɡaʋaːɖu			
MAN_9									peːkaːl											
MAN_10										meːt										
MAN_11											kakasi									
MAN_12											kodomi									
MAN_13													muɖsaː							
MAN_14																aːɳ				
MAN_15																aːmbɭe				
MAN_16																		aːlom		
MAN_17																			aːnʤʋu	
MAN_18																				panija
MANY_1	appaɾa																			
MANY_2		kajɾijə														neɾija				
MANY_3			baːz									pala				palə				
MANY_4				ʤaːsta																
MANY_5				ʋellen																
MANY_6					halaʋu															
MANY_7						dumba														tumba
MANY_8							peɾe												baːɾi	
MANY_9								iːʤoːɖ												
MANY_10									ʧaːla								ʧaːla			
MANY_11									beʧʧoːko											
MANY_12										baɡɡe										
MANY_13												ottiɾi								
MANY_14													diːkehi~ɡaːɖehi							
MANY_15																	naːnaː			
MANY_16																		uppuːm		
MEAT_1	paːɖə				baːɖu			podu										piːt		
MEAT_2	paːɡə																			
MEAT_3		əɾsi																		
MEAT_4			suː																	
MEAT_5				haʋʋi																
MEAT_6					maːmsa							maːmsam					maːmsamu		maːsa	
MEAT_7						eɾaʧi						iɾaʧi				iraicci				iɾaʧi
MEAT_8							muɾija													
MEAT_9								keteɾi								kaɾi				
MEAT_10									anɡiː											
MEAT_11										ahɖaː										
MEAT_12													maːkɖu							
MOON_1	tinɡuʋa							unaːʋə												
MOON_2		pəɾi																		
MOON_3			ʈuːbe																	
MOON_4				ʤanɡo																
MOON_5					candɾa~ʧendɾa	ʧendɾa				ʧando		ʧendɾan				cantiɾan	ʧendɾuɖu		ʧendɾe	
MOON_6							nela	nelavə	nella							nila		nila		nilaʧi
MOON_7									sanɖamaːma											
MOON_8											lenʤu									
MOON_9													bilpdu							
MOON_10														nelinɡ	neliɲ					
MOUNTAIN_1	male											mala				malai				
MOUNTAIN_2		bəʈʈə			beʈʈa															
MOUNTAIN_3			maʃ																	
MOUNTAIN_4				meʈʈa					meʈʈa									tiʈʈə		
MOUNTAIN_5						kundə											konɖa			kundə
MOUNTAIN_6							danɖimeːʈ													
MOUNTAIN_7								ʋeːʈume				paɾʋatam					paɾʋatamu			
MOUNTAIN_8									ɡubal											
MOUNTAIN_9										paɾta										
MOUNTAIN_10													beːɖopahaːɖi							
MOUNTAIN_11														kappe						
MOUNTAIN_12																			daːɾi	
MOUTH_1	pe		baː															poːi		
MOUTH_2		baːjə			baːji	baːji		ʋaːji		baji		ʋaːja				ʋaːji			baːji	baːji
MOUTH_3				toɖɖi																
MOUTH_4							muːti				ɡuʈi									
MOUTH_5									pavuːɾ											
MOUTH_6													toɾo				noːɾu			
MOUTH_7														ʧaːlu						
MOUTH_8															vaːy	ʋaː				
NAME_1	esaɾə				hesaɾu															
NAME_2		pjaːɾə				peda	peːɾ	peːɾ	pedeɾ			peɾə			pidiɾ	peːɾə	peːɾu	peːɾ	pudaɾə	peːɾu
NAME_3			pin																	
NAME_4				poɾol																
NAME_5										naːme			naːmi							
NAME_6											doɾu									
NECK_1	katə							kaɖateːl				kaɻutə				kaɭuttə				
NECK_2		kpːmaːɭi				boːɭe														boːɭe
NECK_3			lex																	
NECK_4				ɡuɖunɡa	kuthiɡe															
NECK_5							mak													
NECK_6									meɖakaːja								meɖa			
NECK_7										kʰesiɾ										
NECK_8													asaɾdu							
NECK_9													ɖoːnɖo							
NECK_10														kanɖ						
NECK_11																		maɾ		
NECK_12																			kekkilə	
NEW_1	ostə																			
NEW_2		pəjjmən																		
NEW_3			puːskun																	
NEW_4				puna						puːna	puni		puːna		pun					
NEW_5					hosadu														posatta	
NEW_6						pudija		pudijadə				pudija				pudusə~pudu		puduːn		pudijai
NEW_7							kota		kottad								kotta			
NEW_8														nia						
NIGHT_1	iɾə															iɾaːʋə~ɾaːʋə				
NIGHT_2		ədlə																		
NIGHT_3			nam																	
NIGHT_4				naɾkaɖ																
NIGHT_5					ɾaːtɾi							ɾaːtɾi	ɾaːti			ɾaːtɾi	ɾaːtɾi		ɾaːtɾe	
NIGHT_6						bajiʈə														
NIGHT_7							siɾbedin													
NIGHT_8								eːlumaɾam												
NIGHT_9									mulipe											
NIGHT_10										maːha			maːaː							
NIGHT_11											laːn									
NIGHT_12																		ekkaːɖə		
NIGHT_13																				andi
NOSE_1	muːkə	muːkkə			muːɡə	muːkkə	muːkk	muːkə				muːkə				muːkə			muːɡu	muːkkə
NOSE_2			baːmus																	
NOSE_3				mosoɾ					mossoːɾ											
NOSE_4										muːji			musoː							
NOSE_5											munɡeli						mukku			
NOSE_6														munɡan	muvãɖ					
NOSE_7																		mittuːp		
NOT_1	kulle			helle	alla	ille		illa	ille			illa				ille				ille
NOT_2		ila~ala	aːxa																	
NOT_3			ne																	
NOT_4							kaːdu										kaːdu		aːtu	
NOT_5										mala			malaː							
NOT_6													hambija							
NOT_7																	leːdu			
