	№	English	Arabic (MSA)	Najdi (Riyadh)	Gulf (Emirati)	Levantine (Central/Syro-Lebanese)	Basra (Southern Iraq)	Iraqi (Southern Iraq/Baghdad)	Moslawi (Northern Iraq)	Sanaani (Sana'a)	Dhofari (Oman)	Cypriot (Kormakitis)	Egyptian (Lower Egyptian)	Sudanese (Khartoum)	Chadian (Western Sudanic)	Tunisian (Tunis)	Moroccan (Casablanca)	Moroccan (Northern pre-Hilalian)	Hassaniya (Mauritanian)	Maltese
1	81	leg	sāq, rijl (more foot)	rijil	rīl, krɑ̄ʕ (esp. animals)	ežr, režl		rejel, krɑ̄ʕ (animals), pɑ̄yɑ (objects)	ṣāq	riğl, sāg	sāq, rigl	ižr	regl	kurɑ̄ʕ, reğl	kurā, sag	ržil	ržəl		ṣāg (lower), gāyma (upper), krāʕ (foot or the whole limb)	riġel
2	82	knee	rukba	rikbah	ričba, rukba	rekbe		rukbɑ	ġəkbay	rukbih	rikba		rokba	rukba	rukba	rukba	rukbɑ		rŭkba	rkoppa
3	83	hand	yadd	kaff, īd, yəd	īd, yed	ʔīd		īd	īd	yad	yadd	it	ʔīd	yad, ʔīd-	id	yid	yədd		eyd	id
4	84	wing	janāħ	janāħ	janāħ	žēneħ		əjnɑ̄ħ	əjnâħ	ğanāħ			genāħ	ğɑnɑ̄ħ	jenāh	žnāħ	žənħ		žnāħ	ġewnaħ
5	85	belly	bɑṭɑn, miʕda (medical)	bɑṭn	karš, bɑṭen	bɑṭn, meʕde		bɑṭeṇ	bɑṭin, kiriš	bɑṭn, karš (more guts)	bɑṭɑn, qɑrš	pɑtn	bɑṭn, meʕda	bɑṭn, karš	beten	kirš	meʕda, bṭen, kərš		kirš (belly), žŏwf (stomach)	żaqq
6	86	guts	ʔamʕāʔ, ʔaħšāʔ, muṣrɑ̄n, mɑṣɑ̄rīn (plural)	məṣrɑ̄n	muṣrɑ̄n	mɑṣɑrīn		mṣɑ̄rīn, menbɑ̄ṛ (animals)	măṣīġīn	mɑṣɑ̄rīn, karš	mɑ̄ṣūr	psarín	ħaša, mɑsɑrīn	ʔamʕɑ̄ʔ, mɑṣɑrīn (more animals)	musurān	bzīz, mṣārīn	məṣrɑn		mṣɑ̄rīn	msaren
7	87	neck	ʕanq, raqaba	ʕelba	rguba	rɑʔbe		rugbɑ, ʕuneg	ġăqqabi	ragabih, rugbih	raqba, ħalq	raġbé	raʔaba	ragaba	regaba	raqbā, krūmā (more nape)	ʕənq		ragba	għonq
8	88	back	ð̣ahar, qufā	ð̣ɑhɑr	ð̣ɑher	dɑhr, ʔɑfɑ (more nape)		ð̣ɑhɑr, guf̣ɑ (abstract)	ð̣ɑheġ	gafā, ð̣ɑhr (more abstract)	ð̣ɑhɑr	ðɑxr	dɑhr	ḍɑhr	dahr	ð̣hɑr	ḍhər, llur		ð̣hər, gfa, llūrɑ (more behind)	dahar
9	89	breast	θadiy, nahad, ṣidr (more chest)	nəhad, ṣɑdur (also chest)	dēd, ṣɑder (also chest)	ṣedr (also chest), bezz (coarse)		dēs, θedɑ (more udder)	ṣɑdeġ	ð̣ɑrrih, ṣɑdr (more abstract), bizz (more udder)	θawīd, dīdaʕ (lactating)	ʔɑpp, pizz, suðr (more chest)	bezz, nehd (usu. young women), sedr (more chest)	ṣɑdr, nahad (young woman), šɑṭur (older woman)	dēd	bazzūla	bəzzulɑ		băzzūla	sider, żejża
10	90	heart	qɑlb, fuʔād (also liver; poetic)	gaḷb	gaḷb	ʔalb		gaḷuḅ, (ə)f̣f̣ɑ̄d, del (abstract)	ffɑ̄d, qălib	galb	qɑlb (human), gōf (animal)	kɑlp	ʔalb	galb	gelb	qalb	qəlb		gălb	qalb
11	91	liver	kabad, fuʔād (also heart; poetic)	t͡sab(ə)d ~ kab(ə)d	čab(ə)d	kebed		kabed, meʕlāg (more food)	kabad, mĕʕlāq lăħmɑġ	kabid	kibda	kaspé	kebd, kebda (more food)	kibdɑ	kebd	kibda	kəbdɑ		kăbda	fwied
12	92	to drink	šariba	šereb	šereb	šereb		šerab	šiġib	širib	šrāb	širep	šereb	šereb	šereb	šrab	šrəb		šrəb	xorob
13	93	to eat	ʔakala	akal	kal	ʔɑkɑl		īākūl	ʔăkal	(ʔa)kal	kil	kel	kal	ʔakal	akel	klā	kla		kāl (pr. tense yowkǝl)	kiel
14	94	to bite	ʕɑḍḍɑ	ʕɑð̣ð̣	ʕɑð̣ð̣	ʕɑḍḍ		ʕɑð̣ð̣	ʕăð̣ð̣	gaħaṣ, lɑgɑṣ (more from animals)	ʕɑð̣ð̣	ʕɑðð	ʕɑdd, ˀɑtɑm (more bite off)	ʕɑḍḍ, lɑgɑm	ʔadd	gdim	gdəm, ʕəḍḍ		ʕăð̣ð̣	gidem
15	95	to suck	mɑṣṣ, rɑḍiʕa (more suckle)	mɑṣṣ	mɑṣṣ	mɑṣṣ, mɑʔʔ		mɑṣmɑṣ, mɑṣṣ	mɑṣ	mɑṣmɑṣ, mɑṣṣ	rð̣āʕ	ðirʕé, mɑss	mɑṣṣ	mɑṣṣ	mass, radī (more suckle)	rð̣aʕ	məṣṣ		măṣṣ, rð̣aʕ (suckle)	seff, reda'
16	96	to spit	baṣɑqa		tefal, bezag	bɑzɑʔ		tefal, taffal	tafal	dafal, bazag (for qat)	bzāq	pizek	taff	bazag	bazaġ	bzaq	bzəq		tfəl, dvǝl, băẓẓag (noisily)	beżaq
17	97	to vomit	qɑ̄ʔɑ, taqayyaʔa, istafrɑġa		zɑ̄ʕ	nɑṭɑʔ, ražʕɑ		zɑwwɑʕ, tqɑyyɑ	ˀəstənfăʕ, zɑwwɑʕ, tqɑyyɑ	ṭɑrɑš, gað̣ɑf	radd, zɑʕ	ražžʕé, staffʕé	raggaʕ, ṭɑrreš (coarse)	gidif, istɑfrɑġ	dafag	rad	gəll, rədd, ruwwəʕ		gðǝf, rŭdd	qala'
18	98	to blow (as wind)	tanassama, habba, nafaxɑ	habb, nufax	nefax, haff	ṭeleʕ, nɑfɑx		habb, nufax	nafax	nafax	nafax	nafax	nafax, nassem (breeze)	nɑfɑx, habb	nafax	nfax	ṣɑṭ		nvăx	nefaħ
19	99	to breathe	tanaffasa, tanassama	nafas, tnaffas	tnaffas	tnɑffɑs		tnaffas	tnăffas, jăġ năfăs	tnaffas	nīsam, tnaffas		etnaffes	tenaffas	tenaffas	tnaffis	tnəffəs, ṭəllaʕ nnəfəs		tnăffas	ħa n-nifs
0	100	to laugh	ḍɑħika	ð̣aħt͡s ~ ð̣aħak	ð̣eħač	ḍɑħɑk		ð̣eħak, kɑrkɑr (noisily)	ð̣iħik	ð̣iħik, tikaʕkaʕ (nosily)	ð̣ħāk, kɑrkɑr	taxak	daħak (also smile), karkaʕ (burst out laughing)	daħik	dehek	ð̣ħak	ḍħak, kakɑ		ð̣ħăk	daħaq, daħak
1	101	to see	rɑʔā, bɑṣirɑ	šāf	čɑ̄f	šāf		šɑ̄f	ġišiʕ	ʔibsɑr	šāf, ħāli	kišʕé, ra	šāf	nɑẓɑr, šɑ̄f	šāf	šāf, rā	šaf		šāv, ṛāʕi v-	ra
2	102	to hear	samiʕa	samiʕ	semaʕ	sɑmɑʕ		semaʕ	simiʕ	simiʕ	smāʕ	simʕé	semeʕ	semeʕ	semī	smaʕ	sməʕ		smăʕ	sema'
3	103	to know (a fact)	darɑ (facts), ʕalima (aware), ʕarifa (people)	dara (facts), xabar (aware), ʕarif (people)	derɑ (facts), ʕerɑf (people, skills)	ʕaref ~ ʕeref, deri (aware)		derɑ (facts), šeʕɑr (events, aware; also feel), ʕerɑf (people, skills, events)	ʕiġif	deri (facts), ħafɑð̣ (languages, skills; also memorize, guard), ʕirif, ʕilim (people, events, facts)	dirā (facts), ʕrɑ̄f (people)	ʕiref	ʕeref	xeber (aware), ʕirif	ʔaref	ʕraf	ʕrəf		ʕrɑf	jaf
4	104	to think	ħasiba, ʔiʕtaqɑda (more suppose), fakkara, ð̣ɑnna (suppose)	feker, haga (opinion), ð̣ɑnn (more presume)	fakkir, ð̣ɑnn (more presume)	fakker, ʕtɑʔɑd (more consider)		ʕteqɑd (also presume), fakker, ṣufan, tfɑṭṭan (more recall), ð̣ɑnn (more presume)	fakkar	fakkar, ð̣ɑnn (more presume)	gaʕan, fakkar, qatt (more presume)	ftaen-, enómiza-	fɑkkɑr, ẓɑnn (more presume)	iftɑkɑr, ẓɑnn (more presume)	dɑnn, feker	xamməm, fakkir	nuɑ, xəmməm, fbal-		txămməm, stăʕql	ħaseb
5	105	to smell (sense odor)	šamma	šamm	šamm	šamm		š(t)amm	š(t)amm	š(t)amm	šamm	šamm	šamm	šamm, kɑrɑf	šemm	šam	šamm		šəmm	xamm
6	106	to fear	xāfa, rihaba, fazaʕa	xɑ̄f, ðall (show fear)	xɑ̄f	xāf		xɑ̄f, rtehab	xɑ̄f	xɑ̄f	fizaʕ, ftaðar	fizʕé	xāf	xɑ̄f	xāf	xāf	xaf		xāv	beża'
7	107	to sleep	nāma, raqɑda	nām	ragad, nɑ̄m	nām		nɑ̄m	nɑ̄m	ragad	nām	nam	nām	nɑ̄m	reged, nām	rqad	nʕas		rgǝd	raqad
8	108	to live	ʕāša, ħiya (come to life), sakana (reside)	ʕāš	ʕāš	ʕāš		ʕɑ̄š	ʕɑ̄š	ʕāš, ʕammir, sakan (more reside)	ʕāš, bāt	ʕaš	ʕāš	ʕɑ̄š	ʔāš	ʕāš	ħyɑ, ʕaš		ʕāš, ħya (survive)	għex
9	109	to die	māta	māt	mɑ̄t	māt		mɑ̄t	mɑ̄t	mɑ̄t	māt, fhāṭ	mat	māt	mɑ̄t	māt	māt	mat		māt, twăffa, rtħam	miet
10	110	to kill	qɑtala, ðabaħa (sacrificial kill)	ketal, ðebaħ	getal, ðebaħ, mawwat	ʔɑtɑl		ketal, qerɑð̣	qătal	gatal	qtāl	maet	ʔatal, mawwet	katal	katal	qtal	qtal		ktǝl	qatel
11	111	to fight	ħāriba, qɑ̄tala	tahāwɑš, ħɑ̄rab	hɑ̄wɑš, ħɑ̄rab	xēniʔ		tḅɑ̄ṣaṭ, tmɑ̄lax, tʕɑ̄rek	tqɑ̄tal	lābağ, tgātal	qɑ̄ṭaʕ, tqɑ̄tel	starrˁé, ðarep	etʕārek, etxāneˀ (more quarrel)	ħārab, xānag	dāwas, jāhad (more struggle)	tʕārik	ddabəz		ddāyǝg, tʕārək	iġġieled
12	112	to hunt (transitive)	ṣɑ̄da, qinɑṣ (snipe)	ganɑṣ, ṣɑyyəd	genɑṣ	ṣṭɑ̄ḍ		ṣɑ̄d	ṣɑ̄d	gɑnɑṣ	ṣɑ̄d		esṭɑ̄d	isṭɑ̄ḍ (with arms), ginɑṣ (with dogs)	sɑ̄d, ganas	ʔisṭād	ṣiyyəd		ṣɑyyɑd, drăs ('go' hunting)	ikkaċċja
13	113	to hit	ḍɑraba	ṭɑgg, ðɑrɑb	ṭɑgg, ðerɑb	dɑrɑb		ðurɑb, buṣɑṭ (also beat up), lečam, haff (quickly)	ðăġăb	labağ	ð̣ɑrɑb	takk	dɑrɑb, xɑbɑt	ṣɑ̄b, ḍɑrɑb	degg, katal (more kill)	ð̣rab	ḍrəb		xbaṭ, băṭṭ (beat up)	laqat, darab, ta daqqa
14	114	to cut	qɑṭaʕa (more cut off), qɑṣṣ (more clip)	gɑṭaʕ	geṭaʕ	ʔɑṣṣ		gaṣṣ	qɑṣṣ	gaṣṣ, falag (wood)	qɑṣṣ, šxāṭ	katʕā	ʔɑtɑʕ	gɑṭɑʕ	gatā	qaṣ	qṭəʕ		gṭăʕ	qata'
15	115	to split	qasama, šaqqa	šeṭɑb, gassam	gesam	šaʔʔ		fajj, felaq	qaṣṣam, făššăq, fɑṣăl	falaʕ, bakkaʕ	šṭɑ̄r	šakk	šaʔʔ, ʔassem	šagg, felax	gesem, šagg	šaqq	qṣem, fəlləħ		fgăs	qasam
16	116	to stab (or stick)	ṭɑʕana	ṭɑʕən	ṭeʕan	dɑrɑb-sekkīn, ṭɑʕɑn		ṭeʕan	ṭɑʕan	ṭɑʕɑn			ṭɑʕɑn	ṭɑʕɑn	taʔan	dġar	tʕaz		dăgg	nifed, daqq b'sikkina
17	117	to scratch (an itch)	xadaša, xamaša, ħakka (more scrape)	ħakk	ħačč, xammaš	xadaš		jelax, xarmaš	ħăkk, xadaš	ħakk, baxaš	šarxam	xakk	xarbeš, hɑrɑš (only for itches)	ħakk, xarmaš (coarse)	naxaš	xabbiš, ħakk	xəbbəš, sərr		xmŭš	ħakk
18	118	to dig	ħafarɑ	ħafɑr	ħefɑr	ħɑfɑr		ħufɑr, nebaš	ħăfăġ	ħafɑr	ħfɑ̄r	xiver	ħɑfɑr	ħɑfɑr	hafer	ħfar	ħfer		žhăr	ħaffer
19	119	to swim	sabaħa, ʕām (also float)	sebeħ	ʕām	sebeħ		sebaħ, fɑ̄j	sibiħ	sabaħ, ʕām (more float)	sbāħ, ʕām	tăʕássel, kalimpa	ʕām	ʕām	ʔarrad fi l-alme	ʕām	ʕam		ʕām	għam
0	120	to fly	ṭɑ̄ra	ṭār	ṭɑ̄r	ṭɑ̄r		ṭɑ̄r	ṭɑġ	ṭɑ̄r	ṭār		ṭɑ̄r	ṭɑ̄r	tār	tɑ̄r	ṭɑr		ṭɑ̄r	tar
1	121	to walk	mašā	meša	mešɑ, ṣɑ̄r	meši		jɑ̄ pyɑ̄da, meša (more leave, move), geħaf	məši	xeṭi	mšā, tmaxṭar	miše(k)	xadha maši, meši (more leave)	maša	sār, maša (more go)	mšā	ṣɑr, tməššɑ (more take a walk)		twāṭa, gowṭaṛ	mexa
2	122	to come	ʔatā, jāʔa	ja	yɑ	ežɑ		ʔjɑ̄	jī	ğēʔ	gā	ža	ge(h)	ğa	jā	žā	ža		ža	ġie
3	123	to lie (as on one's side)	istalqɑ̄, raqɑda, tamaddada (recline), atkaʔa (recline, lean)	ənjedeʕ	nṭerɑħ	tṣɑṭṭɑħ, tlaʔʔaħ		njeṭɑl, nbuṭɑħ (more sprawl)	tmaddăd	mtadd, tké	mtadd, tkā	nnaym	etmadded, etsɑlṭɑħ	rɑgɑd, inbɑṭɑħ	reged, takka (also lean)	tmad	tmədd, təkkɑ (more lean)		tkɑ, tmadda	mtedd
4	124	to sit	jalasa, qaʕada	gaʕad	yelas, geʕad	ʔɑʕɑd		geʕad	nĕbĕṡ, bəčex (coarse)	gambar, ğalas	glās, stawqaʕ	kaʕa	aʕad	gaʕad, kannab	gaʔad	qʕad	gləs		gʕăd	qagħad (bilqiegħda), poġġa (bilqiegħda)
5	125	to stand	qɑ̄ma, waqɑfa	wagf, gām	wugaf, fazz	wɑʔɑf		wugaf	wiqif	sannab, wigif	wqāf	ekef	weʔef	wagaf	wigif	wqif	wqəf		ūgəv	qagħad bilwieqfa
6	126	to turn (change direction)	dārɑ, ʔanāba	dɑ̄r	laff	berem, dɑ̄r		ʕekaf, (n)dɑ̄r	ndɑ̄ġ	ʕɑṣɑr, dawwɑr, laff	liff	tɑr	laff	dawwɑr, itlafat	kanjar	dār	dɑr		sădd, glăb	dar
7	127	to fall (as in drop)	saqɑta, waqɑʕa	ṭɑ̄ħ	ṭɑ̄ħ, wugaʕ	wɑʔɑʕ, ʔɑšɑṭ		wugaʕ	šăqləb	nikiʕ, nɑṭɑl, ṭɑ̄ħ	ṭɑ̄ħ, sqɑ̄ṭ	vɑkʕɑ	weʔeʕ	wagaʕ	wagā, daffag	ṭāħ	ṭɑħ		ṭɑ̄ħ	waqa'
8	128	to give	ʔaʕṭɑ̄	ʕəṭɑ	ʕeṭɑ	ʕɑṭɑ̄		neṭɑ	ʕăṭɑ̄	ʔidda	ʕṭɑ̄	tɑ	edda	adda	ʔanta	ʕṭā	ʕṭɑ, (m)əddɑ		ʕṭɑ	ta
9	129	to hold (in one's hand)	ʔaxaða, masika	gabɑð̣, mesak	jawwad, lezam	kamaš		lezam	misik	šibiħ, lazam	masak, qbāð̣ (more catch)	pisék	mesek	misik	karab	šad	rfəd		krǝd, ħkam	żamm, ħa (more to take)
10	130	to squeeze	ʕaṣɑrɑ, ḍɑġaṭɑ (compress)		ʕeṣɑr	ʕɑṣɑr, šadd		ʕeṣɑr, jeʕaṣ	ʕăṣăġ	falħaṣ, ð̣ɑġɑṭ		palas, ˁiser	ʕɑṣɑr	ʕɑṣɑr	hakk	ʕṣar	ʕṣɑr		ʕṣər	għafas, rass, għasar
11	131	to rub	ħaffa, faraka, dalaka (more massage), ħakka (more scrape)	ħakkak	ʕerak, ferak	fɑrɑk		furɑk, delak	ħăkk, făġăk	farak	ʕrāk, dukk	xaff, maˁak	daʕak, farak	ʕɑṣṣɑr	farak, hakk (more squeeze)	ħak	frək		ħăkk, ʕrăk	għorok
12	132	to wash	ġasala	ġasəl	ġesal	ġassel		ġesal	ġasal	ġasal	ġsāl	ʕássel	ġasal	ġassal	xasal	ġsal	ġsal		ġsǝl, qsǝl, ṣgǝl	ħasel
13	133	to wipe	maħā, masaħa		mašš	mɑsɑħ		mesaħ, mašš		misiħ	(ə)mħi	massex	masaħ	masaħ	gašš	msaħ	msəħ, zuwwəl (with cloth)		zăyyɑf (with cloth), msăħ (also rub out)	mesaħ
14	134	to pull	jarra, saħaba, jabaða (more draw i.e. a weapon)	jarr, saħab	tall, seħab	sadd, saħab		jaṛṛ	šəħšăṭ	šadd	sadd, saħab	žarr	šadd	ğɑrr, šadd	jarr	žbid	žbad		ănṭăr	ġibed
15	135	to push	dafaʕa	dazz	defaʕ	dafaš		defaʕ, darfaʕ, deʕač	dăfăʕ	dahaf	kadaš, zafar	tafaš	zaʔʔ	dɑfɑr, lezz	lazza, gamma	daz	dfəʕ, dərr		rvaʕ, ʕžǝn, dăkmɑr	imbotta, deffes
16	136	to throw	ramā, ʔalqɑ̄	ħaðaf, ṭɑšš (more throw away)	ðabb, ħeðaf	šalaħ, zatt, kabb (more throw away)		šemɑr, ðabb (also throw away)	ħəšăl, ṭerr, zett	ramā, ðabal, rāğam (more for stones)	ramā, ʕqār, lwāħ	šalax, rma (more throw away)	ħedef, rama (more throw away)	ğadaʕ, rama	rama, xatt (more throw in)	šayyaʕ, lwaħ	laħ, siyyəb		lāħ, zrăg (more throw away)	tefa', xeħet, rema (to throw away)
17	137	to tie	rɑbɑṭɑ	rabṭ	ribɑṭ, šebač	rɑbɑt		ʕegad, šadd	rəbɑṭ, ʕăqăd	rɑbɑṭ, šadd	rawaṭ, ħzām	rɑpɑt	rɑbɑṭ	ṛɑbɑṭ	rebet, šadd	rbɑṭ	rbɑṭ, ʕqɑd		ħzǝm, ʕgad	rabat
18	138	to sew	qɑṭɑba, xɑ̄ṭa	xɑ̄ṭ	šall, xɑ̄ṭ	xɑyyet		xɑyyɑṭ	xăyyiṭ	xɑyyɑṭ, šall	xēṭ	šall	xɑyyɑṭ	xɑyyɑṭ	xayyat	xɑyyiṭ	xəyyəṭ		šəll, xăyyɑṭ (more make clothes)	ħiet
19	139	to count	ʕadda, ħasiba (more think), ʔaħṣɑ̄ (compute)	ʕadd, ħasab	ʕadd, ħeṣɑ	ʕadd		ħesab, ʕadd (more reckon)	ħasab, ʕădd	ʕadd, ħasab	ħsāb	ʕadd	ʕadd	ʕadd, ħasab	hasab	ħsib	ħsəb		ħsǝb, ʕədd	għadd
0	140	to say	qɑ̄la	gāl	gāl	ʔēl		gɑ̄l	qɑ̄l	gāl	qāl	kal	ʔāl	gɑ̄l	gāl	qāl	gal, duɑ		gāl	qal
1	141	to sing	ġanna, našada (sing praise)	ġanna	qanna ~ ġanna	ġanna		ġanna	ġannɑ	ġanna, šadɑ, našad	ġinnā	ʕanna	ġanna	ġanna	xanna	ġannā	ġənnɑ		ġănna, škur (also praise)	għanna, kanta
2	142	to play	laʕiba	leʕeb	leʕab	leʕeb		leʕab	liʕib	liʕib	lʕāb, zarr	leʕep	leʕeb	laʕab	leʔeb	lʕab	lʕab		nzǝl, lʕǝb	lagħab
3	143	to float	ṭɑfā, ʕām (also swim)		ṭɑ̄f, ʕām	fēš		ṭufɑ, sɑyyɑs (moving)	ṭăfā	ʕām	ʕām		ʕām	ʕām	ʔām, ʔarrad fi rās l-alme	ʕām	ʕam		ʕām	għam fil-wiċċ, żamm fil-wiċċ
4	144	to flow	sāla, jarɑ̄	jərɑ, sāl	jerɑ, sāl	žɑrɑ̄, sēl		sāħ, jerɑ	jăġā	ğɑrɑ, sāl	(ə)šʕi		geri	ğara	jara	žrā	sal, nəbbaʕ		sāl	ġera
5	145	to freeze	ajlada, jammada, θallaja		jemad, θallaj, fɑrraz	sɑʔɑʕ, žallad		jemad, θelaj	jimid	θallağ, ğimid, farrɑz			fɑrrɑz, talleg	ğamad, fɑrrɑz	jamad	žmid	žməd, ttəlləž		glaṣ, žmăd	għaqad, inġazza, iffriża
6	146	to swell	intafaxa, warima		ntefax	warem		gabgab, wurɑm	wiġim	šabağ, ntefax	ntafax	virem	werem, taffax	wirim, innafax	nnafax	tinfax	ttənfəx		ntfax, ūrăm	ntefaħ
7	147	sun	šams	šams	šams	šams		šames	šamis	šams	šims	šimps	šams	šams	šams, harrāya	samš, šams	šəmš		šams	xemx
8	148	moon	qɑmɑr	gumɑr ~ gemar	gumɑr	ʔɑmɑr		gumɑr	qămăġ	gamɑr	qmār	kamar	ʔɑmɑr	gɑmɑr	gamar, šahar	gamra	qəmr		qămăṛ, gamṛa (bright enough to give light)	qamar
9	149	star	najm, kawkab (more planet)	najem	nī(y)ma	nažme		najma, najem	năjmi	kawkab, nağm	nigma	nažmé	negma	nağma	nejma	nižma	nəžmɑ		năžma	kewkba, stilla
10	150	water	māʔ, miyāh	mā, mōya	mɑ̄y	mɑyy		ṃɑ̄y	mɑ̄y	mēʔ	māy, mī	moe	mɑyyɑ	mōya, elmī	alme, mōya	mā	ma		ălma	ilma
11	151	rain	mɑṭɑr	muṭɑr	muṭɑr	šeti, šitē		muṭɑr	mɑṭɑġ	maṭɑr	mɑṭɑr, raħma, rɑðɑ̄ð (heavy), naff (light)	šité	mɑtɑr, šeta	mɑṭɑr	matar, alme	štā	štɑ		ăsħāb	xita
12	152	river	nahr	šɑṭṭ	nɑhɑr, sɑ̄b (small)	nɑhr		šɑṭṭ, nahar	šɑṭṭ	nahr	nɑhɑ̄r, sāqiya (more brook)	paθpun	nɑhr	baħr, gēf	bahar, batah (temporary/small river)	wād	wad		bħɑr (also sea), năhăr	xmara
13	153	lake	buħayra, birka (more pond), ġadīr (more pool)	birka, ġadīr (more pond)	berča (also pond)	bħeyrɑ		buħayṛɑ	bŭħăyṛɑ	ġadīr (more pond), buħayreh	gābiya (also trough, pond)	ʕɑyn-purke	berka, boħēra	mōya, berka	bahar	sabxa	ḍayɑ		bħayrɑ	għadira
14	154	sea (as in ocean)	yamm, baħr	baħar	baħar	bɑħr		bɑħɑr	bɑħiġ	baħr	baħr, ðarbe (stormy), kazzī (rough), qɑlħɑ (calm, flat)	paxr	bɑħr	baħr (elmāliħ)	bahar el māleh	bħar	bħɑr		bħɑr	baħar
15	155	salt	milħ	melħ	melħ	malħ		meleħ	miliħ	milħ	milħ	milx	malħ	milħ	melh	milħ	məlħ		məlħ	melħ
16	156	stone	ħajɑrɑ, ṣɑxɑr	ħajɑr, ṣəḷbūx (more pebble), rð̣umah	ħiyɑr	ħɑžrɑ		ħjɑ̄ṛa, ṣaḷbūx (more pebbe), ṣɑxrɑ	ħăjɑġ	ħiğɑ̄rɑh, miğʕār, ṣɑxr	dilf, ħagāra	xažra	ṭūbɑ, ħɑgɑrɑ	ħɑğɑr	hajarāy	ħɑžrɑ	ħəžra, kurd		ħăžra	ġebla, ħaġra
17	157	sand	raml	ṛɑməl	ṛɑmel	rɑml		rɑmuḷ	ġɑməl	nays, rɑml	bɑṭɑħ, rɑmɑl		rɑmlɑ	rɑmlɑ	ramla	rmal	rəmlɑ		trāb, ləħaṣ	ramel
18	158	dust	ġubɑ̄r, turɑ̄b	ʕɑjɑ̄j, ġbɑ̄r	ʕɑỵɑ̄y, ġbɑ̄r, ṭōz (also dust storm)	ġɑbrɑ		ʕɑjɑ̄j, ṭōz	ṭăwz	ʕağāğ, ġbɑ̄r	ġubār, ṣqārīt	trap	ʕofɑ̄rɑ, torɑ̄b	ʕağāğ, turɑ̄b, ġobār	turāb, ʔojāj	ġabra	ġobrɑ		qăbṛa, ġabṛa	trab, għabra
19	159	earth (as in soil)	ʔarḍ, θarɑ̄, ṭīn (more clay)	ɑrð̣	ɑrð̣, ʕɑ̄fūr (also dust)	trɑ̄b, ʔɑreḍ		trɑ̄b, gāʕ (more ground)	ṭəġāb	turbah, ğirbah (unfertile), gāʕ (more ground)	ṭīn, lqāʕ (more ground)	ɑrt	ʔɑrd, ratš (stony soil), torɑ̄b (more dust)	wɑṭɑ, ɑrḍ, turɑ̄b	ard, turāb	ʔɑrð̣, trɑ̄b	arəḍ		ătrāb (also sand), ṭīn (clay)	art, ħamrija
0	160	cloud	saħāba, ġamāma, ġɑym (more rain cloud)	saħābah, ġēm (usu. rain clouds)	saħāb, ġēm (usu. rain clouds)	ġeyme ~ ġēma		ġìema	ġīm	saħāb, ġamām	ġēm, natal (more rain cloud)	ʕayára	saħāba, ġēma (usu. rain cloud)	ġēm, ġamām	sahābāy	sħāb	sħaba, ġmama (usu. rain cloud)		məzna, noww (rain clouds)	sħaba
1	161	fog	ḍɑbāb	ġammah, ð̣ɑbāb	ṭɑḷḷ, ð̣ɑbɑ̄b	ġṭayṭɑ, ḍɑbɑ̄b		ð̣uḅɑ̄ḅ	ð̣bāb	ð̣ɑbāb, ħiğāb	ġɑllēt, ð̣bāb		šɑbbūrɑ, ḍɑbɑ̄bɑ	ḍɑbɑ̄b	xamām, dubāb	ḍbāb	ḍbab		teleṃayt, (l)ġmām	ċpar
2	162	sky	samāʔ	sema	sama	samɑ, žow (more weather)		sema, denyɑ (more atmosphere)	sama	samēʔ	smā	sama	sama, denya (more world)	sama	sama	smā	smɑ		sma	sema
3	163	wind (as in breeze)	rīħ, hawāʔ (air)	rīħ	hbūb, rīħ (wind gust), šɑmɑ̄l (northerly), šɑ̄mi (from the northwest), tɑ̄res (strong)	hɑwɑ		hɑwɑ, nesīm (more breeze)	ġīħ	rīħ, hawa	habu	xava	hawa	rīħ	rīh	rīḥ	riħ		rīħ, aryāħ	riħ
4	164	snow	θalj		θalj	talž, žlīd		θalej	θalij	θalğ			talg	telğ	talj	θilž	təlž		(dgīg) glāṣ	borra
5	165	ice	jalīd, θalj (more snow)	θalj	θalj	talž		θalej	θalij, jălīd, māy jīməd	θalğ	falg		talg, galīd	telğ, ğamad	jamad, alme jamad	θilž	təlž		glāṣ	silġ
6	166	smoke	duxxān	dəxxɑ̄n	dexxɑ̄n	doxxān		duxxɑ̄n	dixxān	duxxān	duxxān, duxxīn, ħaylūq	tixxán	doxxān	duxxān	duxxān	duxxān	duxxan		dəxxān	duħħan
7	167	fire	nār, ħarīq (blaze)	ð̣ɑẉ, nār	ð̣ɑẉ (also light), ħarīja (blaze), nār	nɑ̄r, ħarīʔ (blaze)		ṇār, ħarīq, ħarīg (blaze)	nɑ̄ġ	nār, ħarīg (blaze)	nār, ħarīq (blaze), sargīga (large), mahgīga, madhīra (very large)	okít	nɑ̄r, ħarīʔa (blaze)	nɑ̄r	nār	nɑ̄r	ʕafyɑ, ħriqɑ (blaze)		nɑ̄r	nar
8	168	ash	rɑmād	remɑ̄d	rmɑ̄d	rimēd		rṃɑ̄d	ġɑmɑ̄d	rɑmād	rīd	rmat	rɑmɑ̄d	ṛɑmɑ̄ḍ	rumād	rmād	rmɑḍ		rmɑ̄d	rmied
