Gloss	Central Pomo	Central Yana	Chimariko	Cocopa	Eastern Pomo	Highland Chontal	Ipai	Karok	Kashaya	Mohave	Northeastern Pomo	Northern Pomo	Northern Yana	Seri	Shasta	Southeastern Pomo	Southern Pomo	Tipai	Yahi	Yavapai
NECK_2			hikːi								huʔkʼa									
NECK_3				mpuk			iːpuk~əjəpuk											iːpuk		
NECK_4					qʼoj											qʼoj				
NECK_5						ɬahokʼ														
NECK_6								βuːp						jaːp						
NECK_7										maʎaqe										mlqi
NECK_8												kʰu			ʔikʼːuk					
NECK_9													tulla						tulla	
NEW_1	ʃwej				ʃiːwej				ʃiwej		ʃewej	ʃiwej					ʃeːwej			
NEW_2			amani~amanit																	
NEW_3				xaɲ																
NEW_4						ʔaʦʼe														
NEW_5							wəxaj													
NEW_6								piːt												
NEW_7										mapiːθ										
NEW_8														kmaːkiːʔ						
NEW_9																qe				
NEW_10																				iβmu
NIGHT_1	ʔaːwe		himːi~himːe													ʔewe				
NIGHT_2		pasiːjauna											pasiːjauna						pahsi	
NIGHT_3				ʧɲam						tiːɲam								t̪iːɲam		
NIGHT_4					duːwe				duwe		duwe	diwe					duːwe			
NIGHT_5						libuɡiʔ														
NIGHT_6							kuxun													
NIGHT_7								ikxaɾam												
NIGHT_8														iʔamok						
NIGHT_9															ʔapxaː					hipa
NOSE_1	la								ʔila			la				la				
NOSE_2			hoχu	ʔixu			əxuː			iːhu								xu		huː
NOSE_3					laboːbo															
NOSE_4						ɬaʔnaɬ									ʔeːr					
NOSE_5								jufiβ												
NOSE_6											limo									
NOSE_7													liːlimauna						niːnimauna	
NOSE_8														iːɸ						
NOSE_9																	hiːlamʔda			
NOT_1	ʧʰow																			
NOT_2		kʰuː										kʼo	kʰuː						kʰuː	
NOT_3			xna																	
NOT_4				lum																
NOT_5					kʰuj															
NOT_6						ʔaj														
NOT_7							umaːw											xəmaːw		
NOT_8								pu												
NOT_9									t̪ʰin											
NOT_10										mot										
NOT_11											ʧʰoːt̪on									
NOT_12														m	maː					
NOT_13																da				
NOT_14																	t̪ʰot̪ʰ			
NOT_15																				ʔumi
ONE_1	tʼaːtʼo													taʃo						
ONE_2		paiku											paiku						paiku	
ONE_3			pʼun																	
ONE_4				ʃit						ʔasentk								ʃin		ʔsiti~ʔsiti
ONE_5					kʼali															
ONE_6						ʔanuli														
ONE_7							ʔəxin̪k													
ONE_8								jiθa												
ONE_9									hku											
ONE_10											ʧʼaːki	ʧʼaː					ʧʼaːʔa			
ONE_11															ʧʼeːʔaʔ					
ONE_12																dan				
PERSON_1	ʧaːʧʼ								ʔaʧaːʧ			ʧaʔ								
PERSON_2		jaːna											jaːna						jaːxi	
PERSON_3			ʦʼʲimar~tʼʲimar					aɾaːɾ												
PERSON_4				ʧapaj			ʔiːpaj											t̪iːpaj		
PERSON_5					kaːwkʰ															
PERSON_6						ɡalʃans~ɡalʃans														
PERSON_7										piʔpa~piʔipa~piːpa										ʔpa~ʔpa
PERSON_8											t̪aːt̪kaː									
PERSON_9														ʃiːχkiːsaχ						
PERSON_10															ʔis					
PERSON_11																ʔumt̪iwi				
PERSON_12																	ʔahʧahʧej			
RAIN (PRECIPITATION)_1	ʧʰe				kʰiːkeː				ʔihʧʰe							sʦʼen	ʧehʧʰe			
RAIN (PRECIPITATION)_2		pareːkʼu											parikʼu						parikʼu	
RAIN (PRECIPITATION)_3			hitakʰta																	
RAIN (PRECIPITATION)_4				pʔaj																
RAIN (PRECIPITATION)_5						ɬaɡwi														
RAIN (PRECIPITATION)_6							ʔəkʷij											kʷiː		
RAIN (PRECIPITATION)_7								paθɾih												
RAIN (PRECIPITATION)_8										kuvʔaw~kuvʔaw										kiβawa~kiβawa
RAIN (PRECIPITATION)_9											ʃiʔt̪ʼoːn									
RAIN (PRECIPITATION)_10												biʃemaː								
RAIN (PRECIPITATION)_11														ipka						
RAIN (PRECIPITATION)_12															ʔistukʼ					
RED_1	tʼas																			
RED_2		pawatʔku																		
RED_3			jeʦχol~jaʦχol			ʔunʃali														
RED_4				xʷat			ʔəxʷat											xʷat		
RED_5					qʼedaqʼedakʰ															
RED_6								aːxkuniʃ												
RED_7									kʼiːs											
RED_8										ʔahʷatm~ʔahʷaːtm					ʔeʔextiʔ					ʔhʷati
RED_9											ʧʼabaran									
RED_10												t̪ʼaʦʼ								
RED_11													tawatʔsa						tawatʔsa	
RED_12														kʔɛːɬ			hatʼːa			
RED_13																t̪ʼant̪ʼan				
ROAD_1	da										da	da				dawa				
ROAD_2		hiːja											hiːja						hiːja	
ROAD_3			hisːa						hiʔda					ʔaːʔo	ʔiʧːaː		hiʔda			
ROAD_4				waɲa			ʔuːnʲaː											waʔɲa		ʔɲa
ROAD_5					dadaj															
ROAD_6						lane														
ROAD_7								impaːh												
ROAD_8										ʔavʔuɲe										
ROOT_1	saːma			ʃma			pəxəmaː			sama~ʔiʧsama						suma				
ROOT_2			ʔaʧi																	
ROOT_3					ʦʰiʦʰ															
ROOT_4						lime														
ROOT_5								eːpuːm												
ROOT_6									ʔihqʰot											
ROOT_7												jem								
ROOT_8														iχaːi						
ROOT_9															ʔaraːʔiʔ					
ROOT_10																	suːlen			
ROOT_11																		waxənu		
ROOT_12																				ʔʔimsma
ROUND_1	ʃbokʼ																			
ROUND_2			nolːe																	
ROUND_3						ʔaʃpejjuɡi														
ROUND_4								uɾuh												
ROUND_5									poloːlo											
ROUND_6											mukaːkan									
ROUND_7												ʧʼadol	heːʦil							
ROUND_8															ʔikʼankʼan	bunbun				
ROUND_9																	lupːu			
SALT_1			akʼi																	
SALT_2				ʂʔiɾ																
SALT_3					kʰeːʔeː						ʧʰeʔeː	ʃeʔeː								
SALT_4						ɬoʔwe														
SALT_5							ʔəsilʲ											saːl		
SALT_6								jufiʃ												
SALT_7									taʔqʼo								taʔkʼo			
SALT_8										ʔaθʔiː										ʔθi
SALT_9													wiːʦʰu							
SALT_10														ʔantip						
SALT_11															ʔaːtax					
SAND_1	mʦatʼ											miʧatʼ								
SAND_2			ʔamajaqʰa																	
SAND_3				matʎ̥ʃʔaː																
SAND_4					tʰaːʔaː															
SAND_5						ɬibimaʦʼ														
SAND_6							məsxaɹaːj			ʔamatsaʎʔaj~saʎʔaj										
SAND_7								juːx												
SAND_8									mitaʧ							mat̪ak	miːtaj			
SAND_9											hino									
SAND_10													kʰuiʔjauna							
SAND_11														ʔamt						
SAND_12															tʼaʦːu					
SAND_13																				ʔhaʧwa
SAY_1	mi																			
SAY_2		tʰiː											tʰiː						tʰiː	
SAY_3			hekʼo																	
SAY_4				ʔi														ʔi~i		ʔi
SAY_5					n̥iː												ʧahnu			
SAY_6						dimiʔma														
SAY_7							wiː				weːn									
SAY_8								piːp												
SAY_9									nihʧe					tɛːkɛ						
SAY_10										im										
SAY_11												heʔ								
SAY_12															kʼwisːik					
SAY_13																muwat̪a				
SEE_1	pʰwi																			
SEE_2		tiwai											tiwai						tawai	
SEE_3			himamta																	
SEE_4				wiː																
SEE_5					kaːr															
SEE_6						diʃimʔma														
SEE_7							əwuːw											wiːw		
SEE_8								mah												
SEE_9									ʧad		t̪aːn	ʧadi					ʧaːd			
SEE_10										ijuːk										
SEE_11														kiʔo						
SEE_12															kwimːik					
SEE_13																mqo				
SEE_14																				ʔu
SEED_1	semija								semiːja							semeja	simiːja			
SEED_2				jas																jaʧ
SEED_3					qaːsoj							soː								
SEED_4						ɡalfanuʔ														
SEED_5							əjaʧ			iðiːʧ										
SEED_6								uhiʃ												
SEED_7														iʔik						
SEED_8															makakʼ					
SHORT_1		pakanku											pakatku						pahkanku	
SHORT_2			χuʦʰʲulːa																	
SHORT_3				xʎʔut																
SHORT_4					buʔuʧʼ										ʔehekʼːu					
SHORT_5						ʔademɬka														
SHORT_6							məputk													
SHORT_7								ipʃuːnkinaʧ~ipʃuːnkiniʧ												
SHORT_8										wenawen										
SHORT_9														kisiɬ						
SHORT_10																		ləʔuɲ		
SHORT_11																				ʧkroti
SIT_1	ʔaːʧʰa																			
SIT_2		wa											wa						wa	
SIT_3			hiwohintʼa																	
SIT_4				wa														wa		wa
SIT_5					kaː				ʧa					kiːx						
SIT_6						diɡuʦuja														
SIT_7							wən̪ak													
SIT_8								ikɾiː												
SIT_9										ivak					risːawk					
SIT_10											t̪uman	ʧima								
SIT_11																sʦʼa				
SIT_12																	ʧiːjo			
SKIN_1	ʦʼda				ʦʼiːda				ʦʼiʔda								ʦʼiʔda			
SKIN_2		miwi																		
SKIN_3				ɲkʷʔaɬ																
SKIN_4						ɬabit͡ɬʼ														
SKIN_5							əkʷaɬʲ			ʧaθkʷil										
SKIN_6								maːn												
SKIN_7											ʃuːru									
SKIN_8												sijan								
SKIN_9														inaːiɬ						
SKIN_10															ʔiʧka					
SKIN_11																qʼot̪al				
SKIN_12																				θpila
SLEEP_1	sma			ʃma	siːmaːmer		xəmaː		simaːq	ismam	ʃimaːkan	sima					siːma	ʃəma		smaː~sma
SLEEP_2		samsi											sapsi						ʦamsi	
SLEEP_3			pʰohmu																	
SLEEP_4						diʃmajʔma														
SLEEP_5								ikβiːtha												
SLEEP_6														kiːm						
SLEEP_7															riʦmasaːkaʔ					
SLEEP_8																qnaq				
SMALL_1	kaːwi								qawi											
SMALL_2		tʼiniːku											tʼiniːku						tʼihniːku	
SMALL_3			uleːta																	
SMALL_4				ʔiʎʧaʃ																keʧ
SMALL_5					buːhuʃ															
SMALL_6						ʔaɡaʔwa														
SMALL_7							ʔəst̪ik													
SMALL_8								niːnamiʧ												
SMALL_9										iʧʔawk										
SMALL_10											t̪ʼuːjaʔan									
SMALL_11												biʧʼuʔ								
SMALL_12														kisiɬ			kiʦʼːidu			
SMALL_13															ʔatʼuk					
SMALL_14																kʼuʧʼin				
SMALL_15																		ʎəpiʃ		
SMOKE (EXHAUST)_1	hosaha				saːxa				hosa	ʔahʷaː	ʃaha	saha					ʔohːosa			ʔohʷaja
SMOKE (EXHAUST)_2		ʦʰeːkʼauna											ʦʰeːkʼauna							
SMOKE (EXHAUST)_3			qʰe																	
SMOKE (EXHAUST)_4				xjaj			ʔuːxuj													
SMOKE (EXHAUST)_5						liɡuʃis														
SMOKE (EXHAUST)_6								amkuːf												
SMOKE (EXHAUST)_7														ʔamkaːχat						
SMOKE (EXHAUST)_8															kʼuːʦa					
SMOKE (EXHAUST)_9																ʦχa				
SNAKE_1				ʔawi						ʔave								aʔwi		
SNAKE_2					qaːlutʼuːdukʰ															
SNAKE_3						ɬajnofaɬ														
SNAKE_4								apsuːn												
SNAKE_5												misakʰala								
SNAKE_6														ʃiːχkokaʃniʔantkʷkiːʔ						
SNAKE_7															nuhuːsːu					
SNAKE_8																				ʔlwi~ʔlwi
SPHERICAL (ROUND IN THREE DIMENSIONS)_1				ɾʔuɾ																
SPHERICAL (ROUND IN THREE DIMENSIONS)_2							ʔəlul													
SPHERICAL (ROUND IN THREE DIMENSIONS)_3										jenajen										
SPHERICAL (ROUND IN THREE DIMENSIONS)_4														ktoknix						
SPHERICAL (ROUND IN THREE DIMENSIONS)_5																				klʔulki
STAND_1	ʧaːtom																ʧoht̪on			
STAND_2		waːkʼi											waːkʼi						waːkʼi	
STAND_3			hoːhatːa																	
STAND_4				pʔaː														pʔaw		
STAND_5					kokʰ															
STAND_6						deɡaʃu									rakʼaːwaːʔ					
STAND_7							pəxəkʷiː~pəxkʷiː													
STAND_8								ihjaɾih												
STAND_9									t̪ʼeːt̪		t̪oːn									
STAND_10										ivʔawm										
STAND_11												t̪oma				qt̪omat̪				
STAND_12														kaːp						
STAND_13																				βskʷi
STAR_1	kʰʔaːmul								qʰaːmoʦʼ											
STAR_2			munːe																	
STAR_3				kʷʎ̥ap			kʷən̪məsaːp													
STAR_4					ʔujaxo															
STAR_5						ɡalʃamna														
STAR_6								atajraːm												
STAR_7										hamuse										hammsi
STAR_8											koʔtaikaː									
STAR_9												tʰotʰol								
STAR_10													iʔlala							
STAR_11														aʃox						
STAR_12															xakːweːsur					
STAR_13																ʦʼeχajqʼujqʼuj				
STAR_14																	kʰamhun			
STAR_15																			hiltaka	
STONE_1	kʰbe				xaːbe				qʰaʔbe		kʰaʔbe	kʰabe				χabe	kʰaʔbe			
STONE_2		kʼaina											kʼaina						kʼaina	
STONE_3			qʰaʔa					as												
STONE_4				xuːɾ																
STONE_5						ɬabik														
STONE_6							ʔəwilʲ			ʔaviː								wiː		ʔwi
STONE_7														ʔast						
STONE_8															ʔiʦːaʔ					
SUN_1	da										dakaː									
SUN_2			asːa																	
SUN_3				ɲa			ʔənʲaː			ʔaɲa								ɲa~ɲaː		ʔɲaː
SUN_4					laː															
SUN_5						ɡalʔora														
SUN_6								kuːsɾah												
SUN_7									haʔda								haʔda			
SUN_8												mit̪ʼaː				mʦilda				
SUN_9													tʼuina						tʼuixi	
SUN_10														ʃaːʔ						
SUN_11															ʧʼuːwar					
SWIM_1	kʰaʧde																			
SWIM_2		pʰuː											pʰuː						pʰuː	
SWIM_3			xuː																	
SWIM_4				xaʎ̥nup														xanup		
SWIM_5					xaːqaː											χajqam				
SWIM_6						diɡafɡajʔma														
SWIM_7							aːpuɬ	ikpuh												
SWIM_8									ʧiw											
SWIM_9										ʔahaʎaʔoːpk										
SWIM_10												kʼot̪ama								
SWIM_11														kakat						
SWIM_12															rumpakaʔ					
SWIM_13																	ʔohkomaj			
SWIM_14																				ʔhaθpuji
TAIL_1	baː				jiːbaː	labo			hibaː		ʃiʔbaː					ba				
TAIL_2		pʼulsu																		
TAIL_3			aqʰuje																	
TAIL_4				ʃjuʎ̥			xəjuɬ											ʃəjuɬ		
TAIL_5								apβuːj												
TAIL_6										iːʔar										
TAIL_7												kimaː								
TAIL_8														iːp						
TAIL_9															ʔihiwa					
TAIL_10																	hibʔakʰle			
TAIL_11																				βhe
THAT_1	mul											mul								
THAT_2		aiʦeʔe		ʂuː~ʔuʂuː									aiʦeʔe						aiʦi	
THAT_3			pʰaʔut																	
THAT_4					ʔo															
THAT_5						hikuʔwa														
THAT_6							puː	paj										puː		
THAT_7									haʔu		hamuː					ʔiji	hamːu			
THAT_8										hovaʧ										
THAT_9														tiːχ						
THAT_10															miː					
THAT_11																				ɲθa
THIN (OF HAIR AND THREAD)_1						ʔaʃalof														
THIN (OF HAIR AND THREAD)_2														kχatkax						
THIN (OF LEAF AND CLOTH)_1						ʔaɬa														
THIN (OF LEAF AND CLOTH)_2														koːsot						
THIN (OF SHAPE OF OBJECT)_1		pʼutʼaː			peːt̪ʰ															
THIN (OF SHAPE OF OBJECT)_2			χelmu																	
THIN (OF SHAPE OF OBJECT)_3				ɾʂaːw																
THIN (OF SHAPE OF OBJECT)_4							wəkʷiːɹp													
THIN (OF SHAPE OF OBJECT)_5								xutnahiʧ												
THIN (OF SHAPE OF OBJECT)_6										ʔuːhʔaːrk										
THIN (OF SHAPE OF OBJECT)_7																				θeqi
THIS_1	bal											ʔal								
THIS_2		aiʦʰ																		
THIS_3			kʰiwat~kiwot							viðaʧ										
THIS_4				piː~ʔupiː										ʔipiːχ						
THIS_5					me															
THIS_6						hikija														
THIS_7							pəjaː											pəja		βja
THIS_8								paj												
THIS_9									maʔu							miji	maːmu			
THIS_10													aiʦʰ							
THIS_11															weː					
THOU_1	ma				ma		maː		ma		ama	ma		mɛ	maːʔi	ma	ʔaːma			
THOU_2		aiʔnuma											aiʔnuma						aiʔnuma	
THOU_3			mamot	mapuʧ														maːʧ		
THOU_4						ʔimaʔ														
THOU_5								iːm												
THOU_6										maɲʧ										maːʧ
TONGUE_1	hawba								haːba		huʔbaː	habaː					hibʔa			
TONGUE_2			hipʰen																	
TONGUE_3				mpaʎ̥	bal	ɬabaɬ										bal				
TONGUE_4							ən̪əpaɬ			iːpaʎ								xənpaɬ		himpal~himpal
TONGUE_5								apɾiːh						ipɬ						
TONGUE_6													pawaʔla						pawaʔna	
TONGUE_7															ʔehena					
TOOTH_1	ʔo								hoʔo		ʔo	ʔo				ʔo	hoʔːo			
TOOTH_2		kʰiʦʼauna																	kʰiʦʼauna	
TOOTH_3			huʦʼʲu	ʔija																
TOOTH_4					jaːʔo		əjaːw													jo
TOOTH_5						laʔaj														
TOOTH_6								βuh												
TOOTH_7										iːðoː										
TOOTH_8														itaːst						
TOOTH_9															ʔiʧːaw					
TREE_1	kʰle				xaːleː				qʰale		kʰali	kʰale				χale	kʰaːle			
TREE_2		ʔina		ʔajaː									ʔina							
TREE_3			atʲa~aʦʲa~aʦʲːa																	
TREE_4						ʔalʔek														
TREE_5							ʔilʲ											ʔiː		ʔʔi
TREE_6								ipaha~ipa												
TREE_7														ʔɛʔɛ						
TREE_8															ʔakaːhaː				ʔiwi	
TWO_1	kʰoː				xoʧʰ				qʰoː			kʰoː				χos	ʔakʰːo			
TWO_2		ux											ux						ux	
TWO_3			χoqχu											koːkx						
TWO_4				xwak			xəwak			havikk								xəwak		hwaki
TWO_5						ʔoɡeʔ														
TWO_6								axak							xukʼːa					
TWO_7											kʰoʔoːkai									
WALK_1		ni											ni						ni	
WALK_2		ha		ʔaː								hu	ha						ha	
WALK_3			huwam							ijemk										
WALK_4					waduːkiː															
WALK_5						diʔwaʔma														
WALK_6							waː		w							wal				
WALK_7								ahoː												
WALK_8														kontika						
WALK_9															kʼwatːaʔ					
WALK_10																		aː		
WALK_11																				jami~jami
WARM_1	ho								ʔoho			ho					ʔohːo			
WARM_2		jaripʼa											jaripʼa							
WARM_3			ʔelohtʼa			ʔinuʔ														
WARM_4				ʎ̥ap														ʎ̥ap		
WARM_5					xo															
WARM_6							wəɹaːw													
WARM_7								imfiɾ												
WARM_8										ipiʎk~ipiːʎk										
WARM_9											moʔʦʼolon									
WARM_10														kmatx						
WARM_11															ʔaːtitʼːuʔ					
WARM_12																mit̪ʼe				
WARM_13																			aʔnaina	
WARM_14																				ʔruji
WATER_1	kʰa			xa	xa						kʰa	kʰa				χa		xa		
WATER_2		xana											xana						xana	
WATER_3			aqʰa																	
WATER_4						lahaʔ														
WATER_5							ʔəxaː		ʔahqʰa	ʔaha				ʔaχ	ʔaʦːa		ʔahkʰa			ʔha
WATER_6								iʃaha												
WATER_7								aːs												
WE_1	ja								ja		ajaː	ja					ʔaːja			
WE_2		aikʰiʔniki											aikʰiʔniki						aikʰiʔniki	
WE_3			naːʧʰitas																	
WE_4				ɲaːʧ																ʔɲaʧβ
WE_5					waː											wij				
WE_6						ʔijaŋkʼ														
WE_7							ʔənʲaːwapʧ													
WE_8								nuː												
WE_9										ʔiɲeːʧvʧ										
WE_10														ʔɛ						
WE_11															ʧaːkʼa					
WE_12																		ɲaʔwaʧ		
WHAT_1	kʼowa											kʼo								
WHAT_2		aʦʰiːma											aʦʰiːma							
WHAT_3			paʦʰʲi~pʰaʦʰʲi						baqʼoː		pʰaːʃka						baːkʼo			
WHAT_4				luːɲ																
WHAT_5					ʧʰi															
WHAT_6						de														
WHAT_7							ʔuːʧ												ʔahʦa	
WHAT_8								faːt												
WHAT_9										kuːʧ										
WHAT_10														aʃ						
WHAT_11															kuːʧʼa					
WHAT_12																ʔawi				
WHAT_13																		maːjiːʧ		
WHAT_14																				kaβ
WHITE_1	kaːle								qahle			kale					kahle			
WHITE_2		talapʔsa											tʼalapʔ						tʼalapʔ	
WHITE_3			meneʔi																	
WHITE_4				xmaːʎ̥																
WHITE_5					pʰiːt̪ʼaw															
WHITE_6						ʔafuhɡa														
WHITE_7							n̪əməʂap			ɲamasav								ɲəmʃap		ɲmsaβi
WHITE_8								ʧanʧaːfkuniʃ												
WHITE_9											tʰajan									
WHITE_10														koːχp						
WHITE_11															ʔitʼaːju					
WHITE_12																t̪ʼot̪ʼo				
WHO_1	baːwa																			
WHO_2		ʔampima											ʔappima						ʔampima	
WHO_3			qʰomasʲ																	
WHO_4				luːɲ																
WHO_5					kiːjaː															
WHO_6						najʦi														
WHO_7							maːp											məʔap		
WHO_8								akaːj												
WHO_9									ʧibaː			ʧibaː								
WHO_10										makaʧ										
WHO_11											t̪ʰaʔa					ʦaʔe	ʧaʔːa			
WHO_12														kiːʔ						
WHO_13															takaː					
WHO_14																				βka
WIND_1	ja				j̥a				ʔihja		hija	ja				ja	ʔihja			
WIND_2		ʦukʼalla											ʦukʼalla						ʦuʔkʼalla	
WIND_3			hikʼoseʔ																	
WIND_4				ʧxa						mataha~matha								mat̪xa		mathaja~mathaːja~mathaja
WIND_5						ɬawaʔ														
WIND_6							jaːjp													
WIND_7								ikɾeːmjah												
WIND_8														ʔai						
WIND_9															ʔaːska					
WOMAN_1	maːt̪a								ʔimaːt̪a			maːt̪a								
WOMAN_2		mariʔmi											mariʔmi						mariʔmi	
WOMAN_3			punsar~punsaːr~punʦaːr							θiɲaʔaːk~θiɲaʔaːk										
WOMAN_4				sʔak														ɲəʧʔak		
WOMAN_5					da						daki									
WOMAN_6						ɬaɡaʔno														
WOMAN_7							sinʲ													
WOMAN_8								asiktaβaːn												
WOMAN_9														kmaːm						
WOMAN_10															tariːʧʼiʔ					
WOMAN_11																bited				
WOMAN_12																	baʔaj			
WOMAN_13																				βqi~pqi
WORM_1		piːna																		
WORM_2			hemuta																	
WORM_3				maʔiːʎ̥			iɬ			iʔiːʎva										
WORM_4					kʰol															
WORM_5						ɬabimi														
WORM_6								βakaj												
WORM_7									bila											ʔʔila
WORM_8															ʔamtaːwa					
YEAR_1				matkaːm																
YEAR_2					xuːʦʼaj															
YEAR_3						ɬamaʦʼ														
YEAR_4							ʔaːnʲ													
YEAR_5								haɾinaj												
YEAR_6									mal			jemal								
YEAR_7										hoðe~huːðe				ʔant						
YEAR_8															ʧʼikiːsuʔ					
YEAR_9																mutin				
YEAR_10																		matwam		
YEAR_11																				ʔʧʰura
YELLOW_1	ʧot̪ʼəʃəba				quːʃiliʃiːba						kʰaʃiʔba	ʧiʃilʃiba								
YELLOW_2		tamuxtuisa											muxtui						tamustuisa	
YELLOW_3				qʷaʂ														kʷas		
YELLOW_4						ʔundaʔe														
YELLOW_5							ʔəkʷas			ʔaqʷaθm~ʔaqʷaːθm										ʔqʷaθi
YELLOW_6								θukinkuniʃ												
YELLOW_7									qʰalaːʧ											
YELLOW_8														kmasoɬ						
YELLOW_9															xanːarkʼeːʔeːkikʼarik					
YELLOW_10																kiʔilt̪ʼo				
YELLOW_11																	biʔdubotʼ			
