Gloss	Arabic (MSA)	Chadian (Western Sudanic)	Cypriot (Kormakitis)	Dhofari (Oman)	Egyptian (Lower Egyptian)	Gulf (Emirati)	Hassaniya (Mauritanian)	Iraqi (Southern Iraq/Baghdad)	Levantine (Central/Syro-Lebanese)	Maltese	Moroccan (Casablanca)	Moslawi (Northern Iraq)	Najdi (Riyadh)	Sanaani (Sana'a)	Sudanese (Khartoum)	Tunisian (Tunis)
to sew	qɑtˤɑba~xɑːtˤa	xajjat	ʃall	xɛːtˤ	xɑjjɑtˤ	ʃall~xɑːtˤ	ʃəll~xʌjjɑtˤ	xɑjjɑtˤ	xɑjjɛt	ħiet	xəjjətˤ	xʌjjitˤ	xɑːtˤ	χɑjjɑtˤ~ʃall	χɑjjɑtˤ	xɑjjitˤ
to sing	ɣanna~naʃada	xanna	ʕanna	ɣinnaː	ɣanna	qanna ~ ɣanna	ɣʌnna~ʃkur	ɣanna	ɣanna	għanna~kanta	ɣənnɑ	ɣannɑ	ɣanna	ɣanna~ʃadɑ~naʃad	ɣanna	ɣannaː
to sit	ʤalasa~qaʕada	ɡaʔad	kaʕa	ɡlaːs~stawqaʕ	aʕ̞ad	jɛlas~ɡɛʕad	ɡʕʌd	ɡɛʢad	ʔɑʕɑd	qagħad~poġġa	ɡləs	nĕbĕṡ~bəʧɛx	ɡaʕad	ɢambar~ɡʲalas	ɢaʕad~kannab	qʕad
to sleep	naːma~raqɑda	rɛɡɛd~naːm	nam	naːm	naːm	raɡad~nɑːm	rɡǝd	nɑːm	naːm	raqad	nʕas	nɑːm	naːm	raɢad	nɑːm	rqad
to smell (sense odor)	ʃamma	ʃɛmm	ʃamm	ʃamm	ʃamm	ʃamm	ʃəmm	ʃamm	ʃamm	xamm	ʃamm	ʃamm	ʃamm	ʃamm	ʃamm~kɑrɑf	ʃam
to spit	basˤɑqa	bazaɣ	pizɛk	bzaːq	taff	tɛfal~bɛzaɡ	tfəl~dvǝl~bʌẓẓaɡ	tɛfal~taffal	bɑzɑʔ	beżaq	bzəq	tafal		dafal~bazaɢ	bazaɢ	bzaq
to split	qasama~ʃaqqa	ɡɛsɛm~ʃaɡɡ	ʃakk	ʃtˤɑːr	ʃaʔʔ~ʔassɛm	ɡɛsam	fɡʌs	faʤʤ~fɛlaq	ʃaʔʔ	qasam	qsˤɛm~fəlləħ	qasˤsˤam~fʌʃʃʌq~fɑsˤʌl	ʃɛtˤɑb~ɡassam	falaʕ~bakkaʕ	ʃaɢɢ~fɛlaχ	ʃaqq
to squeeze	ʕasˤɑrɑ~dˤɑɣatˤɑ	hakk	palas~ˁisɛr		ʕ̞ɑsˤɑr	ʕɛsˤɑr	ʕsˤər	ʢɛsˤɑr~ʤɛʢasˤ	ʕɑsˤɑr~ʃadd	għafas~rass~għasar	ʕsˤɑr	ʕʌsˤʌɣ		falħasˤ~ðˤɑɣɑtˤ	ʕɑsˤɑr	ʕsˤar
to stab (or stick)	tˤɑʕana	taʔan			tˤɑʕ̞ɑn	tˤɛʕan	dʌɡɡ	tˤɛʢan	dɑrɑb-sɛkkiːn~tˤɑʕɑn	nifed~daqq b'sikkina	tʕaz	tˤɑʕan	tˤɑʕən	tˤɑʕɑn	tˤɑʕɑn	dɣar
to stand	qɑːma~waqɑfa	wiɡif	ɛkɛf	wqaːf	wɛʔɛf	wuɡaf~fazz	uːɡəv	wuɡaf	wɑʔɑf	qagħad bilwieqfa	wqəf	wiqif	waɡf~ɡaːm	sannab~wiɢif	waɢaf	wqif
to suck	mɑsˤsˤ~rɑdˤiʕa	mass~radiː	ðirʕe~mɑss	rðˤaːʕ	mɑsˤsˤ	mɑsˤsˤ	mʌsˤsˤ~rðˤaʕ	mɑsˤmɑsˤ~mɑsˤsˤ	mɑsˤsˤ~mɑʔʔ	seff~reda'	məsˤsˤ	mɑsˤ	mɑsˤsˤ	mɑsˤmɑsˤ~mɑsˤsˤ	mɑsˤsˤ	rðˤaʕ
to swell	intafaxa~warima	nnafax	virɛm	ntafax	wɛrɛm~taffax	ntɛfax	ntfax~uːrʌm	ɡabɡab~wurɑm	warɛm	ntefaħ	ttənfəx	wiɣim		ʃabaɡʲ~ntɛfaχ	wirim~innafaχ	tinfax
to swim	sabaħa~ʕaːm	ʔarrad fi l-almɛ	tʌʕássɛl~kalimpa	sbaːħ~ʕaːm	ʕ̞aːm	ʕaːm	ʕaːm	sɛbaʜ~fɑːʤ	sɛbɛħ	għam	ʕam	sibiħ	sɛbɛħ	sabaħ~ʕaːm	ʕaːm	ʕaːm
to think	ħasiba~ʔiʕtaqɑda~fakkara~ðˤɑnna	dɑnn~fɛkɛr	ftaɛn-~ɛnómiza-	ɡaʕan~fakkar~qatt	fɑkkɑr~ẓɑnn	fakkir~ðˤɑnn	txʌmməm~stʌʕql	ʢtɛqɑd~fakkɛr~sˤufan~tfɑtˤtˤan~ðˤɑnn	fakkɛr~ʕtɑʔɑd	ħaseb	nuɑ~xəmməm~fbal-	fakkar	fɛkɛr~haɡa~ðˤɑnn	fakkar~ðˤɑnn	iftɑkɑr~ẓɑnn	xamməm~fakkir
to throw	ramaː~ʔalqɑː	rama~xatt	ʃalax~rma	ramaː~ʕqaːr~lwaːħ	ħɛdɛf~rama	ðabb~ħɛðaf	laːħ~zrʌɡ	ʃɛmɑr~ðabb	ʃalaħ~zatt~kabb	tefa'~xeħet~rema	laħ~sijjəb	ħəʃʌl~tˤɛrr~zɛtt	ħaðaf~tˤɑʃʃ	ramaː~ðabal~raːɡʲam	ɡʲadaʕ~rama	ʃajjaʕ~lwaħ
to tie	rɑbɑtˤɑ	rɛbɛt~ʃadd	rɑpɑt	rawatˤ~ħzaːm	rɑbɑtˤ	ribɑtˤ~ʃɛbaʧ	ħzǝm~ʕɡad	ʢɛɡad~ʃadd	rɑbɑt	rabat	rbɑtˤ~ʕqɑd	rəbɑtˤ~ʕʌqʌd	rabtˤ	rɑbɑtˤ~ʃadd	rˤɑbɑtˤ	rbɑtˤ
to turn (change direction)	daːrɑ~ʔanaːba	kanʤar	tɑr	liff	laff	laff	sʌdd~ɡlʌb	ʢɛkaf~dɑːr	bɛrɛm~dɑːr	dar	dɑr	ndɑːɣ	dɑːr	ʕɑsˤɑr~dawwɑr~laff	dawwɑr~itlafat	daːr
to vomit	qɑːʔɑ~taqajjaʔa~istafrɑɣa	dafaɡ	raʒʒʕe~staffʕe	radd~zɑʕ	raɡɡaʕ̞~tˤɑrrɛʃ	zɑːʕ	ɡðǝf~rŭdd	zɑwwɑʢ~tqɑjjɑ	nɑtˤɑʔ~raʒʕɑ	qala'	ɡəll~rədd~ruwwəʕ	ˀəstənfʌʕ~zɑwwɑʕ~tqɑjjɑ		tˤɑrɑʃ~ɢaðˤɑf	ɢidif~istɑfrɑɣ	rad
to walk	maʃaː	saːr~maʃa	miʃɛ	mʃaː~tmaxtˤar	xadha maʃi~mɛʃi	mɛʃɑ~sˤɑːr	twaːtˤa~ɡɔwtˤarˤ	ʤɑː pjɑːda~mɛʃa~ɡɛʜaf	mɛʃi	mexa	sˤɑr~tməʃʃɑ	məʃi	mɛʃa	χɛtˤi	maʃa	mʃaː
to wash	ɣasala	xasal	ʕássɛl	ɣsaːl	ɣasal	ɣɛsal	ɣsǝl~qsǝl~sˤɡǝl	ɣɛsal	ɣassɛl	ħasel	ɣsal	ɣasal	ɣasəl	ɣasal	ɣassal	ɣsal
to wipe	maħaː~masaħa	ɡaʃʃ	massɛx	mħi	masaħ	maʃʃ	zʌjjɑf~msʌħ	mɛsaʜ~maʃʃ	mɑsɑħ	mesaħ	msəħ~zuwwəl			misiħ	masaħ	msaħ
tongue	lisaːn	lisaːn	san	lisaːn	lɛsaːn	lɛsɑːn	lsaːn	əlsɑːn	lsaːn	lsɪːn	lsan	əlsuːn	lsaːn	lisaːn	lisɑːn	lsaːn
tooth (rather not molar)	sinna~dˤirs	sɛnn	sinn	ðars~ɡuːhara~mɑtˤɑːħɑn	sɛnna	ðˤɛrs~sɛnn	sʌnn~dˤars	sɛnn	sɛnn	sinna	dərsɑ~sɘnnɑ	sin~ʧaːɣɔːʃi	ðˤirs~sinn	ðˤirs~sĕnnih	sɛnn	sinna
tree	ʃaʤarɑ	ʃɑdɑrɑːj	ðɛntra	ʃaɡara	ʃɑɡɑrɑ	ʃjɑrˤɑ	sˤadrˤɑːja	ʃaʤarɑ~ʃɛʤrɑ	siʒrɛ	sɪʤrɐ	ʃəʒrˤa	siʤʌɣɑ	ʃɛʤarɑ	ʃɛɡʲarih	ʃɛɡʲɑrɑ	ʃuʒra~suʒra
two	ʔiθnaːn~ʔiθnataːn ;  ʔiθnajn~ʔiθnatajn	tinɛːn~tittɛːn	xnajn	θnɛːn~θantɛːn	ɛtnɛːn	θnɛːn~θəntɛːn	iθ̬̬najn~θ̬̬intajn	θníɛn~θəntíɛn	tⁿɛjn ~ tⁿɛːn~tintɛːn	tnɛjn~żewġ	ʒuʒ~tnin	θniːn~θintiːɛn	əθnɛːn~θəntíɛn	θnajn~θintajn	ɛtnɛːn	zuːz~θniːn
warm (as in weather)	daːfiʔ	haːmi	xɑrr~sxun		daːfi	dɑːfi	ħaːmi~daːfi	ʜɑːmi~dɑːfi	dɛfjɛːn~sɔxn	sħun	dafi	diːfi	daːfi	daːfi~ħaːmi	daːfi	daːfi~sxuːn
water	maːʔ~mijaːh	almɛ~mɔːja	mɔɛ	maːj~miː	mɑjjɑ	mɑːj	ʌlma	mˤɑːj	mɑjj	ɪlmɐ	ma	mɑːj	maː~mɔːja	mɛːʔ	mɔːja~ɛlmiː	maː
we	naħnu~ʔinnaː	ʔaniːna	naxni	naħana	ɛħna	nɛħɛn	ʌħna~ʌħnaːti	ɛʜnɛ	nɑħnɑː	ɐħnɐ	ħnɑ~ħnajɑ	niħnɑː	əħna~ənnaː	əħnə	ɛħna	ħənaː
wet	rɑtˤb~muballal	lajjɛn~mabluːl	maplúl	xðˤɑr~rɑtˤb	mabluːl	mabluːl~rɑtˤəb	mʌbluːl	nɑːɡɛʢ~mballal	mbɑllɑl	mxarrab	fazəɡ	mnɑqqɑʕ	mabluːl~ratˤub	ɑχðˤɑr~mabluːl	mabluːl	mabluːl
what	maː~maːða~ʔajji ʃajʔin  what thinɡ)	ʃunu~jaːtu	aʃ	ɛːʃ	ʔɛː	ɛːʃ~ʃuː~ʃɛnu	ʃ-~-aːʃ~ʃənhu	ʃɛnu~ʃə-	ʃu~ʔɛːʃ	x'~ʃɪnʊ~xiex	aʃ~aʃnu	ʌʃuː	wɛʃ	mɛh~ʔajʃ~ʔajj	ʃinu~ʔɛː	ʃnuwwa~ʃnɛjja~ʃnuːma
when	mataː	mata	mitɛn	mta	ɛmta	mɛta	ɛjnta	ʃwakɛt	ɛːmtɑ	meta	fuqaʃ~imta	ʌʃwaqɛt	mɛta	ajjəħiːn~mata	mitɛːn	waqtaːʃ~waqtɛː
where	ʔajna	wɛːn	ajn	fɛːn~ħɛːn	fɛːn	wɛːn	mnɛjn~wɛjn	wíɛn	wɛjn ~ wɛːn	fejn	fin	wǎjsˤɑb~wĭn	wɛin	ajn	wɛːn	wiːn~fiːn
white	ʔabjɑdˤ	ʔabjɛt	ápkjað	bjɑːðˤ	ɑbjɑd	ɑbjɑðˤ	ʌbjɑðˤ	ʔɑbjɑðˤ~ʃakari	ʔɑbjɑdˤ	ɐbjɐd̥	bjədˤ	ʌbjɑðˤ	ɑbjɑðˤ	ʔabjɑðˤ	ɑbjɑdˤ	abjidˤ
who	man	jaːtu	mɛn	miːn	miːn	mɛn	mən~mǝnhu	manuː	miːn	mɪn	ʃkun	mənu	mən	man	minu	ʃkuːn
wide	waːsiʕ~raħiːb~ʕɑriːdˤ	wasiː	fsiːʕi	waːsɛʕ~ʕɑriːð	waːsɛʕ̞	wɑːsɛʕ~ʕariːðˤ	waːsəʕ	ʢɑrˤiːðˤ~wɑːsɛʢ	ʕɑriːdˤ~wɛːsɛʕ	wiesa'	wasɛʕ	raːhi~wɛːsiʕ	waːsɛʕ~ʕariːðˤ	fsaħ~waːsiʕ	wɑːsɑʕ	waːsɛʕ
wife	zawʤa~imrɑʔa~ħurma	mara~mart-	mprɑt-	zɔːɡa	mɛrɑːt-~zɔːɡa	mɑrˤɑ~murt-~ħurˤma	ʕjaːl~muːlaːt il-xajma~marˤt-	mɑrɑ~mɑrt-~ʔahal	mɑrɑ~mɑrt-~zɔwʒi~ħɔrmi	mara	mrˤɑt-	ðˤiɣɑ~mɑɣɑ	ħurma~ħɛrmɛt-~mʕazzɛba	marih~zawɡʲa~tˤɑbiːnah~ðˤurrɑh	mɑrɑ~zɔːɡʲa	mra~mart-
wind (as in breeze)	riːħ~hawaːʔ	riːh	xava	habu	hawa	hbuːb~riːħ~ʃɑmɑːl~ʃɑːmi~tɑːrɛs	riːħ~arjaːħ	hɑwɑ~nɛsiːm	hɑwɑ	riħ	riħ	ɣiːħ	riːħ	riːħ~hawa	riːħ	riːħ
wing	ʤanaːħ	ʤɛnaːh			ɡɛnaːħ	ʤanaːħ	ʒnaːħ	əʤnɑːʜ	ʒɛːnɛħ	ġewnaħ	ʒənħ	əʤnɒːħ	ʤanaːħ	ɡʲanaːħ	ɡʲɑnɑːħ	ʒnaːħ
with (accompanying)	maʕ~bi	maʔa~bɛ	maʕ-	maʕ~bi	maʕ̞a~bɛ~wajja	wijja~b-	mʕa~bə	wijjɑ~ɛb-	mɑʕɑ~bi~wijjɛ	ma'~miegħ-	mʕa	mɑʕɑ	maʕ~ʕənd-	miʕ	maʕa~bi	mʕaː
woman	imrɑʔa~al-mɑrʔa	mara	mɑrɑ	mɑrɑ	sɛtt~wlɛjja	ħurma	mrˤɑ	mɑrɑ~mrajja	mɑrɑ	mɐrɐ	mrˤɑ	mɑɣɑ~mɑɣijji	ħŭrma~mɑrɛ	mɑrih~ħurma~maklaf	mɑrɑ~zɔːlɑ	mra
worm	duːda	duːda	tut	duːd	duːda	duːd	duːd	salbuːʜ~duːd	duːdi~suːsi	dudu~ħanex	duda	ʌɣdɑ	duːdah	duːdah~waɢzih~taʕaːlih~ħuːt	duːdɑ	duːda
year	ʕaːm~sana	sana	sinɛ	sana~ʕaːm	sana	sana	ʕaːm~sna	sana	sɛnɛ	sɛnɐ	ʕam	sani	sanah	sanah	sana~ʕaːm~ħɔːl	ʕaːm
yellow	ʔasˤfar	ʔasfar	sítrinɔ~asfar	ħɑntˤiː~sˤfɑːr	ɑsfɑr	ɑsˤfɑr	ʌsˤvɑr	ʔɑsˤfɑr	ʔɑsˤfɑr	ɪsfɐr	sˤfər	ʌsˤfɑɣ	ɑsˤfɑr	ʔasˤfɑr	asfɑr	asˤfir
you(plural)	ʔantum~ʔantunna	intu	intu	intuː~intɛːn	ɛntu	ɛntu~ɛntɛn	ntuːmɑ~ntuːmaːti	ɛntu~ɛntɛn	ʔɛntɔ	intom	ntumɑ	ʌntim	əntum~əntɛn	antɔ	intu	ntuːma
you(singular)	ʔanta~ʔant	inta~intɛ~inti	int~inti	intɑ~inti	ɛnta~ɛnti	ɛntɑ~ɛnti	nta~ntijja	ɛntɛ~ɛnti	ɛntɑ~ɛntɛ	int~inti	ntɑ~ntajɑ~nti~ntijɑ	ʌntɑ~ʌntɛː	ənta~ənti	ant~anti	intɑ~inti	inti
