Language,Concept,Ratcliffe,Wiktionary,LD,N_LD
Gulf Arabic,HEAD,raas,rˤɑːs,3,0.75
Gulf Arabic,ONE,waaħid,wɑːħɛd,3,0.5
Gulf Arabic,ROOT,jiðir,ʤaðɛr,3,0.6
Gulf Arabic,SAND,ramil,rˤɑmɛl,3,0.6
Gulf Arabic,SEE,ʃaaf,ʧɑːf,3,0.75
Gulf Arabic,SEED,baðra,bazir,3,0.6
Gulf Arabic,STONE,ħaʤar,ħijɑr,3,0.6
Gulf Arabic,TONGUE,lisaan,lɛsɑːn,3,0.5
Gulf Arabic,TWO,iθneen,θnɛːn,3,0.5
Gulf Arabic,WATER,maay,mɑːj,3,0.6
Gulf Arabic,WOMAN,mara,ħurma,3,0.6
Gulf Arabic,YELLOW,ʔasˤfar,ɑsˤfɑr,3,0.429
Gulf Arabic,COLD,baarid,bɑːrˤɛd,4,0.667
Gulf Arabic,MAN,rayyaal,rajjɑːl,4,0.571
Gulf Arabic,MANY,waaʤid,wɑːjɛd,4,0.667
Gulf Arabic,THAT,ðaak,haðɑːk,4,1.0
Gulf Arabic,WARM,ħaami,dɑːfi,4,0.8
Gulf Arabic,WE,iħna,nɛħɛn,4,1.0
Gulf Arabic,WHITE,ʔabjadˤ,ɑbjɑðˤ,4,0.571
Gulf Arabic,BARK,ɡiʃra,jɛdɛʕ,5,1.0
Gulf Arabic,DRY,jaabis,ħaːff,5,0.833
Gulf Arabic,RED,ʔaħmar,ħɑmɑrˤ,5,0.833
Gulf Arabic,SWIM,sibaħ,ʕaːm,5,1.0
Gulf Arabic,TREE,ʃiʤara,ʃjɑrˤɑ,5,0.833
Gulf Arabic,BREAST,deedsˤadr,sˤɑdɛr,6,0.667
Gulf Arabic,GREEN,ʔaxdˤar,xɑðˤɑrˤ,6,0.857
Chadian Arabic,BREAST,deːd,dɛːd,1,0.167
Chadian Arabic,COME,ʤa,ʤaː,1,0.25
Chadian Arabic,EAT,akal,akɛl,1,0.25
Chadian Arabic,FEATHER,suːfa,suːf,1,0.143
Chadian Arabic,FOOT,riʤil,riʤl,1,0.2
Chadian Arabic,HAND,iːd,id,1,0.25
Chadian Arabic,HEAD,raːs,ras,1,0.25
Chadian Arabic,KNEE,rukuba,rukba,1,0.167
Chadian Arabic,LEAF,waraɡa,warɡa,1,0.167
Chadian Arabic,MAN,raʤil,raːʤil,1,0.2
Chadian Arabic,NECK,raɡaba,rɛɡaba,1,0.167
Chadian Arabic,NEW,ʤadiːd,ʤɛdiːd,1,0.167
Chadian Arabic,SIT,ɡa’ad,ɡaʔad,1,0.2
Chadian Arabic,SLEEP,noːm,naːm,1,0.2
Chadian Arabic,SUN,ʃam,ʃams,1,0.333
Chadian Arabic,TOOTH,sinn,sɛnn,1,0.2
Chadian Arabic,TWO,tineːn,tinɛːn,1,0.167
Chadian Arabic,WATER,alme,almɛ,1,0.2
Chadian Arabic,WE,aniːna,ʔaniːna,1,0.167
Chadian Arabic,WHAT,ʃinu,ʃunu,1,0.25
Chadian Arabic,DOG,kalb,kɛlib,2,0.5
Chadian Arabic,DRINK,ʃarab,ʃɛrɛb,2,0.4
Chadian Arabic,EYE,eːn,ʔɛːn,2,0.667
Chadian Arabic,GREEN,axadˤar,ʔaxadar,2,0.286
Chadian Arabic,HAIR,ʃiʔir,ʃaʔur,2,0.4
Chadian Arabic,HEAR,simi,sɛmiː,2,0.5
Chadian Arabic,HEART,ɡalib,ɡɛlb,2,0.4
Chadian Arabic,LIVER,kibde,kɛbd,2,0.4
Chadian Arabic,NOSE,munxur,muxɛr,2,0.333
Chadian Arabic,NOT,mi,maː,2,0.667
Chadian Arabic,PERSON,naːdi,naːdum,2,0.333
Chadian Arabic,RED,eːmar,ahmar,2,0.4
Chadian Arabic,ROOT,irɡ,ʔiriɡ,2,0.5
Chadian Arabic,SEED,teːrab,tɛːraːb,2,0.333
Chadian Arabic,STAR,naʤima,nɛʤma,2,0.333
Chadian Arabic,YELLOW,asˤfar,ʔasfar,2,0.333
Chadian Arabic,BONE,adˤum,ʔadɛm,3,0.6
Chadian Arabic,EAR,dˤan,udɛn,3,0.75
Chadian Arabic,EGG,beːdˤe,bɛːda,3,0.5
Chadian Arabic,FULL,malʔan,mɛlaːn,3,0.5
Chadian Arabic,LONG,tˤawil,tɑwiːl,3,0.5
Chadian Arabic,NAME,isim,ʔusm,3,0.75
Chadian Arabic,NIGHT,leːle,llɛːl,3,0.6
Chadian Arabic,THAT,ɖˤaːka,daːk,3,0.5
Chadian Arabic,WARM,saːxin,haːmi,3,0.5
Chadian Arabic,BARK,liːhe,ɡirf,4,0.8
Chadian Arabic,BITE,adˤdˤa,ʔadd,4,0.667
Chadian Arabic,MEAT,laːma,lɛham,4,0.8
Chadian Arabic,SAND,keesa,ramla,4,0.8
Chadian Arabic,WHITE,abjadˤ,ʔabjɛt,4,0.667
Chadian Arabic,WHO,minejaːtu,jaːtu,4,0.444
Chadian Arabic,ALL,tʃat,kulla,5,1.25
Chadian Arabic,BELLY,kirʃ,bɛtɛn,5,1.0
Chadian Arabic,BLACK,axadˤar,ʔazraɡ,5,0.714
Chadian Arabic,COLD,bardaːn,baːrid,5,0.714
Chadian Arabic,GIVE,tˤaʔan,ʔanta,5,0.833
Chadian Arabic,ROUND,daːjir,mudawwar,5,0.833
Chadian Arabic,STONE,hiʤer,haʤaraːj,5,1.0
Chadian Arabic,TREE,ʃadara,ʃɑdɑrɑːj,5,0.833
Chadian Arabic,BIRD,tˤeːra,tɑjrɑːj,6,1.0
Chadian Arabic,MOUTH,ɡadduːma,xaʃɛm,6,0.75
Chadian Arabic,SMALL,daɡiːɡ,saxajjar,7,1.167
Chadian Arabic,STAND,anʔadal,wiɡif,7,1.0
Chadian Arabic,CLOUD,dˤawije,sahaːbaːj,8,1.143
Chadian Arabic,FISH,samakaħuːtˤa,huːt,9,0.75
Chadian Arabic,SWIM,aːm,ʔarrad fi lalmɛ,13,3.25
Modern Standard Arabic,ASH,ramaːd,rɑmaːd,1,0.167
Modern Standard Arabic,BIRD,tˤaːʔir,tˤɑːʔir,1,0.143
Modern Standard Arabic,BLOOD,dam,damm,1,0.2
Modern Standard Arabic,BONE,ʕaðˤm,ʕɑðˤm,1,0.2
Modern Standard Arabic,BREAST,sˤadr,sˤidr,1,0.167
Modern Standard Arabic,CLOUD,ɣamaːmat,ɣamaːma,1,0.125
Modern Standard Arabic,EAR,ʔuðn,ʔuðun,1,0.25
Modern Standard Arabic,EYE,ʕain,ʕajn,1,0.25
Modern Standard Arabic,FEATHER,riːʃat,riːʃa,1,0.143
Modern Standard Arabic,FISH,samak,samaka,1,0.2
Modern Standard Arabic,FULL,malʔaːn,malaːn,1,0.143
Modern Standard Arabic,GIVE,ʔaʕtˤaː,ʔaʕtˤɑː,1,0.143
Modern Standard Arabic,GREEN,ʔaxdˤar,ʔaxdˤɑr,1,0.143
Modern Standard Arabic,HAND,jad,jadd,1,0.25
Modern Standard Arabic,HEAD,raʔs,rɑʔs,1,0.25
Modern Standard Arabic,HEART,qalb,qɑlb,1,0.2
Modern Standard Arabic,KILL,qatala,qɑtala,1,0.167
Modern Standard Arabic,KNEE,rukbat,rukba,1,0.167
Modern Standard Arabic,LIVER,kabid,kabad,1,0.2
Modern Standard Arabic,LONG,tˤawiːl,tˤɑwiːl,1,0.143
Modern Standard Arabic,LOUSE,qamlah,qamla,1,0.167
Modern Standard Arabic,MAN,raʤul,rɑʤul,1,0.2
Modern Standard Arabic,MOUTH,fam,famm,1,0.2
Modern Standard Arabic,NAME,ism,ʔism,1,0.25
Modern Standard Arabic,NECK,ʕunq,ʕanq,1,0.25
Modern Standard Arabic,NOSE,ʔunf,ʔanf,1,0.25
Modern Standard Arabic,RED,ʔaħmar,ʔaħmɑr,1,0.167
Modern Standard Arabic,ROAD,tˤariːq,tˤɑriːq,1,0.143
Modern Standard Arabic,SAY,qaːla,qɑːla,1,0.2
Modern Standard Arabic,SEE,raʔaː,rɑʔaː,1,0.2
Modern Standard Arabic,SMALL,sˤaɣiːr,sˤɑɣiːr,1,0.143
Modern Standard Arabic,STAND,qaːma,qɑːma,1,0.2
Modern Standard Arabic,STAR,naʤma,naʤm,1,0.2
Modern Standard Arabic,THAT,ðalika,ðaːlika,1,0.167
Modern Standard Arabic,TOOTH,sinn,sinna,1,0.2
Modern Standard Arabic,WHITE,ʔabjadˤ,ʔabjɑdˤ,1,0.143
Modern Standard Arabic,BELLY,batˤn,bɑtˤɑn,2,0.4
Modern Standard Arabic,BITE,ʕadˤdˤa,ʕɑdˤdˤɑ,2,0.286
Modern Standard Arabic,LEAF,waraqat,waraqɑ,2,0.286
Modern Standard Arabic,MOON,qamar,qɑmɑr,2,0.4
Modern Standard Arabic,NIGHT,lailah,lajla,2,0.333
Modern Standard Arabic,TREE,ʃaʤarah,ʃaʤarɑ,2,0.286
Modern Standard Arabic,TWO,iθnaːni,ʔiθnaːn,2,0.286
Modern Standard Arabic,WOMAN,imraʔah,imrɑʔa,2,0.286
Modern Standard Arabic,BARK,qirfat,qilf,3,0.5
Modern Standard Arabic,EGG,baidˤat,bajdˤɑ,3,0.429
Modern Standard Arabic,NOT,laː,lajsa,3,1.0
Modern Standard Arabic,ONE,ʔaħad,waːħid,3,0.6
Modern Standard Arabic,STONE,ħaʤarah,ħaʤɑrɑ,3,0.429
Modern Standard Arabic,WARM,ħaːmm,daːfiʔ,4,0.8
Modern Standard Arabic,ROUND,mudawwar,mustadiːr,5,0.625
Iraqi Arabic,DIE,maːt,mɑːt,1,0.25
Iraqi Arabic,DOG,ʧalib,ʧalɛb,1,0.2
Iraqi Arabic,DRINK,ʃirab,ʃɛrab,1,0.2
Iraqi Arabic,FIRE,naːr,nˤaːr,1,0.25
Iraqi Arabic,HAND,ʔiːd,iːd,1,0.25
Iraqi Arabic,HEAD,raːs,rɑːs,1,0.25
Iraqi Arabic,KILL,kital,kɛtal,1,0.2
Iraqi Arabic,KNEE,rukba,rukbɑ,1,0.2
Iraqi Arabic,MANY,hwaːja,hwɑːja,1,0.167
Iraqi Arabic,MEAT,laħam,laʜam,1,0.2
Iraqi Arabic,MOON,ɡumar,ɡumɑr,1,0.2
Iraqi Arabic,MOUNTAIN,ʤibal,ʤɛbal,1,0.125
Iraqi Arabic,NECK,ruɡba,ruɡbɑ,1,0.2
Iraqi Arabic,NEW,ʤidiːd,ʤɛdiːd,1,0.167
Iraqi Arabic,NOSE,xaʃim,xaʃɛm,1,0.2
Iraqi Arabic,SAND,ramulˤ,rɑmulˤ,1,0.167
Iraqi Arabic,SAY,ɡaːl,ɡɑːl,1,0.25
Iraqi Arabic,SEE,ʃaːf,ʃɑːf,1,0.25
Iraqi Arabic,SLEEP,naːm,nɑːm,1,0.2
Iraqi Arabic,SUN,ʃamis,ʃamɛs,1,0.2
Iraqi Arabic,TOOTH,sinn,sɛnn,1,0.2
Iraqi Arabic,TREE,ʃaʤara,ʃaʤarɑ,1,0.167
Iraqi Arabic,WALK,miʃa,mɛʃa,1,0.25
Iraqi Arabic,WARM,daːfi,dɑːfi,1,0.2
Iraqi Arabic,WHAT,ʃ,ʃə,1,0.25
Iraqi Arabic,BITE,ʕaðˤðˤ,ʢɑðˤðˤ,2,0.333
Iraqi Arabic,CLOUD,ɣeema,ɣɪe̯ma,2,0.4
Iraqi Arabic,COME,ʤaː,ʔʤɑː,2,0.5
Iraqi Arabic,DRY,naːʃif,nɑːʃɛf,2,0.333
Iraqi Arabic,EAR,ʔiðin,ʔɛðɛn,2,0.4
Iraqi Arabic,FOOT,riʤil,rɛʤɛl,2,0.4
Iraqi Arabic,GIVE,nitˤa,nɛtˤɑ,2,0.4
Iraqi Arabic,GREEN,ʔaxðˤar,ʔɑxðˤɑr,2,0.286
Iraqi Arabic,HEAR,simaʕ,sɛmaʢ,2,0.4
Iraqi Arabic,I,ʔaːni,ʔɑːniː,2,0.4
Iraqi Arabic,LIVER,kabda,kabɛd,2,0.4
Iraqi Arabic,MAN,riʤʤaːl,rɛʤʤɑːl,2,0.286
Iraqi Arabic,SIT,ɡiʕad,ɡɛʢad,2,0.4
Iraqi Arabic,SWIM,sibaħ,sɛbaʜ,2,0.4
Iraqi Arabic,TAIL,ðeel,ðɪe̯l,2,0.5
Iraqi Arabic,THAT,ðaːk,ðɑːkɑ,2,0.5
Iraqi Arabic,THIS,haːða,hɑːðɑ,2,0.4
Iraqi Arabic,TWO,θneen,θnɪe̯n,2,0.4
Iraqi Arabic,WATER,maːj,mˤɑːj,2,0.4
Iraqi Arabic,WHITE,ʔabjaðˤ,ʔɑbjɑðˤ,2,0.286
Iraqi Arabic,WHO,minu,manuː,2,0.5
Iraqi Arabic,WOMAN,mara,mɑrɑ,2,0.4
Iraqi Arabic,YELLOW,ʔasˤfar,ʔɑsˤfɑr,2,0.286
Iraqi Arabic,ASH,rumaːd,rmˤɑːd,3,0.5
Iraqi Arabic,BARK,ɡiʃra,ɡɛʃɛr,3,0.6
Iraqi Arabic,BELLY,batˤin,bɑtˤɛnˤ,3,0.5
Iraqi Arabic,BIRD,tˤeer,tˤɛːrˤ,3,0.6
Iraqi Arabic,EGG,beeðˤa,bɪe̯ðˤɑ,3,0.5
Iraqi Arabic,EYE,ʕeen,ʢɛːn,3,0.75
Iraqi Arabic,HAIR,ʃaʕra,ʃaʢar,3,0.6
Iraqi Arabic,HEART,qalb,dɛl,3,0.6
Iraqi Arabic,MOUTH,ħaliq,ʜalɛɡ,3,0.6
Iraqi Arabic,NAME,ʔisim,ɛsm,3,0.6
Iraqi Arabic,NIGHT,leela,lɪe̯l,3,0.6
Iraqi Arabic,RED,ʔaħmar,ʔɑʜmɑr,3,0.5
Iraqi Arabic,ROOT,ʕiriɡ,ʢɛrɛɡ,3,0.6
Iraqi Arabic,STONE,ħʤaːra,ʜʤɑːrˤa,3,0.5
Iraqi Arabic,THOU,ʔinta,ɛntɛ,3,0.6
Iraqi Arabic,TONGUE,lisaːn,əlsɑːn,3,0.5
Iraqi Arabic,BONE,ʕaðˤma,ʢɑðˤumˤ,4,0.667
Iraqi Arabic,FULL,maljaːn,matruːs,4,0.571
Iraqi Arabic,LONG,tˤuwiːl,tˤɑwɪe̯l,4,0.571
Iraqi Arabic,ONE,waːħid,wɑʜɛd,4,0.667
Iraqi Arabic,WE,ʔiħna,ɛʜnɛ,4,0.8
Iraqi Arabic,BIG,ʧbiːr,ʧɛbɪe̯rˤ,5,1.0
Iraqi Arabic,BREAST,nahid,dɛːs,5,0.833
Iraqi Arabic,EAT,ʔakal,iːaːkuːl,5,1.0
Iraqi Arabic,PERSON,ʃaxisˤ,baʃɑr,5,0.833
Iraqi Arabic,ROAD,tˤariːq,darɛb,5,0.714
Iraqi Arabic,SMALL,sˤɣajjir,zɣɑjjɛrˤ,5,0.625
Iraqi Arabic,COLD,bardaːn,bɑːrˤɛd,6,0.857
Cypriot Arabic,DIE,mwt,mat,1,0.333
Cypriot Arabic,HEAD,mxx,mɔx,1,0.25
Cypriot Arabic,I,ʔna,ana,1,0.333
Cypriot Arabic,MANY,xtir,xtiːr,1,0.25
Cypriot Arabic,MOUNTAIN,ʒipel,ʒipɛl,1,0.125
Cypriot Arabic,NAME,ʔsm,ism,1,0.25
Cypriot Arabic,NOT,lʔ,la,1,0.333
Cypriot Arabic,SLEEP,nwm,nam,1,0.2
Cypriot Arabic,THOU,ʔnt,int,1,0.25
Cypriot Arabic,WALK,miʃi,miʃɛ,1,0.25
Cypriot Arabic,WHO,mn,mɛn,1,0.333
Cypriot Arabic,COLD,peret,pɛrɛt,2,0.4
Cypriot Arabic,DOG,klb,kilp,2,0.667
Cypriot Arabic,EAT,ʔkl,kɛl,2,0.667
Cypriot Arabic,HAND,ityd,it,2,0.5
Cypriot Arabic,HEAR,smʕ,simʕe,2,0.5
Cypriot Arabic,HEART,kilep,kɑlp,2,0.4
Cypriot Arabic,MEAT,lħm,laxm,2,0.5
Cypriot Arabic,NIGHT,lyl,lajl,2,0.4
Cypriot Arabic,ONE,exen,ɛxɛn,2,0.5
Cypriot Arabic,SAY,qwl,kal,2,0.667
Cypriot Arabic,TONGUE,lsn,san,2,0.333
Cypriot Arabic,WARM,saxan,sxun,2,0.4
Cypriot Arabic,WATER,mwh,mɔɛ,2,0.4
Cypriot Arabic,BIG,kbr,kpiːr,3,1.0
Cypriot Arabic,BLOOD,dmy,timm,3,0.6
Cypriot Arabic,COME,ʤyy,ʒa,3,0.75
Cypriot Arabic,DRINK,ʃrb,ʃirɛp,3,0.6
Cypriot Arabic,EAR,iðnʔðn,iðn,3,0.5
Cypriot Arabic,FULL,mplanml',mplan,3,0.375
Cypriot Arabic,GIVE,ʕtˤy,tɑ,3,0.75
Cypriot Arabic,GREEN,xdˤr,xɔðɛr,3,0.6
Cypriot Arabic,HAIR,ʃaxveʃʕf,ʃaxve,3,0.375
Cypriot Arabic,LONG,tˤwl,tviːl,3,0.75
Cypriot Arabic,MOON,qmr,kamar,3,0.75
Cypriot Arabic,MOUTH,xankħnk,xank,3,0.429
Cypriot Arabic,NECK,rqb,raɣbe,3,0.75
Cypriot Arabic,SEE,qʃʕ,kiʃʕe,3,1.0
Cypriot Arabic,SIT,qʕd,kaʕa,3,1.0
Cypriot Arabic,STAND,wqf,ɛkɛf,3,0.6
Cypriot Arabic,STAR,nʤm,naʒme,3,0.75
Cypriot Arabic,THIS,hʔ,aða,3,0.75
Cypriot Arabic,WE,nħn,naxni,3,1.0
Cypriot Arabic,WHAT,ʔyy,aʃ,3,0.75
Cypriot Arabic,YELLOW,sˤfr,asfar,3,0.5
Cypriot Arabic,ASH,ramatrmd,rmat,4,0.5
Cypriot Arabic,EGG,bydˤ,pɛð,4,1.0
Cypriot Arabic,FIRE,wqd,ɔkit,4,1.0
Cypriot Arabic,KILL,qtl,maɛt,4,1.0
Cypriot Arabic,LIVER,qsˤb,kaspe,4,0.8
Cypriot Arabic,LOUSE,qml,kamplɛ,4,0.8
Cypriot Arabic,NEW,ʒtitʤdd,ʒtiːt,4,0.571
Cypriot Arabic,NOSE,maxurnxr,mɑxur,4,0.5
Cypriot Arabic,PERSON,insanʔns,intsan,4,0.5
Cypriot Arabic,SEED,ptarbzr,pizr,4,0.571
Cypriot Arabic,STONE,ħʤr,xaʒra,4,0.8
Cypriot Arabic,THAT,ʔxð,aðak,4,1.0
Cypriot Arabic,TOOTH,snansnn,sinn,4,0.571
Cypriot Arabic,TWO,xnaynθny,xnajn,4,0.5
Cypriot Arabic,BELLY,patnbtˤn,pɑtn,5,0.625
Cypriot Arabic,BLACK,isfetswd,isvɛt,5,0.625
Cypriot Arabic,CLOUD,ɣyr,ʕajara,5,1.0
Cypriot Arabic,EYE,ʕaynʕyn,ʕɑjn,5,0.714
Cypriot Arabic,RED,axmarħmr,ɑxmɑr,5,0.625
Cypriot Arabic,ROAD,trupdrb,tɑrp,5,0.714
Cypriot Arabic,SMALL,sˤɣr,zɛʕiːr,5,1.0
Cypriot Arabic,WHITE,apkyaðbydˤ,apkjað,5,0.5
Cypriot Arabic,WOMAN,maramrʔ,mɑrɑ,5,0.714
Cypriot Arabic,BITE,ʕaððʕdˤdˤ,ʕɑðð,6,0.667
Cypriot Arabic,SWIM,ɣsl,tʌʕassɛl,6,1.5
Cypriot Arabic,TAIL,ðnb,tumpjɛ,6,1.5
Cypriot Arabic,BREAST,pzaz9pl)bzz,pizz,8,0.727
Cypriot Arabic,DRY,neʃefʤfy,jɛpɛs,8,1.0
Sanaani Arabic,BELLY,batˤn,bɑtˤn,1,0.2
Sanaani Arabic,BIG,kabiir,kabiːr,1,0.167
Sanaani Arabic,BREAST,sˤadr,sˤɑdr,1,0.167
Sanaani Arabic,COLD,baarid,baːrid,1,0.167
Sanaani Arabic,DRY,jaabis,jaːbis,1,0.167
Sanaani Arabic,EAR,ʔiðn,ʔɛðn,1,0.25
Sanaani Arabic,EGG,bajðˤah,bajðˤɑh,1,0.143
Sanaani Arabic,FEATHER,riːʃeh,riːʃah,1,0.143
Sanaani Arabic,FIRE,naar,naːr,1,0.25
Sanaani Arabic,GIVE,ʔadda,ʔidda,1,0.2
Sanaani Arabic,HAIR,ʃaʕra,ʃaʕr,1,0.2
Sanaani Arabic,HAND,yad,jad,1,0.25
Sanaani Arabic,HEAD,raʔs,rɑʔs,1,0.25
Sanaani Arabic,HEART,ɡalb,ɢalb,1,0.2
Sanaani Arabic,I,ʔana,ʔanɛ,1,0.25
Sanaani Arabic,KILL,ɡatal,ɢatal,1,0.2
Sanaani Arabic,LEAF,waraɡih,waraɢih,1,0.143
Sanaani Arabic,LONG,tˤawiːl,tˤɑwiːl,1,0.143
Sanaani Arabic,NOT,maː,maːʃ,1,0.333
Sanaani Arabic,RED,ʔaħmar,ʔaħmɑr,1,0.167
Sanaani Arabic,SAY,ɡaːl,ɢaːl,1,0.25
Sanaani Arabic,SLEEP,raɡad,raɢad,1,0.2
Sanaani Arabic,THOU,ʔant,ant,1,0.25
Sanaani Arabic,TONGUE,lisaan,lisaːn,1,0.167
Sanaani Arabic,WHITE,ʔabjaðˤ,ʔabjɑðˤ,1,0.143
Sanaani Arabic,YELLOW,ʔasˤfar,ʔasˤfɑr,1,0.143
Sanaani Arabic,DIE,maat,mɑːt,2,0.5
Sanaani Arabic,EAT,ʔakal,kal,2,0.4
Sanaani Arabic,FOOT,riʤl,riɡʲl,2,0.5
Sanaani Arabic,GREEN,ʔaxðˤar,ʔaχðˤɑr,2,0.286
Sanaani Arabic,LIVER,kabdih,kabid,2,0.333
Sanaani Arabic,MOON,ɡamar,ɢamɑr,2,0.4
Sanaani Arabic,MOUNTAIN,ʤabal,ɡʲabal,2,0.25
Sanaani Arabic,NECK,ruɡbeh,ruɢbih,2,0.333
Sanaani Arabic,NEW,ʤadiːd,ɡʲadiːd,2,0.333
Sanaani Arabic,NIGHT,lajl,lajlih,2,0.4
Sanaani Arabic,NOSE,nuxreh,nuχrih,2,0.333
Sanaani Arabic,ROUND,mudawwar,mdawwɑr,2,0.25
Sanaani Arabic,SEED,habbeh,ħabbih,2,0.333
Sanaani Arabic,SIT,ʤalas,ɡʲalas,2,0.4
Sanaani Arabic,STAR,naʤm,naɡʲm,2,0.5
Sanaani Arabic,THAT,ðajjik,ðˤɑjjik,2,0.333
Sanaani Arabic,TWO,θintajn,θnajn,2,0.286
Sanaani Arabic,WALK,xutˤi,χɛtˤi,2,0.4
Sanaani Arabic,WATER,maaʔ,mɛːʔ,2,0.4
Sanaani Arabic,WE,ħna,əħnə,2,0.667
Sanaani Arabic,WOMAN,mareh,mɑrih,2,0.4
Sanaani Arabic,BARK,ɡiʃr,ɢiʃrih,3,0.75
Sanaani Arabic,BIRD,tˤajr,tˤɑːjir,3,0.6
Sanaani Arabic,BITE,luɡusˤ,lɑɢɑsˤ,3,0.5
Sanaani Arabic,BONE,ʕaðˤma,ʕuðˤmih,3,0.5
Sanaani Arabic,FISH,ħuut,ħuːtih,3,0.75
Sanaani Arabic,SEE,ibsˤar,ʔibsɑr,3,0.5
Sanaani Arabic,SMALL,sˤaɣiːr,zɑɣiːr,3,0.429
Sanaani Arabic,TOOTH,sinn,sɛnnih,3,0.6
Sanaani Arabic,WHAT,maːʔajʃ,ʔajʃ,3,0.429
Sanaani Arabic,COME,ʤaaʔ,ɡʲɛːʔ,4,1.0
Sanaani Arabic,MAN,raʤʤaːl,raɡʲɡʲaːl,4,0.571
Sanaani Arabic,ROOT,ʕirɡin,ʕuːdih,4,0.667
Sanaani Arabic,STONE,ħaʤar,sˤɑχr,4,0.8
Sanaani Arabic,TAIL,ðeelin,ðajl,4,0.667
Sanaani Arabic,THIS,ðajjih,ðˤɑjjɑːh,4,0.667
Sanaani Arabic,TREE,ʃiʤareh,ʃɛɡʲarih,4,0.571
Sanaani Arabic,LOUSE,ɡamleh,ɢummalih,5,0.833
Sanaani Arabic,ROAD,tˤariːɡ,darb,5,0.714
Sanaani Arabic,MANY,kaθiːr,χɑjrɑːt,6,1.0
Sanaani Arabic,PERSON,ʃaybeh?,ʔaːdami,6,0.857
