Gloss	Erzya	Estonian	Finnish	Hungarian	Inari Saami	Ingrian	Karelian	Khanty	Kildin Saami	Komi-Permyak	Komi-Zyrian	Livonian	Mansi	Meadow Mari	Nganasan	North Saami	Pite Saami	Proto-Uralic	Selkup	Skolt Saami	South Saami	Tundra Nenets	Udmurt	Ume Saami	Veps	Votic	Võro
FALL_82-a			pudo̞t̪ɑ																								
FALL_82-b																											
FALL_82-c																										lɑŋkɤːmɑ	
FALL_82-d																											
FALL_82-e		kukːutɑ																									kukɤrtumɑ
FALL_82-f																											
FALL_82-g									keːhʧe																		
FALL_82-h	prɑms																										
FALL_82-i														βozɑm													
FALL_82-j				ɛʃik						uɕnɯ	uɕnɯ												uɕɯnɯ				
FALL_82-k													rɑɣi														
FALL_82-l								kørəɣ																			
FALL_82-m																											
FALL_82-n															ʧəlh dʲi												
FALL_82-o																			ɑːlʨə								
FALL_82-p						tokːuɑ																					
FALL_82-q															sohədʲɑ												
FAR_23-a									kuhkʲenʲ																		
FAR_23-b																											
FAR_23-c		kɑukel	kɑwkɑnɑ																							kɑukɑlː	
FAR_23-d						etːæːl																					
FAR_23-e	vɑsolo																										
FAR_23-f														myndə̠rnø													
FAR_23-g														torɑʃte													
FAR_23-h										ɯlɯn	ɯlɯn																
FAR_23-i																							kɯdʲokɯn				
FAR_23-j				mɛsːɛ																							
FAR_23-k				taːvol																							
FAR_23-l													eːlɑʎ														
FAR_23-m															kuntəɡunu~kuntəɡunu				kuntok								
FAT (ORGANIC SUBSTANCE)_122-a		rɑsv	rɑsʋɑ			rɑzvɑ																				rɑzvɤ	
FAT (ORGANIC SUBSTANCE)_122-b			içrɑ																								
FAT (ORGANIC SUBSTANCE)_122-c	kujɑ			haːj										kojɑ									kɤj				
FAT (ORGANIC SUBSTANCE)_122-d									puːjːt																		
FAT (ORGANIC SUBSTANCE)_122-e								woj					woːj														
FAT (ORGANIC SUBSTANCE)_122-f										ɡos	ɡos																
FAT (ORGANIC SUBSTANCE)_122-g	ʒir																										
FAT (ORGANIC SUBSTANCE)_122-h															dʲir				yr								
FAT (ORGANIC SUBSTANCE)_122-i																											
FAT (ORGANIC SUBSTANCE)_122-j	ʎem																										
FAT (ORGANIC SUBSTANCE)_122-k																											
FAT (ORGANIC SUBSTANCE)_122-l				ʒiːr																							
FAT (ORGANIC SUBSTANCE)_122-m															ʧuʔ												
FATHER_123-a		isɑ	isæ						aʤ				ɑːɕ		dʲesɯ				ɤsə							isæ	
FATHER_123-b																											
FATHER_123-c	tʲetʲɑ																										
FATHER_123-d														ɑʧɑ													
FATHER_123-e											bɑtʲ																
FATHER_123-f										ɑj	ɑj												ɑjɯ				
FATHER_123-g				ɒpɒ																							
FATHER_123-h								jəɣ					jɑɣ														
FATHER_123-i																							bubɯ				
FATHER_123-j								ɑ̆pɑ~ɑ̆pɑ																			
FATHER_123-k						ætːi																					
FEAR (BE AFRAID)_124-a	peʎems		pe̞læt̪æ	feːl				pəl~pəl	peːlːe	povnɯ	povnɯ		pili		hɯlɯmsɯ~hɯlɯmsɯ											pelʧæmæ	
FEAR (BE AFRAID)_124-b						pølæd̥æ																					
FEAR (BE AFRAID)_124-c		kɑrtːɑ																								kɑrtːɤmɑ	
FEAR (BE AFRAID)_124-d														lyðɑm													
FEAR (BE AFRAID)_124-e																							kɯʃkɑnɯ				
FEAR (BE AFRAID)_124-f													χurɑχli										kurdɑnɯ				
FEAR (BE AFRAID)_124-g																											
FEAR (BE AFRAID)_124-h																			enə								
FEAR (BE AFRAID)_124-i						hervid̥æ																					
FEATHER_125-a	tolɡɑ	sulk	sulkɑ	tolː		sulɡ̊ɑ		tŏɣəl		bordtɯv			towəl		totə				tuː				tɯlɯ			sulk	
FEATHER_125-b																											
FEATHER_125-c								pun	poːnːʦ				pun	pun													
FEATHER_125-d														pə̠stə̠l													
FEATHER_125-e										ɡɤn	ɡɤn																
FEATHER_125-f																			tɑr								
FEATHER_125-g			hø̞yɦe̞n			høyhen																					
FEW_126-a		væhe	ʋæɦæn			væhæin																				væhæ	
FEW_126-b			hɑrʋɑ																								
FEW_126-c																											
FEW_126-d																											
FEW_126-e																											
FEW_126-f																											
FEW_126-g	ɑlɑmo																										
FEW_126-h														iziʃ													
FEW_126-i											tɤkɤtɤ																
FEW_126-j														ʃɑɣɑl													
FEW_126-k				kɛveːʃ																							
FEW_126-l													moɕ														
FEW_126-m								ʧɯməl																			
FEW_126-n															tɑnuɑmənu												
FEW_126-o															kɑnərɑː				qɑːnɑ								
FEW_126-p										eʧɑ	eʧɑ																
FEW_126-q																							odiɡoɡ				
FEW_126-r									vaːnas																		
FEW_126-s										ɲevnɑ																	
FEW_126-t																											
FEW_126-u																											
FIGHT_127-a			t̪ɑpe̞lːɑ			tɑpelːɑ																				tɑpːɤˑmɑ	
FIGHT_127-b	turʲems								tuarːe						torɑsɑ~torɑsɑ												
FIGHT_127-c		kɑkːeltɑ																									
FIGHT_127-d														kreðɑlɑm													
FIGHT_127-e										tɯʃkɑɕnɯ	tɯʃkɑɕnɯ																
FIGHT_127-f											koɕɑɕnɯ																
FIGHT_127-g																							ʒuɡiɕkɯnɯ				
FIGHT_127-i													ɑlχɑti														
FIGHT_127-j								ɲulwel																			
FIGHT_127-k																											
FIGHT_127-l																			quə̠tu								
FIGHT_127-n								læʎəɣsə																			
FIGHT_127-o															kəməuʔtəsɑ~kəməuʔtəsɑ												
FIRE_1-a	tol	tuli	t̪uli			tuli			toːlː					tul	tuj				tyː				tɯl			tuli	
FIRE_1-b																											
FIRE_1-c										bi	bi																
FIRE_1-d				tyːz				tø̆ɣət																			
FIRE_1-e													uʎɑ														
FIRE_1-f													nɑːj														
FISH_39-a	kɑl	kɑlɑ	kɑlɑ			kɑlɑ		kul	kuːlːʲ				χuːl	kol	kolɯ				quə̠lə							kɑlɑ	
FISH_39-b										ʨeri	ʨeri												ʨorɯɡ				
FIVE_128-a	vetʲe	viːs	ʋiːsi	øt		viːz		wet	vɨdː	vit	vit		ɑt	βiʧ~βiʧ									vitʲ			viːs	
FIVE_128-b															səŋhəʎɑŋkə				sompəlæŋqə								
FLESH OR MEAT_18-a		lihɑ	liɦɑ			lihɑ																				lihɑ	
FLESH OR MEAT_18-b									vuenːʧ																		
FLESH OR MEAT_18-c																											
FLESH OR MEAT_18-d	siveʎ													ʃə̠l									siʎ				
FLESH OR MEAT_18-e														jør													
FLESH OR MEAT_18-f										jɑj	jɑi																
FLESH OR MEAT_18-g				huːʃ																							
FLESH OR MEAT_18-h													ɲowəʎ														
FLESH OR MEAT_18-i								ɲoɣɯ																			
FLESH OR MEAT_18-j																											
FLESH OR MEAT_18-k																			uə̠ʨə								
FLESH OR MEAT_18-l															ɕɑhɯ												
FLOAT_129-a			ke̞lːuɑ																								
FLOAT_129-b			leijuɑ																								
FLOAT_129-c																											
FLOAT_129-d		hɤljutɑ																									
FLOAT_129-e																											
FLOAT_129-f																											
FLOAT_129-g											ʃlɯvɡɯnɯ																
FLOAT_129-h				lɛbɛɡ																							
FLOAT_129-i													portɣinti														
FLOAT_129-j																											
FLOAT_129-k																											
FLOAT_129-l	ukʃnoms																										
FLOAT_129-m																							lejkɑnɯ				
FLOAT_129-n				saːlː																							
FLOAT_129-o								tæŋkimtæ																			
FLOAT_129-p								nɑwə																			
FLOAT_129-q																			quːrə								
FLOAT_129-r									vuːjːe																		
FLOAT_129-s																											
FLOAT_129-t										ujːɯnɯ																	
FLOAT_129-u																										lɤːtːsumɑ	
FLOAT_129-v																											
FLOAT_129-w															dʲɑmbiɕɑ												
FLOAT_129-x															kudʲusɑ												
FLOWER_131-a			kukːɑ			kukːɑ																				kukː	
FLOWER_131-b																											
FLOWER_131-c		lilː																									
FLOWER_131-e																											
FLOWER_131-f																											
FLOWER_131-g																											
FLOWER_131-h									raːsːʲ																		
FLOWER_131-i	ʨeʨɑ																										
FLOWER_131-j																											
FLOWER_131-k				viraːɡ																							
FLOWER_131-l													ɕoːri														
FLOWER_131-m																											
FLOWER_131-n																			sɯrkə								
FLOWER_131-o														peleðə̠ʃ													
FLOWER_131-p																											
FLOWER_131-q										ʥoriʥ	ʥoriʥ																
FLOWER_131-r								lɯjwə																			
FLOWER_131-s	ʦvetkɑ																										
FLOWER_131-t															lukuðiɑj								ɕɑɕkɑ				
FLOWER_131-u																											
FLOWER_131-v																											
FLOW_130-a			ʋirːɑt̪ɑ			virːɑd̥ɑ																				virtɑmɑ	
FLOW_130-b																											
FLOW_130-c		voːlɑtːɑ						ŏɣɑ					owi														
FLOW_130-d									koːlːke																		
FLOW_130-e	ʧudʲems																										
FLOW_130-f														joɣem													
FLOW_130-g										vizɯvtnɯ	vizuvtnɯ																
FLOW_130-h																							vijɑnɯ				
FLOW_130-i																							bɯʑɯnɯ				
FLOW_130-j				fojik																							
FLOW_130-k													ɲoːriɣli														
FLOW_130-l																											
FLOW_130-m																			køːŋ								
FLOW_130-n																											
FLOW_130-o								ɲɑ̆χərəl																			
FLOW_130-p															luɑʔtusɑ												
FLY (INSECT)_20-a	kɑrvo	kærpes	kærpæne̞n			kærpæin								kɑrme												ʧærpein	
FLY (INSECT)_20-b									ʧueraʃ																		
FLY (INSECT)_20-c										ɡut	ɡut												kut				
FLY (INSECT)_20-d				leːɟ																							
FLY (INSECT)_20-e								sɯrəɲtʲɯw					seːriwɑːrp														
FLY (INSECT)_20-f																			ʧɯːpæ								
FLY (INSECT)_20-g														orɑʃə̠ŋe													
FLY (INSECT)_20-h																											
FLY (INSECT)_20-i																											
FLY (INSECT)_20-j															kir												
FLY (MOVE THROUGH AIR)_132-a		lenːɑtːɑ	le̞nt̪æː			lentæː																				lentæmæ	
FLY (MOVE THROUGH AIR)_132-b									kɨrːʲte																		
FLY (MOVE THROUGH AIR)_132-c	ʎivtʲɑms																										
FLY (MOVE THROUGH AIR)_132-d														ʧoŋeʃtem													
FLY (MOVE THROUGH AIR)_132-e										lebɑvnɯ	lebɑvnɯ												lobɯnɯ~lobɯnɯ				
FLY (MOVE THROUGH AIR)_132-f				rɛpyl																							
FLY (MOVE THROUGH AIR)_132-g								ləɣəl					tiɣli														
FLY (MOVE THROUGH AIR)_132-h															təirɕi				tiː								
FLY (MOVE THROUGH AIR)_132-i																											
FOG_133-a	suv		sumu			sumu																					
FOG_133-b		utu				ud̥u																					
FOG_133-c																											
FOG_133-d																											
FOG_133-e																											
FOG_133-f																											
FOG_133-g														tytrɑ													
FOG_133-h											ru																
FOG_133-i																							bus				
FOG_133-j				kød																							
FOG_133-k								ʧyχ					seːŋkʷ														
FOG_133-l																											
FOG_133-m																			ʨɑptu								
FOG_133-n									ʦiːɡː																		
FOG_133-o						tomɑkːɑ																				tomɑkː	
FOG_133-p	tumɑn																										
FOG_133-q										tumɑn																	
FOG_133-r															kəku												
FOOT_37-a		jɑlk	jɑlkɑ			jɑlɡ̊ɑ			juːlːʲk					jol												jɑlk	
FOOT_37-b	piʎɡe																										
FOOT_37-c										kok pɯdɤs	kok												kuk				
FOOT_37-d																							pɯd				
FOOT_37-e																											
FOOT_37-f													lɑːɣəl														
FOOT_37-g								kø̆r																			
FOOT_37-h															ŋoj												
FOOT_37-i																			topə								
FOREST_209-a		metːs	me̞t̪sæ			metˑsæ																				meʦæ	
FOREST_209-b								wont																			
FOREST_209-c	virʲ																										
FOREST_209-d														ʧoðə̠rɑ													
FOREST_209-e										vɤr	vɤr		woːr														
FOREST_209-f																							ɲules				
FOREST_209-g																							ɕik				
FOREST_209-h				ɛɾdøː																							
FOREST_209-i									vaːrːʲ																		
FOREST_209-j																											
FOREST_209-k																			mɑʨə								
FOREST_209-l																											
FOREST_209-m																											
FOREST_209-n															muŋku												
FOUR_134-a	ɲiʎe	neli	ne̞ljæ	neːɟ		neljæ		ɲələ	ɲieʎː	ɲoʎ	ɲoʎ		ɲilɑ	nə̠l~nə̠l									ɲɯʎ			neʎːe	
FOUR_134-b															ʧətə				teːtːə								
FOX_231-a			ke̞t̪ːu																								
FOX_231-b	rʲiveʑ	repɑne		roːkɒ		reb̥oi			riːmːʲn	ruʨ	ruʨ			rə̠βə̠ʒ									ʥɯʨɯ			repo	
FOX_231-c								wo̝kɯ					oχsɑr														
FOX_231-d															tuntɯ												
FOX_231-e																			loqɑ								
FREEZE_135-a	ejendɑms	jæːtːytɑ	jæːt̪yæ			jæːtːyæ~jæːtːyæ								ijɑŋeʃ												jæːtːymæ	
FREEZE_135-b	keʎ ems								kalːʲme	kɯnmɯnɯ	kɯnmɯnɯ			kə̠lmem									kɯnmɯnɯ			ʧylmisːymæ	
FREEZE_135-c				mɛkfɒɟ									poːʎi														
FREEZE_135-d								pɑt																			
FREEZE_135-e															kəntɯdʲi~kəntɯdʲi				qɑntə								
FREEZE_135-f	tɑrʲkstɑms																										
FREEZE_135-g																											
FULL_136-a		tæis	t̪æysi	tɛlɛ		tæyz			tievːt				tɑːɣəl	tiʧ												tæynø~tæynø	
FULL_136-b	peʃkɕe																										
FULL_136-c														temʃe													
FULL_136-d										tɯr	tɯr~tɯr								tiːrəʎ				tɯr				
FULL_136-e																											
FULL_136-f																											
FULL_136-g																											
FULL_136-h															dʲulsɯə												
FULL_136-i															myntyɕɑ												
GATHER_230-a			ke̞ræt̪æ																								
GATHER_230-b		kokutɑ																									
GATHER_230-c						korjɑd̥ɑ																				kɤrjɑmɑ	
GATHER_230-d																											
GATHER_230-e																											
GATHER_230-f	koʧkɑms																										
GATHER_230-g	purnɑms																										
GATHER_230-h										ɤktɯnɯ	ɤktɯnɯ												oktɯnɯ				
GATHER_230-i				ɟyːjt																							
GATHER_230-j														poɣem													
GATHER_230-k																							biʨɑnɯ				
GATHER_230-l													ɑti														
GATHER_230-m																											
GATHER_230-n																			tɑq								
GATHER_230-o									usːe																		
GATHER_230-p									koːpːʧe																		
GATHER_230-q								ʧæɣi																			
GATHER_230-r																										næpːimæ	
GATHER_230-s															ŋuɲydʲɑ												
GIRL_290-a	tʲejtʲerʲ~tʲejtʲerʲ		t̪yt̪ːø̞			tytːøi̯																				tytːø	
GIRL_290-b									niːjta	nɯv	nɯv				nɯ ɲuə				netæŋ				nɯl				
GIRL_290-c														yðə̠r													
GIRL_290-e																											
GIRL_290-f								ø̝ɣi					ɑːɣi														
GIRL_290-g															kobtuɑ												
GIVE_55-a		ɑntɑ	ɑnt̪ɑː			ɑntɑː			anːʲte																	ɑntɤmɑ	
GIVE_55-b	mɑksoms																										
GIVE_55-c														puem													
GIVE_55-d										ɕetnɯ	ɕetnɯ												ɕotɯnɯ				
GIVE_55-e								mə					miɣ		miɕi				mi								
GOOD_57-a		heɑ	hyʋæ			hyvæ																				yvæ	
GOOD_57-b	pɑro								puːrːʲ	bur	bur			poro													
GOOD_57-c									ʃiɡ																		
GOOD_57-d														sɑj													
GOOD_57-e											ʃɑɲ																
GOOD_57-f																							umoj				
GOOD_57-g																							ʥeʨ				
GOOD_57-h				joː				jəm					jomɑs														
GOOD_57-i																			somɑ								
GOOD_57-j																										heːkː	
GOOD_57-k															ɲɑɡəː												
GO_3-a		minːɑ	me̞nːæ	mɛɟ		mænːæ		mən	meːnːe	munːɯ	munːɯ		mini	mijem	mɯnsɯ								mɯnɯnɯ			menemæ	
GO_3-b		læk																								læhtemæ	
GO_3-c								jəl																			
GO_3-d	moʎems																										
GO_3-e														kɑjem													
GO_3-f													joːmi														
GO_3-g																			quə̠n								
GO_3-h																											
GRANDCHILD_286-a		lɑpːselɑpːs	lɑpse̞nlɑpsi																								
GRANDCHILD_286-b						vunukːɑ																				vunuk	
GRANDCHILD_286-c														unə̠kɑ													
GRANDCHILD_286-d																											
GRANDCHILD_286-e	nuʨkɑ																										
GRANDCHILD_286-f	bijo																										
GRANDCHILD_286-g													ɑpiɣ														
GRANDCHILD_286-h																											
GRANDCHILD_286-i															ɲuədʲə ɲuə												
GRANDSON_294-a				fiʲuːunokɒ																							
GRANDSON_294-b									aːhkev																		
GRANDSON_294-c										nuk																	
GRANDSON_294-d															ɲuədʲə ɲuə												
GRASS_137-a									raːsːʲ																		
GRASS_137-b																											
GRASS_137-c																											
GRASS_137-d	tʲikʃe																										
GRASS_137-e														ʃuðo													
GRASS_137-f										turun	turun												turɯn				
GRASS_137-g				fyː				pɑm					pum														
GRASS_137-h																											
GRASS_137-i															ɲotə				ɲuːʧə								
GRASS_137-j		rohi	ruo̞ɦo̞			roho~roho																				roho	
GRASS_137-k																											
GREEN_138-a			ʋiçre̞æ								veʒ			uʒɑr~uʒɑr									voʒ			viher	
GREEN_138-b																											
GREEN_138-c		roheline				rohˑoin																				rohoin	
GREEN_138-d																											
GREEN_138-e																											
GREEN_138-f									ruenː																		
GREEN_138-g	piʒe																										
GREEN_138-h				zøld																							
GREEN_138-i													ɲɑːr~ɲɑːr														
GREEN_138-j								kullø̆j																			
GREEN_138-k																			noræʎ								
GREEN_138-l										zeʎonɤj					ŋindiɑʔsɯə												
GREEN_138-m															ɲotərəku												
GRIND_101-a			murskɑt̪ɑ																								
GRIND_101-b	jɑʒɑms~jɑʒɑms	jɑhvɑtːɑtɑ	jɑuɦɑː			jɑuhojɑ								joŋə̠ʃtem~joŋə̠ʃtem												jɑvɑmɑ	
GRIND_101-c																											
GRIND_101-d		purustːɑtɑ																									
GRIND_101-e																											
GRIND_101-f									mielːe																		
GRIND_101-g																											
GRIND_101-h														tə̠ɣə̠ðemðem													
GRIND_101-i														lɑʃtə̠rtem~lɑʃtə̠rtem													
GRIND_101-j										iznɯ	izɤdnɯ~izɤdnɯ																
GRIND_101-k											mɑiknɯ																
GRIND_101-l																							ɲeʎkɯnɯ				
GRIND_101-m				øːrøl																							
GRIND_101-n				dɒraːl																							
GRIND_101-o													sɑːŋki														
GRIND_101-p								roɣə~roɣə																			
GRIND_101-q																											
GRIND_101-r																			kosəl								
GRIND_101-t										krɤʃitnɯ																	
GRIND_101-u																											
GRIND_101-v															hyʎəbtɯsɯ												
GRIND_101-w															ɕeʎidʲi												
GROAN_256-a	ojksɲems		ʋo̞içkiɑ			voihkuɑ								ojojlem												voivortɤˑmɑ~voivortɤˑmɑ	
GROAN_256-b																											
GROAN_256-c		ohkitɑ																								ohkimɑ~ohkimɑ	
GROAN_256-d																										æhkimæ	
GROAN_256-e																											
GROAN_256-f																											
GROAN_256-g	vɑjksɲems																										
GROAN_256-h											ruʒtɯnɯ												ʤuʃtɯnɯ				
GROAN_256-i											ɯmzɯnɯ																
GROAN_256-j				ɲøɡ																							
GROAN_256-k														jə̠ŋə̠sem													
GROAN_256-l													ɲiɕːi														
GROAN_256-m																											
GROAN_256-n								ner																			
GROAN_256-o																											
GROAN_256-p																											
GROAN_256-q										ujzɯnɯ																	
GROAN_256-r									vuahke																		
GUTS_139-a	ɕulo	soːl	suo̞li			soːli		sol	ʧuelːʲ	ɕuv	ɕuv			ʃolo									ɕul			soːli	
GUTS_139-b																											
GUTS_139-c				beːl																							
GUTS_139-d													sɑχ														
GUTS_139-e																			ketu								
GUTS_139-f																											
GUTS_139-g										kiʃkɑ																	
HAIR_31-a		juːs	hius			hiuz																				ivuz	
HAIR_31-b								ɑwət	vuːpːt				ɑːt	yp	ŋɑbtə				oːptə								
HAIR_31-c	ʧerʲ																										
HAIR_31-d										jurɕi	ɕi												ɕi~ɕi				
HAIR_31-e										ɡɤn	ɡɤn												ɡon				
HAIR_31-g	ponɑ							pun					pun	pun													
HAIR_31-h																			tɑr								
HAIR_31-i				søːr																							
HAIR_31-j		kɑrv	kɑrʋɑ			kɑrvɑ																					
HAIR_31-k																											
HAIR_31-l									sefs																		
HAND_19-a	kedʲ	kæsi	kæsi	keːz		kæzi		køt	kiːdː	ki	ki		kɑːt	kit									ki			ʧæsi	
HAND_19-b															dʲyty				utə								
HARD_100-a		kɤvɑ	ko̞ʋɑ			kovɑ																				kɤvɑ	
HARD_100-b									keːrː																		
HARD_100-c	kɑlɡodo																										
HARD_100-d														peʃkə̠ðe													
HARD_100-e										ʨorɯt	ʨorɯd												ʨurɯt				
HARD_100-f	keme			kɛmeːɲ																							
HARD_100-g													ɲɑŋrɑ														
HARD_100-h								serə																			
HARD_100-i														peŋɡə̠ðe													
HARD_100-j																			ɕɑrə								
HARD_100-k																											
HARD_100-l														ʧotkə̠do													
HARD_100-m						kɑlpiɑ																					
HARD_100-n						vɑlju																					
HARD_100-o																										kɑŋkɑ	
HARD_100-p																											
HARD_100-q															dʲɑntɯə												
HARD_100-r															nosəɡəː												
HARD_100-s															tujmuə												
HE OR SHE_34-a	son		hæn	øː		hæː		jø̆ɣ	soːnː	sijɑ			tɑw										so				
HE OR SHE_34-b																										tæmæ	
HE OR SHE_34-c														tuðo													
HE OR SHE_34-d																											
HE OR SHE_34-e																			tɤp								
HE OR SHE_34-f						se																					
HE OR SHE_34-g															sɯtɯ												
HEAD_140-a		peɑ	pæː			pæː							puŋk													pæː	
HEAD_140-b									vuejːv					βuj	ŋojbu												
HEAD_140-c	prʲɑ																										
HEAD_140-d										jur	jur												jɯr				
HEAD_140-e								oɣ																			
HEAD_140-f																			olə								
HEART_141-a	ɕedʲej	sydɑ	sydæn	siːv		syæn		səm		ɕɤlɤm	ɕɤlɤm		sim	ʃym	səː				siːʨə				ɕulem			syæ	
HEART_141-b																											
HEART_141-c									saːrːʲt																		
HEART_141-d									kuːtːʲk																		
HEAR_62-a	kuʎems	kuːltɑ	kuːlːɑ			kuːlːɑ		kɔl	kulːe	kɯvnɯ	kɯvnɯ		χuːli	kolɑm									kɯlɯnɯ			kuːlɤmɑ	
HEAR_62-b																											
HEAR_62-c															dʲinsiɕi				yntə								
HEAR_62-d	mɑrʲɑms																										
HEAR_62-e				hɒlː																							
HEAVY_73-a		rɑske	rɑskɑs			rɑskɑz																				rɑskɑˑ	
HEAVY_73-b			pɑinɑʋɑ																							pɑinukɤz	
HEAVY_73-c																											
HEAVY_73-d														lele													
HEAVY_73-e									loːsːʲesʲ																		
HEAVY_73-f	stɑkɑ																										
HEAVY_73-g										ɕɤkɯt	ɕɤkɯd												ɕekɯt				
HEAVY_73-h				nɛɦeːz																							
HEAVY_73-i				ʃuːjoʃ																							
HEAVY_73-j								læɣərt					tɑːrwitəŋ														
HEAVY_73-k															səŋkutuo												
HEAVY_73-l																			sɤʧːəm								
HEAVY_73-m																											
HEAVY_73-n						rɑŋkːɑ																					
HEEL_221-a		kɑnt	kɑn̪t̪ɑpæː			kɑnd̥ɑ			kaːnːt																	kɑnt	
HEEL_221-b																											
HEEL_221-c																											
HEEL_221-d	koʧkɑrʲɑ																										
HEEL_221-e											kokʎɑbɤr																
HEEL_221-f				ʃɒrok																							
HEEL_221-g														joltɑɣɑn~joltɑɣɑn													
HEEL_221-h																							pɯdtɯʃ				
HEEL_221-i													lɑːɣəljunɣɑ														
HEEL_221-j																											
HEEL_221-k																			ʎɑkʨəɲ								
HEEL_221-l																			moʨːə								
HEEL_221-m								po̝ʧ																			
HEEL_221-n																											
HEEL_221-o										kokʥir~kokʥir																	
HEEL_221-p															biɑtə												
HEN_266-a		kɑnɑ	kɑnɑ			kɑnɑ																				kɑnɑ	
HEN_266-b																											
HEN_266-c																											
HEN_266-d	sɑrɑz																										
HEN_266-e														ʧə̠βe													
HEN_266-f											ʨipɑn																
HEN_266-g										kurɤɡ	kurɤɡ												kureɡ				
HEN_266-h				cuːk																							
HEN_266-i																			kuːrəɕkɑ								
HEN_266-j													kurkɑ														
HEN_266-k								tʲutʲkø̆rək																			
HEN_266-l									kaːnːʲ																		
HERE_142-a	tʲese		t̪æːlːæ~t̪æsːæ					tət	tesʲt	tɑtɤn	tɑn~tɑn		tit	tə̠ʃte					tɯntə				tɑtɯn		~	tæːl	
HERE_142-b		siːn				siːn																					
HERE_142-c				itː						estɤn	etɑni																
HERE_142-d																											
HERE_142-e																										kɑsːen	
HERE_142-f															əmnɯ~əmnɯ												
HERE_142-g															miʔiɑ												
HIDE_68-a			piːlot̪ːɑː																								
HIDE_68-b	kekʃems		kæt̪ke̞æ																								
HIDE_68-c		ærɑ peitːɑ				peitːæː																					
HIDE_68-d																											
HIDE_68-e									ʧiːɡːe																		
HIDE_68-f														ʃə̠ltem													
HIDE_68-g											sɑikɤdnɯ~sɑikɤdnɯ																
HIDE_68-h										ʥebnɯ~ʥebnɯ	ʥebnɯ																
HIDE_68-i																							vɑtɯnɯ				
HIDE_68-j				rɛjt																							
HIDE_68-k													tuːjti														
HIDE_68-l														tojem													
HIDE_68-m																											
HIDE_68-n																			oʨəŋ								
HIDE_68-o				ɛlduɡ																							
HIDE_68-p								kɑ̆ɲitə																			
HIDE_68-q																											
HIDE_68-r																										sɑlɑutːɤmɑ	
HIDE_68-s																										kɤrjɑmɑ	
HIDE_68-t																											
HIDE_68-u															ʧiːdʲɑ												
HIDE_68-w																											
HIT_36-a		lyːɑ	lyø̞dæ			løːvːæ																				lyːmæ	
HIT_36-aa																										æhkæmæ	
HIT_36-ab						lohmɑd̥ɑ																					
HIT_36-ac															hoɕydʲi~hoɕydʲi												
HIT_36-b						iskiæ																					
HIT_36-c																											
HIT_36-d																											
HIT_36-e																											
HIT_36-f																											
HIT_36-g									vasːte																		
HIT_36-h	vɑʧkodʲems																										
HIT_36-i	rʲiʃtɑms																										
HIT_36-j														soβem													
HIT_36-k										vɑʨkɯnɯ	vɑʨkɯnɯ																
HIT_36-l											kuʨkɯnɯ																
HIT_36-m																							ʒuɡɯnɯ				
HIT_36-n																							ʃukːɯnɯ				
HIT_36-o																											
HIT_36-p																											
HIT_36-q													juːniɣti														
HIT_36-r													rɑːti														
HIT_36-s								søŋət																			
HIT_36-t								jɔɣɯ																			
HIT_36-u																											
HIT_36-v														perem													
HIT_36-w																											
HIT_36-x																			qæːtːə								
HIT_36-y																											
HIT_36-z																										iskemæ	
HOLD_143-a			pit̪æː			pitˑæː																				pitæmæ	
HOLD_143-b		hoitɑ																									
HOLD_143-c																											
HOLD_143-d									ɒːnːʲe																		
HOLD_143-e	kirʲdʲems																										
HOLD_143-f														kuʧem													
HOLD_143-g										viʥnɯ	viʥnɯ												voʑɯnɯ				
HOLD_143-h				tɒrt																							
HOLD_143-i				foɡ																							
HOLD_143-j													tɑkti														
HOLD_143-k								kætl																			
HOLD_143-l																											
HOLD_143-m																			orɑlpi								
HOLD_143-n											kutnɯ																
HOLD_143-o																											
HOLD_143-p															kəmiɑsɑ												
HORN (ANATOMY)_40-a	ɕuro	sɑrv	sɑrʋi			sɑrvi			ʧuerːʲv	ɕur	ɕur			ʃur									ɕur			sɑrvi	
HORN (ANATOMY)_40-c								ɑ̆ŋət					ɑːɲt		ŋɑmtə				ɑːmtə								
HORN (ANATOMY)_40-d														tykø													
HOUSE_26-a			t̪ɑlo̞			tɑloi																				tɑlo	
HOUSE_26-b	kudo			haːz		kod̥i		kɑt																		koto	
HOUSE_26-c		mɑjɑ																									
HOUSE_26-d														pørt													
HOUSE_26-e									peːr̥ːt																		
HOUSE_26-f										kerku	kerkɑ												korkɑ				
HOUSE_26-g													kol														
HOUSE_26-h																			mɑːt								
HOUSE_26-i															koruʔ												
HOUSE_26-j						hoːne																					
HOUSE_26-l																											
HOW_144-a			mit̪e̞n				~							mo semə̠n												mi	
HOW_144-b	kodɑ		kuiŋkɑ			kuin		kŏtɯ	koːxːt	kɯʥ	kɯʥi		χumʎe	kuze	kuɲiʔiɑ				kun tɑːr				kɯʑɯ			kui	
HOW_144-c														mo semə̠n													
HUNT_289-a			me̞t̪sæst̪æː																								
HUNT_289-b		jɑhtitɑ																									
HUNT_289-d																											
HUNT_289-e																											
HUNT_289-f																							pɤjʃurɑnɯ				
HUNT_289-g															kotədʲɑ												
HUNT_289-h														sonɑrlem													
HUNT_289-i										vɤrɑvnɯ	vɤrɑvnɯ																
HUNT_289-j																							ɲuleskɑnɯ				
